# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Afghanistan,22-01-2020,0,0,0,62.0,0.0,-5.0,0.0,316.0,0.0,9.0,0.0,6.0,0.0,-1.0,0.0,3.0,0.0
Afghanistan,23-01-2020,0,0,0,61.0,0.0,-5.0,0.0,300.0,0.0,41.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0
Afghanistan,24-01-2020,0,0,0,85.0,0.0,0.0,0.0,294.0,0.0,74.0,0.0,5.0,0.0,-1.0,0.0,3.0,0.0
Afghanistan,25-01-2020,0,0,0,69.0,0.0,-3.0,0.0,302.0,0.0,11.0,0.0,6.0,0.0,-4.0,0.0,4.0,0.0
Afghanistan,26-01-2020,0,0,0,62.0,0.0,-6.0,0.0,305.0,0.0,6.0,0.0,6.0,0.0,-3.0,0.0,4.0,0.0
Afghanistan,27-01-2020,0,0,0,60.0,0.0,-6.0,0.0,304.0,0.0,7.0,0.0,6.0,0.0,-7.0,0.0,4.0,0.0
Afghanistan,28-01-2020,0,0,0,47.0,0.0,-11.0,0.0,315.0,0.0,0.0,0.0,6.0,0.0,-7.0,0.0,4.0,0.0
Afghanistan,29-01-2020,0,0,0,38.0,0.0,-14.0,0.0,308.0,0.0,3.0,0.0,5.0,0.0,-5.0,0.0,4.0,0.0
Afghanistan,30-01-2020,0,0,0,39.0,0.0,-13.0,0.0,316.0,0.0,2.0,0.0,7.0,0.0,-4.0,0.0,4.0,0.0
Afghanistan,31-01-2020,0,0,0,48.0,0.0,-9.0,0.0,345.0,0.0,4.0,0.0,6.0,0.0,-4.0,0.0,4.0,0.0
Afghanistan,01-02-2020,0,0,0,53.0,0.0,-8.0,0.0,323.0,0.0,2.0,0.0,7.0,0.0,-3.0,0.0,4.0,0.0
Afghanistan,02-02-2020,0,0,0,48.0,0.0,-8.0,0.0,327.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0
Afghanistan,03-02-2020,0,0,0,82.0,0.0,-1.0,0.0,340.0,0.0,84.0,0.0,5.0,0.0,-6.0,0.0,3.0,0.0
Afghanistan,04-02-2020,0,0,0,52.0,0.0,-10.0,0.0,309.0,0.0,5.0,0.0,5.0,0.0,-5.0,0.0,5.0,0.0
Afghanistan,05-02-2020,0,0,0,46.0,0.0,-10.0,0.0,317.0,0.0,4.0,0.0,7.0,0.0,-4.0,0.0,3.0,0.0
Afghanistan,06-02-2020,0,0,0,46.0,0.0,-9.0,0.0,310.0,0.0,0.0,0.0,8.0,0.0,-2.0,0.0,5.0,0.0
Afghanistan,07-02-2020,0,0,0,36.0,0.0,-11.0,0.0,292.0,0.0,3.0,0.0,9.0,0.0,-1.0,0.0,5.0,0.0
