# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Albania,22-01-2020,0,0,0,39.0,0.0,-8.0,0.0,341.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0
Albania,23-01-2020,0,0,0,37.0,0.0,-8.0,0.0,364.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,2.0,0.0
Albania,24-01-2020,0,0,0,45.0,0.0,-4.0,0.0,319.0,0.0,3.0,0.0,13.0,0.0,3.0,0.0,2.0,0.0
Albania,25-01-2020,0,0,0,73.0,0.0,3.0,0.0,287.0,0.0,53.0,0.0,12.0,0.0,6.0,0.0,2.0,0.0
Albania,26-01-2020,0,0,0,76.0,0.0,5.0,0.0,284.0,0.0,56.0,0.0,12.0,0.0,8.0,0.0,2.0,0.0
Albania,27-01-2020,0,0,0,83.0,0.0,6.0,0.0,339.0,0.0,98.0,0.0,10.0,0.0,6.0,0.0,2.0,0.0
Albania,28-01-2020,0,0,0,81.0,0.0,5.0,0.0,345.0,0.0,84.0,0.0,11.0,0.0,8.0,0.0,2.0,0.0
Albania,29-01-2020,0,0,0,83.0,0.0,6.0,0.0,370.0,0.0,98.0,0.0,10.0,0.0,5.0,0.0,1.0,0.0
Albania,30-01-2020,0,0,0,77.0,0.0,3.0,0.0,337.0,0.0,66.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0
Albania,31-01-2020,0,0,0,62.0,0.0,0.0,0.0,303.0,0.0,11.0,0.0,12.0,0.0,5.0,0.0,3.0,0.0
Albania,01-02-2020,0,0,0,74.0,0.0,4.0,0.0,294.0,0.0,11.0,0.0,16.0,0.0,4.0,0.0,3.0,0.0
Albania,02-02-2020,0,0,0,75.0,0.0,4.0,0.0,310.0,0.0,10.0,0.0,15.0,0.0,5.0,0.0,2.0,0.0
Albania,03-02-2020,0,0,0,77.0,0.0,6.0,0.0,314.0,0.0,21.0,0.0,15.0,0.0,6.0,0.0,2.0,0.0
Albania,04-02-2020,0,0,0,76.0,0.0,6.0,0.0,322.0,0.0,78.0,0.0,16.0,0.0,2.0,0.0,3.0,0.0
Albania,05-02-2020,0,0,0,73.0,0.0,0.0,0.0,411.0,0.0,94.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Albania,06-02-2020,0,0,0,60.0,0.0,-5.0,0.0,389.0,0.0,5.0,0.0,5.0,0.0,-3.0,0.0,2.0,0.0
Albania,07-02-2020,0,0,0,53.0,0.0,-6.0,0.0,356.0,0.0,5.0,0.0,8.0,0.0,-1.0,0.0,2.0,0.0
Albania,08-02-2020,0,0,0,61.0,0.0,-3.0,0.0,336.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0
Albania,09-02-2020,0,0,0,65.0,0.0,-1.0,0.0,322.0,0.0,8.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0
Albania,10-02-2020,0,0,0,76.0,0.0,2.0,0.0,307.0,0.0,45.0,0.0,10.0,0.0,7.0,0.0,3.0,0.0
Albania,11-02-2020,0,0,0,79.0,0.0,7.0,0.0,264.0,0.0,68.0,0.0,15.0,0.0,9.0,0.0,3.0,0.0
Albania,12-02-2020,0,0,0,81.0,0.0,7.0,0.0,285.0,0.0,67.0,0.0,14.0,0.0,3.0,0.0,3.0,0.0
Albania,13-02-2020,0,0,0,62.0,0.0,1.0,0.0,305.0,0.0,12.0,0.0,16.0,0.0,5.0,0.0,3.0,0.0
Albania,14-02-2020,0,0,0,71.0,0.0,2.0,0.0,359.0,0.0,96.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0
Albania,15-02-2020,0,0,0,64.0,0.0,1.0,0.0,337.0,0.0,19.0,0.0,15.0,0.0,2.0,0.0,3.0,0.0
Albania,16-02-2020,0,0,0,55.0,0.0,0.0,0.0,333.0,0.0,7.0,0.0,16.0,0.0,3.0,0.0,3.0,0.0
Albania,17-02-2020,0,0,0,54.0,0.0,0.0,0.0,303.0,0.0,5.0,0.0,15.0,0.0,3.0,0.0,3.0,0.0
Albania,18-02-2020,0,0,0,57.0,0.0,0.0,0.0,307.0,0.0,7.0,0.0,15.0,0.0,5.0,0.0,4.0,0.0
Albania,19-02-2020,0,0,0,69.0,0.0,3.0,0.0,332.0,0.0,30.0,0.0,15.0,0.0,6.0,0.0,3.0,0.0
Albania,20-02-2020,0,0,0,73.0,0.0,2.0,0.0,352.0,0.0,96.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
Albania,21-02-2020,0,0,0,56.0,0.0,-2.0,0.0,329.0,0.0,10.0,0.0,13.0,0.0,1.0,0.0,4.0,0.0
Albania,22-02-2020,0,0,0,51.0,0.0,-4.0,0.0,355.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Albania,23-02-2020,0,0,0,46.0,0.0,-4.0,0.0,324.0,0.0,2.0,0.0,15.0,0.0,3.0,0.0,3.0,0.0
Albania,24-02-2020,0,0,0,50.0,0.0,0.0,0.0,312.0,0.0,2.0,0.0,18.0,0.0,6.0,0.0,4.0,0.0
Albania,25-02-2020,0,0,0,54.0,0.0,2.0,0.0,313.0,0.0,3.0,0.0,19.0,0.0,5.0,0.0,4.0,0.0
Albania,26-02-2020,0,0,0,67.0,0.0,4.0,0.0,341.0,0.0,60.0,0.0,16.0,0.0,4.0,0.0,4.0,0.0
Albania,27-02-2020,0,0,0,82.0,0.0,2.0,0.0,381.0,0.0,96.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0
Albania,28-02-2020,0,0,0,80.0,0.0,1.0,0.0,351.0,0.0,94.0,0.0,8.0,0.0,-1.0,0.0,3.0,0.0
Albania,29-02-2020,0,0,0,57.0,0.0,-3.0,0.0,301.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0
Albania,01-03-2020,0,0,0,56.0,0.0,-1.0,0.0,325.0,0.0,3.0,0.0,14.0,0.0,6.0,0.0,3.0,0.0
Albania,02-03-2020,0,0,0,73.0,0.0,6.0,0.0,336.0,0.0,49.0,0.0,17.0,0.0,8.0,0.0,3.0,0.0
Albania,03-03-2020,0,0,0,70.0,0.0,6.0,0.0,346.0,0.0,87.0,0.0,16.0,0.0,7.0,0.0,3.0,0.0
Albania,04-03-2020,0,0,0,84.0,0.0,6.0,0.0,384.0,0.0,98.0,0.0,9.0,0.0,5.0,0.0,3.0,0.0
Albania,05-03-2020,0,0,0,76.0,0.0,4.0,0.0,382.0,0.0,44.0,0.0,12.0,0.0,4.0,0.0,3.0,0.0
Albania,06-03-2020,0,0,0,68.0,0.0,2.0,0.0,312.0,0.0,64.0,0.0,12.0,0.0,8.0,0.0,3.0,0.0
Albania,07-03-2020,0,0,0,84.0,0.0,6.0,0.0,333.0,0.0,98.0,0.0,10.0,0.0,7.0,0.0,3.0,0.0
Albania,08-03-2020,0,0,0,84.0,0.0,6.0,0.0,358.0,0.0,98.0,0.0,12.0,0.0,6.0,0.0,3.0,0.0
Albania,09-03-2020,2,0,0,81.0,0.0,5.0,0.0,383.0,0.0,76.0,0.0,11.0,0.0,4.0,0.0,3.0,0.0
Albania,10-03-2020,10,0,0,73.0,0.0,3.0,0.0,359.0,0.0,41.0,0.0,13.0,0.0,4.0,0.0,4.0,0.0
Albania,11-03-2020,12,1,0,64.0,0.0,2.0,0.0,344.0,0.0,15.0,0.0,16.0,0.0,6.0,0.0,5.0,0.0
Albania,12-03-2020,23,1,0,61.0,0.0,5.0,0.0,316.0,0.0,7.0,0.0,22.0,0.0,8.0,0.0,5.0,0.0
Albania,13-03-2020,33,1,0,57.0,0.0,6.0,0.0,316.0,0.0,1.0,0.0,22.0,0.0,9.0,0.0,5.0,0.0
Albania,14-03-2020,38,1,0,63.0,0.0,7.0,0.0,319.0,0.0,45.0,0.0,20.0,0.0,10.0,0.0,4.0,0.0
Albania,15-03-2020,42,1,0,83.0,0.0,7.0,0.0,332.0,0.0,96.0,0.0,11.0,0.0,5.0,0.0,3.0,0.0
Albania,16-03-2020,51,1,0,59.0,0.0,0.0,0.0,337.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,5.0,0.0
Albania,17-03-2020,55,1,0,48.0,0.0,-1.0,0.0,335.0,0.0,2.0,0.0,17.0,0.0,4.0,0.0,5.0,0.0
Albania,18-03-2020,59,2,0,44.0,0.0,0.0,0.0,363.0,0.0,1.0,0.0,20.0,0.0,5.0,0.0,5.0,0.0
