# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Algeria,22-01-2020,0,0,0,17.0,0.0,-7.0,0.0,277.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0,5.0,0.0
Algeria,23-01-2020,0,0,0,24.0,0.0,-4.0,0.0,271.0,0.0,0.0,0.0,25.0,0.0,11.0,0.0,6.0,0.0
Algeria,24-01-2020,0,0,0,20.0,0.0,-6.0,0.0,263.0,0.0,2.0,0.0,25.0,0.0,12.0,0.0,4.0,0.0
Algeria,25-01-2020,0,0,0,21.0,0.0,-6.0,0.0,270.0,0.0,6.0,0.0,24.0,0.0,14.0,0.0,4.0,0.0
Algeria,26-01-2020,0,0,0,27.0,0.0,0.0,0.0,287.0,0.0,5.0,0.0,27.0,0.0,10.0,0.0,4.0,0.0
Algeria,27-01-2020,0,0,0,25.0,0.0,-4.0,0.0,295.0,0.0,4.0,0.0,23.0,0.0,10.0,0.0,5.0,0.0
Algeria,28-01-2020,0,0,0,36.0,0.0,-1.0,0.0,296.0,0.0,1.0,0.0,21.0,0.0,7.0,0.0,5.0,0.0
Algeria,29-01-2020,0,0,0,25.0,0.0,-8.0,0.0,326.0,0.0,1.0,0.0,21.0,0.0,6.0,0.0,5.0,0.0
Algeria,30-01-2020,0,0,0,13.0,0.0,-18.0,0.0,312.0,0.0,1.0,0.0,24.0,0.0,8.0,0.0,5.0,0.0
Algeria,31-01-2020,0,0,0,11.0,0.0,-15.0,0.0,307.0,0.0,2.0,0.0,25.0,0.0,9.0,0.0,5.0,0.0
Algeria,01-02-2020,0,0,0,13.0,0.0,-13.0,0.0,297.0,0.0,3.0,0.0,26.0,0.0,11.0,0.0,6.0,0.0
Algeria,02-02-2020,0,0,0,25.0,0.0,-3.0,0.0,299.0,0.0,2.0,0.0,24.0,0.0,10.0,0.0,6.0,0.0
Algeria,03-02-2020,0,0,0,32.0,0.0,-1.0,0.0,285.0,0.0,4.0,0.0,24.0,0.0,10.0,0.0,6.0,0.0
Algeria,04-02-2020,0,0,0,30.0,0.0,-1.0,0.0,275.0,0.0,5.0,0.0,26.0,0.0,11.0,0.0,6.0,0.0
Algeria,05-02-2020,0,0,0,24.0,0.0,-4.0,0.0,282.0,0.0,3.0,0.0,27.0,0.0,10.0,0.0,6.0,0.0
Algeria,06-02-2020,0,0,0,27.0,0.0,-4.0,0.0,301.0,0.0,0.0,0.0,22.0,0.0,8.0,0.0,6.0,0.0
Algeria,07-02-2020,0,0,0,12.0,0.0,-16.0,0.0,297.0,0.0,2.0,0.0,22.0,0.0,7.0,0.0,6.0,0.0
Algeria,08-02-2020,0,0,0,10.0,0.0,-18.0,0.0,307.0,0.0,2.0,0.0,24.0,0.0,9.0,0.0,4.0,0.0
Algeria,09-02-2020,0,0,0,9.0,0.0,-17.0,0.0,320.0,0.0,1.0,0.0,24.0,0.0,11.0,0.0,3.0,0.0
Algeria,10-02-2020,0,0,0,9.0,0.0,-16.0,0.0,311.0,0.0,1.0,0.0,27.0,0.0,11.0,0.0,5.0,0.0
Algeria,11-02-2020,0,0,0,9.0,0.0,-15.0,0.0,293.0,0.0,0.0,0.0,28.0,0.0,17.0,0.0,5.0,0.0
Algeria,12-02-2020,0,0,0,15.0,0.0,-10.0,0.0,304.0,0.0,12.0,0.0,26.0,0.0,14.0,0.0,4.0,0.0
Algeria,13-02-2020,0,0,0,37.0,0.0,3.0,0.0,316.0,0.0,7.0,0.0,26.0,0.0,14.0,0.0,6.0,0.0
Algeria,14-02-2020,0,0,0,19.0,0.0,-4.0,0.0,304.0,0.0,2.0,0.0,27.0,0.0,14.0,0.0,6.0,0.0
Algeria,15-02-2020,0,0,0,17.0,0.0,-6.0,0.0,302.0,0.0,1.0,0.0,26.0,0.0,14.0,0.0,6.0,0.0
Algeria,16-02-2020,0,0,0,16.0,0.0,-7.0,0.0,299.0,0.0,1.0,0.0,27.0,0.0,12.0,0.0,4.0,0.0
Algeria,17-02-2020,0,0,0,17.0,0.0,-7.0,0.0,302.0,0.0,4.0,0.0,27.0,0.0,11.0,0.0,6.0,0.0
Algeria,18-02-2020,0,0,0,25.0,0.0,-3.0,0.0,303.0,0.0,1.0,0.0,24.0,0.0,8.0,0.0,7.0,0.0
Algeria,19-02-2020,0,0,0,22.0,0.0,-7.0,0.0,299.0,0.0,1.0,0.0,24.0,0.0,11.0,0.0,7.0,0.0
Algeria,20-02-2020,0,0,0,19.0,0.0,-8.0,0.0,293.0,0.0,3.0,0.0,25.0,0.0,12.0,0.0,7.0,0.0
Algeria,21-02-2020,0,0,0,12.0,0.0,-11.0,0.0,297.0,0.0,4.0,0.0,27.0,0.0,13.0,0.0,6.0,0.0
Algeria,22-02-2020,0,0,0,13.0,0.0,-11.0,0.0,301.0,0.0,1.0,0.0,26.0,0.0,12.0,0.0,7.0,0.0
Algeria,23-02-2020,0,0,0,15.0,0.0,-10.0,0.0,303.0,0.0,1.0,0.0,24.0,0.0,8.0,0.0,7.0,0.0
