# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Andorra,22-01-2020,0,0,0,76.0,0.0,0.0,0.0,404.0,0.0,88.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0
Andorra,23-01-2020,0,0,0,79.0,0.0,0.0,0.0,386.0,0.0,87.0,0.0,8.0,0.0,-1.0,0.0,1.0,0.0
Andorra,24-01-2020,0,0,0,66.0,0.0,-3.0,0.0,359.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Andorra,25-01-2020,0,0,0,75.0,0.0,-1.0,0.0,311.0,0.0,67.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
Andorra,26-01-2020,0,0,0,75.0,0.0,-1.0,0.0,329.0,0.0,72.0,0.0,8.0,0.0,-2.0,0.0,2.0,0.0
Andorra,27-01-2020,0,0,0,64.0,0.0,-3.0,0.0,321.0,0.0,23.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Andorra,28-01-2020,0,0,0,69.0,0.0,-1.0,0.0,342.0,0.0,21.0,0.0,11.0,0.0,-1.0,0.0,2.0,0.0
Andorra,29-01-2020,0,0,0,47.0,0.0,-6.0,0.0,326.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
Andorra,30-01-2020,0,0,0,72.0,0.0,1.0,0.0,302.0,0.0,28.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
Andorra,31-01-2020,0,0,0,72.0,0.0,2.0,0.0,306.0,0.0,28.0,0.0,13.0,0.0,2.0,0.0,2.0,0.0
Andorra,01-02-2020,0,0,0,59.0,0.0,0.0,0.0,297.0,0.0,19.0,0.0,14.0,0.0,3.0,0.0,2.0,0.0
Andorra,02-02-2020,0,0,0,55.0,0.0,0.0,0.0,284.0,0.0,9.0,0.0,17.0,0.0,6.0,0.0,2.0,0.0
Andorra,03-02-2020,0,0,0,47.0,0.0,-1.0,0.0,278.0,0.0,5.0,0.0,17.0,0.0,5.0,0.0,2.0,0.0
Andorra,04-02-2020,0,0,0,50.0,0.0,-3.0,0.0,295.0,0.0,14.0,0.0,11.0,0.0,-1.0,0.0,3.0,0.0
Andorra,05-02-2020,0,0,0,20.0,0.0,-19.0,0.0,302.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Andorra,06-02-2020,0,0,0,20.0,0.0,-18.0,0.0,308.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Andorra,07-02-2020,0,0,0,21.0,0.0,-17.0,0.0,316.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,2.0,0.0
Andorra,08-02-2020,0,0,0,36.0,0.0,-9.0,0.0,316.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Andorra,09-02-2020,0,0,0,60.0,0.0,-2.0,0.0,308.0,0.0,8.0,0.0,12.0,0.0,3.0,0.0,2.0,0.0
Andorra,10-02-2020,0,0,0,53.0,0.0,0.0,0.0,247.0,0.0,10.0,0.0,18.0,0.0,4.0,0.0,3.0,0.0
Andorra,11-02-2020,0,0,0,54.0,0.0,0.0,0.0,264.0,0.0,6.0,0.0,15.0,0.0,1.0,0.0,3.0,0.0
Andorra,12-02-2020,0,0,0,62.0,0.0,0.0,0.0,282.0,0.0,18.0,0.0,12.0,0.0,3.0,0.0,3.0,0.0
Andorra,13-02-2020,0,0,0,69.0,0.0,1.0,0.0,314.0,0.0,13.0,0.0,14.0,0.0,2.0,0.0,3.0,0.0
Andorra,14-02-2020,0,0,0,52.0,0.0,-2.0,0.0,289.0,0.0,5.0,0.0,16.0,0.0,3.0,0.0,3.0,0.0
Andorra,15-02-2020,0,0,0,44.0,0.0,-3.0,0.0,294.0,0.0,3.0,0.0,17.0,0.0,3.0,0.0,3.0,0.0
Andorra,16-02-2020,0,0,0,34.0,0.0,-6.0,0.0,280.0,0.0,5.0,0.0,17.0,0.0,4.0,0.0,3.0,0.0
Andorra,17-02-2020,0,0,0,45.0,0.0,-2.0,0.0,300.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0
Andorra,18-02-2020,0,0,0,49.0,0.0,-5.0,0.0,319.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0
Andorra,19-02-2020,0,0,0,35.0,0.0,-10.0,0.0,310.0,0.0,3.0,0.0,15.0,0.0,1.0,0.0,3.0,0.0
Andorra,20-02-2020,0,0,0,22.0,0.0,-14.0,0.0,307.0,0.0,4.0,0.0,17.0,0.0,1.0,0.0,4.0,0.0
Andorra,21-02-2020,0,0,0,25.0,0.0,-12.0,0.0,307.0,0.0,2.0,0.0,17.0,0.0,4.0,0.0,4.0,0.0
Andorra,22-02-2020,0,0,0,14.0,0.0,-17.0,0.0,297.0,0.0,1.0,0.0,19.0,0.0,6.0,0.0,3.0,0.0
Andorra,23-02-2020,0,0,0,17.0,0.0,-13.0,0.0,290.0,0.0,0.0,0.0,21.0,0.0,5.0,0.0,4.0,0.0
Andorra,24-02-2020,0,0,0,18.0,0.0,-13.0,0.0,290.0,0.0,0.0,0.0,20.0,0.0,4.0,0.0,4.0,0.0
Andorra,25-02-2020,0,0,0,27.0,0.0,-10.0,0.0,340.0,0.0,6.0,0.0,14.0,0.0,2.0,0.0,2.0,0.0
Andorra,26-02-2020,0,0,0,42.0,0.0,-7.0,0.0,334.0,0.0,17.0,0.0,8.0,0.0,-1.0,0.0,3.0,0.0
Andorra,27-02-2020,0,0,0,51.0,0.0,-4.0,0.0,300.0,0.0,35.0,0.0,12.0,0.0,4.0,0.0,3.0,0.0
Andorra,28-02-2020,0,0,0,60.0,0.0,1.0,0.0,289.0,0.0,15.0,0.0,15.0,0.0,3.0,0.0,4.0,0.0
Andorra,29-02-2020,0,0,0,64.0,0.0,1.0,0.0,324.0,0.0,22.0,0.0,14.0,0.0,3.0,0.0,3.0,0.0
Andorra,01-03-2020,0,0,0,69.0,0.0,0.0,0.0,336.0,0.0,55.0,0.0,11.0,0.0,4.0,0.0,3.0,0.0
Andorra,02-03-2020,1,0,0,68.0,0.0,-2.0,0.0,370.0,0.0,79.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Andorra,03-03-2020,1,0,0,59.0,0.0,-5.0,0.0,335.0,0.0,73.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0
