# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Antigua and Barbuda,22-01-2020,0,0,0,90.0,0.0,23.0,0.0,246.0,0.0,56.0,0.0,27.0,0.0,23.0,0.0,7.0,0.0
Antigua and Barbuda,23-01-2020,0,0,0,88.0,0.0,22.0,0.0,247.0,0.0,18.0,0.0,27.0,0.0,23.0,0.0,7.0,0.0
Antigua and Barbuda,24-01-2020,0,0,0,90.0,0.0,23.0,0.0,247.0,0.0,21.0,0.0,27.0,0.0,23.0,0.0,8.0,0.0
Antigua and Barbuda,25-01-2020,0,0,0,95.0,0.0,24.0,0.0,248.0,0.0,50.0,0.0,27.0,0.0,23.0,0.0,8.0,0.0
Antigua and Barbuda,26-01-2020,0,0,0,91.0,0.0,23.0,0.0,249.0,0.0,34.0,0.0,27.0,0.0,22.0,0.0,8.0,0.0
Antigua and Barbuda,27-01-2020,0,0,0,92.0,0.0,23.0,0.0,254.0,0.0,69.0,0.0,27.0,0.0,22.0,0.0,7.0,0.0
Antigua and Barbuda,28-01-2020,0,0,0,86.0,0.0,22.0,0.0,254.0,0.0,60.0,0.0,27.0,0.0,23.0,0.0,9.0,0.0
Antigua and Barbuda,29-01-2020,0,0,0,88.0,0.0,23.0,0.0,258.0,0.0,16.0,0.0,27.0,0.0,23.0,0.0,8.0,0.0
Antigua and Barbuda,30-01-2020,0,0,0,87.0,0.0,23.0,0.0,259.0,0.0,16.0,0.0,27.0,0.0,23.0,0.0,8.0,0.0
Antigua and Barbuda,31-01-2020,0,0,0,89.0,0.0,23.0,0.0,257.0,0.0,13.0,0.0,27.0,0.0,23.0,0.0,8.0,0.0
Antigua and Barbuda,01-02-2020,0,0,0,86.0,0.0,23.0,0.0,256.0,0.0,9.0,0.0,27.0,0.0,23.0,0.0,9.0,0.0
Antigua and Barbuda,02-02-2020,0,0,0,90.0,0.0,23.0,0.0,252.0,0.0,15.0,0.0,27.0,0.0,23.0,0.0,9.0,0.0
Antigua and Barbuda,03-02-2020,0,0,0,88.0,0.0,23.0,0.0,252.0,0.0,16.0,0.0,27.0,0.0,23.0,0.0,9.0,0.0
Antigua and Barbuda,04-02-2020,0,0,0,87.0,0.0,23.0,0.0,251.0,0.0,17.0,0.0,27.0,0.0,23.0,0.0,8.0,0.0
