# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Armenia,22-01-2020,0,0,0,66.0,0.0,-15.0,0.0,353.0,0.0,3.0,0.0,-5.0,0.0,-12.0,0.0,2.0,0.0
Armenia,23-01-2020,0,0,0,74.0,0.0,-14.0,0.0,327.0,0.0,23.0,0.0,-5.0,0.0,-12.0,0.0,2.0,0.0
Armenia,24-01-2020,0,0,0,75.0,0.0,-16.0,0.0,378.0,0.0,40.0,0.0,-10.0,0.0,-16.0,0.0,2.0,0.0
Armenia,25-01-2020,0,0,0,56.0,0.0,-20.0,0.0,328.0,0.0,8.0,0.0,-7.0,0.0,-13.0,0.0,3.0,0.0
Armenia,26-01-2020,0,0,0,64.0,0.0,-15.0,0.0,306.0,0.0,14.0,0.0,-4.0,0.0,-12.0,0.0,3.0,0.0
Armenia,27-01-2020,0,0,0,64.0,0.0,-15.0,0.0,290.0,0.0,16.0,0.0,-3.0,0.0,-10.0,0.0,3.0,0.0
Armenia,28-01-2020,0,0,0,64.0,0.0,-13.0,0.0,315.0,0.0,1.0,0.0,-2.0,0.0,-9.0,0.0,2.0,0.0
Armenia,29-01-2020,0,0,0,71.0,0.0,-11.0,0.0,348.0,0.0,20.0,0.0,-3.0,0.0,-11.0,0.0,2.0,0.0
Armenia,30-01-2020,0,0,0,80.0,0.0,-10.0,0.0,371.0,0.0,26.0,0.0,-4.0,0.0,-8.0,0.0,2.0,0.0
Armenia,31-01-2020,0,0,0,81.0,0.0,-8.0,0.0,353.0,0.0,24.0,0.0,-2.0,0.0,-8.0,0.0,2.0,0.0
Armenia,01-02-2020,0,0,0,93.0,0.0,-9.0,0.0,378.0,0.0,49.0,0.0,-7.0,0.0,-14.0,0.0,2.0,0.0
Armenia,02-02-2020,0,0,0,76.0,0.0,-14.0,0.0,332.0,0.0,9.0,0.0,-5.0,0.0,-12.0,0.0,2.0,0.0
Armenia,03-02-2020,0,0,0,75.0,0.0,-12.0,0.0,295.0,0.0,6.0,0.0,-3.0,0.0,-10.0,0.0,3.0,0.0
Armenia,04-02-2020,0,0,0,87.0,0.0,-10.0,0.0,325.0,0.0,52.0,0.0,-5.0,0.0,-9.0,0.0,2.0,0.0
Armenia,05-02-2020,0,0,0,88.0,0.0,-8.0,0.0,337.0,0.0,53.0,0.0,-3.0,0.0,-5.0,0.0,2.0,0.0
Armenia,06-02-2020,0,0,0,83.0,0.0,-6.0,0.0,319.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0,3.0,0.0
Armenia,07-02-2020,0,0,0,86.0,0.0,-5.0,0.0,306.0,0.0,54.0,0.0,-2.0,0.0,-7.0,0.0,3.0,0.0
Armenia,08-02-2020,0,0,0,94.0,0.0,-7.0,0.0,361.0,0.0,68.0,0.0,-4.0,0.0,-16.0,0.0,2.0,0.0
