# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Bahrain,22-01-2020,0,0,0,73.0,0.0,13.0,0.0,278.0,0.0,5.0,0.0,22.0,0.0,14.0,0.0,5.0,0.0
Bahrain,23-01-2020,0,0,0,80.0,0.0,11.0,0.0,276.0,0.0,70.0,0.0,15.0,0.0,13.0,0.0,4.0,0.0
Bahrain,24-01-2020,0,0,0,66.0,0.0,8.0,0.0,279.0,0.0,2.0,0.0,17.0,0.0,13.0,0.0,6.0,0.0
Bahrain,25-01-2020,0,0,0,62.0,0.0,8.0,0.0,277.0,0.0,3.0,0.0,18.0,0.0,10.0,0.0,6.0,0.0
Bahrain,26-01-2020,0,0,0,64.0,0.0,6.0,0.0,290.0,0.0,5.0,0.0,15.0,0.0,13.0,0.0,6.0,0.0
Bahrain,27-01-2020,0,0,0,66.0,0.0,8.0,0.0,290.0,0.0,2.0,0.0,16.0,0.0,13.0,0.0,6.0,0.0
Bahrain,28-01-2020,0,0,0,72.0,0.0,10.0,0.0,282.0,0.0,1.0,0.0,18.0,0.0,13.0,0.0,6.0,0.0
Bahrain,29-01-2020,0,0,0,70.0,0.0,10.0,0.0,280.0,0.0,6.0,0.0,18.0,0.0,15.0,0.0,4.0,0.0
Bahrain,30-01-2020,0,0,0,64.0,0.0,9.0,0.0,278.0,0.0,5.0,0.0,19.0,0.0,13.0,0.0,5.0,0.0
Bahrain,31-01-2020,0,0,0,74.0,0.0,11.0,0.0,268.0,0.0,6.0,0.0,18.0,0.0,14.0,0.0,6.0,0.0
Bahrain,01-02-2020,0,0,0,74.0,0.0,12.0,0.0,275.0,0.0,9.0,0.0,19.0,0.0,15.0,0.0,5.0,0.0
Bahrain,02-02-2020,0,0,0,70.0,0.0,11.0,0.0,288.0,0.0,5.0,0.0,18.0,0.0,13.0,0.0,6.0,0.0
Bahrain,03-02-2020,0,0,0,67.0,0.0,9.0,0.0,299.0,0.0,3.0,0.0,18.0,0.0,14.0,0.0,6.0,0.0
Bahrain,04-02-2020,0,0,0,68.0,0.0,10.0,0.0,294.0,0.0,6.0,0.0,18.0,0.0,14.0,0.0,4.0,0.0
Bahrain,05-02-2020,0,0,0,78.0,0.0,13.0,0.0,300.0,0.0,6.0,0.0,19.0,0.0,15.0,0.0,6.0,0.0
Bahrain,06-02-2020,0,0,0,77.0,0.0,14.0,0.0,286.0,0.0,5.0,0.0,21.0,0.0,17.0,0.0,5.0,0.0
Bahrain,07-02-2020,0,0,0,63.0,0.0,12.0,0.0,283.0,0.0,5.0,0.0,23.0,0.0,18.0,0.0,5.0,0.0
Bahrain,08-02-2020,0,0,0,65.0,0.0,14.0,0.0,280.0,0.0,2.0,0.0,25.0,0.0,17.0,0.0,7.0,0.0
Bahrain,09-02-2020,0,0,0,84.0,0.0,16.0,0.0,278.0,0.0,12.0,0.0,20.0,0.0,16.0,0.0,4.0,0.0
Bahrain,10-02-2020,0,0,0,70.0,0.0,12.0,0.0,283.0,0.0,6.0,0.0,19.0,0.0,13.0,0.0,7.0,0.0
Bahrain,11-02-2020,0,0,0,67.0,0.0,8.0,0.0,296.0,0.0,4.0,0.0,16.0,0.0,8.0,0.0,7.0,0.0
Bahrain,12-02-2020,0,0,0,64.0,0.0,4.0,0.0,322.0,0.0,2.0,0.0,13.0,0.0,11.0,0.0,6.0,0.0
Bahrain,13-02-2020,0,0,0,70.0,0.0,8.0,0.0,323.0,0.0,3.0,0.0,16.0,0.0,13.0,0.0,6.0,0.0
Bahrain,14-02-2020,0,0,0,74.0,0.0,11.0,0.0,304.0,0.0,4.0,0.0,19.0,0.0,14.0,0.0,7.0,0.0
Bahrain,15-02-2020,0,0,0,76.0,0.0,12.0,0.0,294.0,0.0,4.0,0.0,20.0,0.0,14.0,0.0,7.0,0.0
Bahrain,16-02-2020,0,0,0,80.0,0.0,13.0,0.0,288.0,0.0,5.0,0.0,20.0,0.0,16.0,0.0,7.0,0.0
Bahrain,17-02-2020,0,0,0,80.0,0.0,15.0,0.0,282.0,0.0,7.0,0.0,23.0,0.0,17.0,0.0,4.0,0.0
Bahrain,18-02-2020,0,0,0,73.0,0.0,14.0,0.0,275.0,0.0,9.0,0.0,22.0,0.0,18.0,0.0,4.0,0.0
