# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Bangladesh,22-01-2020,0,0,0,65.0,0.0,10.0,0.0,270.0,0.0,2.0,0.0,25.0,0.0,12.0,0.0,6.0,0.0
Bangladesh,23-01-2020,0,0,0,66.0,0.0,11.0,0.0,279.0,0.0,4.0,0.0,24.0,0.0,12.0,0.0,5.0,0.0
Bangladesh,24-01-2020,0,0,0,59.0,0.0,8.0,0.0,285.0,0.0,3.0,0.0,23.0,0.0,10.0,0.0,5.0,0.0
Bangladesh,25-01-2020,0,0,0,61.0,0.0,9.0,0.0,286.0,0.0,3.0,0.0,24.0,0.0,11.0,0.0,6.0,0.0
Bangladesh,26-01-2020,0,0,0,64.0,0.0,10.0,0.0,278.0,0.0,4.0,0.0,24.0,0.0,12.0,0.0,6.0,0.0
Bangladesh,27-01-2020,0,0,0,66.0,0.0,11.0,0.0,268.0,0.0,5.0,0.0,23.0,0.0,13.0,0.0,7.0,0.0
Bangladesh,28-01-2020,0,0,0,66.0,0.0,11.0,0.0,255.0,0.0,4.0,0.0,25.0,0.0,14.0,0.0,7.0,0.0
Bangladesh,29-01-2020,0,0,0,70.0,0.0,13.0,0.0,247.0,0.0,16.0,0.0,25.0,0.0,15.0,0.0,6.0,0.0
Bangladesh,30-01-2020,0,0,0,80.0,0.0,15.0,0.0,248.0,0.0,67.0,0.0,23.0,0.0,16.0,0.0,6.0,0.0
Bangladesh,31-01-2020,0,0,0,72.0,0.0,14.0,0.0,246.0,0.0,16.0,0.0,25.0,0.0,13.0,0.0,6.0,0.0
Bangladesh,01-02-2020,0,0,0,56.0,0.0,9.0,0.0,242.0,0.0,4.0,0.0,25.0,0.0,13.0,0.0,8.0,0.0
Bangladesh,02-02-2020,0,0,0,53.0,0.0,8.0,0.0,252.0,0.0,3.0,0.0,24.0,0.0,10.0,0.0,8.0,0.0
Bangladesh,03-02-2020,0,0,0,48.0,0.0,5.0,0.0,259.0,0.0,3.0,0.0,24.0,0.0,10.0,0.0,7.0,0.0
Bangladesh,04-02-2020,0,0,0,53.0,0.0,7.0,0.0,260.0,0.0,6.0,0.0,25.0,0.0,12.0,0.0,7.0,0.0
Bangladesh,05-02-2020,0,0,0,50.0,0.0,8.0,0.0,267.0,0.0,5.0,0.0,26.0,0.0,14.0,0.0,7.0,0.0
Bangladesh,06-02-2020,0,0,0,54.0,0.0,10.0,0.0,269.0,0.0,3.0,0.0,25.0,0.0,13.0,0.0,7.0,0.0
Bangladesh,07-02-2020,0,0,0,49.0,0.0,8.0,0.0,276.0,0.0,5.0,0.0,26.0,0.0,17.0,0.0,7.0,0.0
