# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Belarus,22-01-2020,0,0,0,86.0,0.0,0.0,0.0,387.0,0.0,78.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0
Belarus,23-01-2020,0,0,0,73.0,0.0,-4.0,0.0,353.0,0.0,28.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
Belarus,24-01-2020,0,0,0,81.0,0.0,-1.0,0.0,290.0,0.0,22.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
Belarus,25-01-2020,0,0,0,83.0,0.0,0.0,0.0,286.0,0.0,60.0,0.0,5.0,0.0,-1.0,0.0,1.0,0.0
Belarus,26-01-2020,0,0,0,83.0,0.0,-1.0,0.0,239.0,0.0,14.0,0.0,3.0,0.0,-1.0,0.0,1.0,0.0
Belarus,27-01-2020,0,0,0,83.0,0.0,-2.0,0.0,259.0,0.0,40.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0
Belarus,28-01-2020,0,0,0,86.0,0.0,-1.0,0.0,294.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Belarus,29-01-2020,0,0,0,91.0,0.0,0.0,0.0,310.0,0.0,78.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Belarus,30-01-2020,0,0,0,88.0,0.0,-1.0,0.0,336.0,0.0,53.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0
Belarus,31-01-2020,0,0,0,93.0,0.0,0.0,0.0,314.0,0.0,74.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Belarus,01-02-2020,0,0,0,94.0,0.0,1.0,0.0,278.0,0.0,82.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0
Belarus,02-02-2020,0,0,0,88.0,0.0,4.0,0.0,315.0,0.0,96.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0
Belarus,03-02-2020,0,0,0,80.0,0.0,-1.0,0.0,344.0,0.0,47.0,0.0,3.0,0.0,-1.0,0.0,1.0,0.0
Belarus,04-02-2020,0,0,0,77.0,0.0,-3.0,0.0,395.0,0.0,31.0,0.0,1.0,0.0,-6.0,0.0,1.0,0.0
Belarus,05-02-2020,0,0,0,59.0,0.0,-10.0,0.0,406.0,0.0,4.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0
Belarus,06-02-2020,0,0,0,73.0,0.0,-5.0,0.0,402.0,0.0,39.0,0.0,3.0,0.0,-6.0,0.0,1.0,0.0
Belarus,07-02-2020,0,0,0,54.0,0.0,-12.0,0.0,363.0,0.0,7.0,0.0,-2.0,0.0,-6.0,0.0,1.0,0.0
Belarus,08-02-2020,0,0,0,78.0,0.0,-5.0,0.0,341.0,0.0,25.0,0.0,1.0,0.0,-5.0,0.0,1.0,0.0
Belarus,09-02-2020,0,0,0,81.0,0.0,-3.0,0.0,319.0,0.0,7.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0
Belarus,10-02-2020,0,0,0,78.0,0.0,-2.0,0.0,308.0,0.0,87.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
Belarus,11-02-2020,0,0,0,88.0,0.0,0.0,0.0,365.0,0.0,87.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Belarus,12-02-2020,0,0,0,88.0,0.0,0.0,0.0,412.0,0.0,83.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Belarus,13-02-2020,0,0,0,87.0,0.0,0.0,0.0,425.0,0.0,61.0,0.0,3.0,0.0,-2.0,0.0,1.0,0.0
Belarus,14-02-2020,0,0,0,85.0,0.0,-1.0,0.0,410.0,0.0,30.0,0.0,3.0,0.0,-4.0,0.0,1.0,0.0
Belarus,15-02-2020,0,0,0,82.0,0.0,-3.0,0.0,376.0,0.0,19.0,0.0,3.0,0.0,-2.0,0.0,1.0,0.0
Belarus,16-02-2020,0,0,0,77.0,0.0,-2.0,0.0,344.0,0.0,11.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0
Belarus,17-02-2020,0,0,0,68.0,0.0,1.0,0.0,336.0,0.0,6.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0
Belarus,18-02-2020,0,0,0,75.0,0.0,2.0,0.0,355.0,0.0,44.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0
Belarus,19-02-2020,0,0,0,75.0,0.0,0.0,0.0,386.0,0.0,21.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Belarus,20-02-2020,0,0,0,82.0,0.0,0.0,0.0,406.0,0.0,26.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Belarus,21-02-2020,0,0,0,78.0,0.0,-1.0,0.0,370.0,0.0,22.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Belarus,22-02-2020,0,0,0,73.0,0.0,-1.0,0.0,372.0,0.0,19.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0
Belarus,23-02-2020,0,0,0,70.0,0.0,0.0,0.0,408.0,0.0,56.0,0.0,5.0,0.0,-2.0,0.0,1.0,0.0
Belarus,24-02-2020,0,0,0,76.0,0.0,-2.0,0.0,414.0,0.0,43.0,0.0,4.0,0.0,-4.0,0.0,1.0,0.0
Belarus,25-02-2020,0,0,0,83.0,0.0,-2.0,0.0,356.0,0.0,46.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
Belarus,26-02-2020,0,0,0,82.0,0.0,2.0,0.0,359.0,0.0,72.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
Belarus,27-02-2020,0,0,0,86.0,0.0,0.0,0.0,405.0,0.0,84.0,0.0,3.0,0.0,-2.0,0.0,1.0,0.0
Belarus,28-02-2020,0,0,0,74.0,0.0,-3.0,0.0,403.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
