# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Belize,22-01-2020,0,0,0,92.0,0.0,22.0,0.0,245.0,0.0,35.0,0.0,25.0,0.0,21.0,0.0,8.0,0.0
Belize,23-01-2020,0,0,0,98.0,0.0,22.0,0.0,248.0,0.0,69.0,0.0,24.0,0.0,22.0,0.0,6.0,0.0
Belize,24-01-2020,0,0,0,98.0,0.0,23.0,0.0,250.0,0.0,59.0,0.0,25.0,0.0,22.0,0.0,7.0,0.0
Belize,25-01-2020,0,0,0,96.0,0.0,23.0,0.0,249.0,0.0,31.0,0.0,26.0,0.0,22.0,0.0,9.0,0.0
Belize,26-01-2020,0,0,0,95.0,0.0,23.0,0.0,253.0,0.0,18.0,0.0,26.0,0.0,21.0,0.0,6.0,0.0
Belize,27-01-2020,0,0,0,93.0,0.0,22.0,0.0,256.0,0.0,23.0,0.0,24.0,0.0,21.0,0.0,6.0,0.0
Belize,28-01-2020,0,0,0,86.0,0.0,21.0,0.0,254.0,0.0,9.0,0.0,26.0,0.0,22.0,0.0,5.0,0.0
Belize,29-01-2020,0,0,0,96.0,0.0,23.0,0.0,249.0,0.0,34.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,30-01-2020,0,0,0,95.0,0.0,23.0,0.0,247.0,0.0,15.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,31-01-2020,0,0,0,93.0,0.0,23.0,0.0,248.0,0.0,11.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,01-02-2020,0,0,0,95.0,0.0,23.0,0.0,249.0,0.0,33.0,0.0,26.0,0.0,23.0,0.0,10.0,0.0
Belize,02-02-2020,0,0,0,93.0,0.0,23.0,0.0,247.0,0.0,25.0,0.0,26.0,0.0,22.0,0.0,8.0,0.0
Belize,03-02-2020,0,0,0,90.0,0.0,22.0,0.0,244.0,0.0,19.0,0.0,26.0,0.0,22.0,0.0,8.0,0.0
Belize,04-02-2020,0,0,0,91.0,0.0,22.0,0.0,245.0,0.0,21.0,0.0,25.0,0.0,22.0,0.0,7.0,0.0
Belize,05-02-2020,0,0,0,87.0,0.0,21.0,0.0,247.0,0.0,13.0,0.0,25.0,0.0,22.0,0.0,7.0,0.0
Belize,06-02-2020,0,0,0,91.0,0.0,22.0,0.0,255.0,0.0,23.0,0.0,26.0,0.0,22.0,0.0,9.0,0.0
Belize,07-02-2020,0,0,0,89.0,0.0,22.0,0.0,260.0,0.0,23.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,08-02-2020,0,0,0,85.0,0.0,21.0,0.0,260.0,0.0,16.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,09-02-2020,0,0,0,87.0,0.0,21.0,0.0,267.0,0.0,17.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,10-02-2020,0,0,0,89.0,0.0,22.0,0.0,269.0,0.0,37.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,11-02-2020,0,0,0,91.0,0.0,22.0,0.0,268.0,0.0,47.0,0.0,25.0,0.0,21.0,0.0,9.0,0.0
Belize,12-02-2020,0,0,0,94.0,0.0,22.0,0.0,265.0,0.0,60.0,0.0,25.0,0.0,22.0,0.0,10.0,0.0
Belize,13-02-2020,0,0,0,93.0,0.0,22.0,0.0,265.0,0.0,38.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,14-02-2020,0,0,0,89.0,0.0,21.0,0.0,270.0,0.0,25.0,0.0,25.0,0.0,23.0,0.0,8.0,0.0
Belize,15-02-2020,0,0,0,85.0,0.0,21.0,0.0,267.0,0.0,20.0,0.0,25.0,0.0,23.0,0.0,6.0,0.0
Belize,16-02-2020,0,0,0,86.0,0.0,21.0,0.0,263.0,0.0,12.0,0.0,25.0,0.0,22.0,0.0,6.0,0.0
Belize,17-02-2020,0,0,0,88.0,0.0,22.0,0.0,264.0,0.0,11.0,0.0,25.0,0.0,22.0,0.0,7.0,0.0
Belize,18-02-2020,0,0,0,93.0,0.0,23.0,0.0,263.0,0.0,30.0,0.0,26.0,0.0,22.0,0.0,11.0,0.0
Belize,19-02-2020,0,0,0,99.0,0.0,23.0,0.0,262.0,0.0,56.0,0.0,25.0,0.0,22.0,0.0,9.0,0.0
Belize,20-02-2020,0,0,0,94.0,0.0,22.0,0.0,261.0,0.0,56.0,0.0,25.0,0.0,22.0,0.0,11.0,0.0
Belize,21-02-2020,0,0,0,86.0,0.0,21.0,0.0,266.0,0.0,17.0,0.0,25.0,0.0,22.0,0.0,10.0,0.0
Belize,22-02-2020,0,0,0,87.0,0.0,21.0,0.0,268.0,0.0,19.0,0.0,25.0,0.0,21.0,0.0,11.0,0.0
Belize,23-02-2020,0,0,0,88.0,0.0,21.0,0.0,269.0,0.0,22.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,24-02-2020,0,0,0,96.0,0.0,23.0,0.0,267.0,0.0,33.0,0.0,26.0,0.0,23.0,0.0,10.0,0.0
Belize,25-02-2020,0,0,0,93.0,0.0,23.0,0.0,257.0,0.0,16.0,0.0,26.0,0.0,22.0,0.0,8.0,0.0
Belize,26-02-2020,0,0,0,91.0,0.0,22.0,0.0,256.0,0.0,20.0,0.0,26.0,0.0,22.0,0.0,12.0,0.0
Belize,27-02-2020,0,0,0,90.0,0.0,22.0,0.0,257.0,0.0,10.0,0.0,26.0,0.0,22.0,0.0,12.0,0.0
Belize,28-02-2020,0,0,0,89.0,0.0,21.0,0.0,264.0,0.0,15.0,0.0,25.0,0.0,22.0,0.0,11.0,0.0
Belize,29-02-2020,0,0,0,88.0,0.0,21.0,0.0,270.0,0.0,17.0,0.0,25.0,0.0,22.0,0.0,10.0,0.0
Belize,01-03-2020,0,0,0,86.0,0.0,21.0,0.0,266.0,0.0,18.0,0.0,25.0,0.0,22.0,0.0,6.0,0.0
Belize,02-03-2020,0,0,0,90.0,0.0,21.0,0.0,265.0,0.0,24.0,0.0,24.0,0.0,22.0,0.0,10.0,0.0
Belize,03-03-2020,0,0,0,87.0,0.0,21.0,0.0,263.0,0.0,26.0,0.0,25.0,0.0,21.0,0.0,10.0,0.0
Belize,04-03-2020,0,0,0,92.0,0.0,22.0,0.0,261.0,0.0,35.0,0.0,25.0,0.0,22.0,0.0,8.0,0.0
Belize,05-03-2020,0,0,0,83.0,0.0,21.0,0.0,256.0,0.0,16.0,0.0,26.0,0.0,22.0,0.0,10.0,0.0
Belize,06-03-2020,0,0,0,82.0,0.0,20.0,0.0,259.0,0.0,9.0,0.0,26.0,0.0,22.0,0.0,11.0,0.0
Belize,07-03-2020,0,0,0,84.0,0.0,20.0,0.0,259.0,0.0,15.0,0.0,25.0,0.0,22.0,0.0,13.0,0.0
