# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Benin,22-01-2020,0,0,0,24.0,0.0,3.0,0.0,248.0,0.0,2.0,0.0,36.0,0.0,19.0,0.0,10.0,0.0
Benin,23-01-2020,0,0,0,15.0,0.0,-2.0,0.0,250.0,0.0,2.0,0.0,35.0,0.0,18.0,0.0,7.0,0.0
Benin,24-01-2020,0,0,0,9.0,0.0,-10.0,0.0,251.0,0.0,3.0,0.0,35.0,0.0,18.0,0.0,11.0,0.0
Benin,25-01-2020,0,0,0,6.0,0.0,-15.0,0.0,252.0,0.0,3.0,0.0,34.0,0.0,16.0,0.0,11.0,0.0
Benin,26-01-2020,0,0,0,7.0,0.0,-13.0,0.0,254.0,0.0,3.0,0.0,35.0,0.0,14.0,0.0,6.0,0.0
Benin,27-01-2020,0,0,0,10.0,0.0,-9.0,0.0,250.0,0.0,5.0,0.0,36.0,0.0,16.0,0.0,11.0,0.0
Benin,28-01-2020,0,0,0,13.0,0.0,-6.0,0.0,250.0,0.0,3.0,0.0,36.0,0.0,16.0,0.0,8.0,0.0
Benin,29-01-2020,0,0,0,11.0,0.0,-10.0,0.0,249.0,0.0,5.0,0.0,37.0,0.0,16.0,0.0,9.0,0.0
Benin,30-01-2020,0,0,0,4.0,0.0,-19.0,0.0,250.0,0.0,2.0,0.0,37.0,0.0,15.0,0.0,11.0,0.0
Benin,31-01-2020,0,0,0,6.0,0.0,-15.0,0.0,252.0,0.0,3.0,0.0,36.0,0.0,17.0,0.0,7.0,0.0
Benin,01-02-2020,0,0,0,8.0,0.0,-11.0,0.0,249.0,0.0,6.0,0.0,36.0,0.0,17.0,0.0,9.0,0.0
Benin,02-02-2020,0,0,0,7.0,0.0,-14.0,0.0,250.0,0.0,3.0,0.0,35.0,0.0,14.0,0.0,11.0,0.0
Benin,03-02-2020,0,0,0,7.0,0.0,-15.0,0.0,252.0,0.0,4.0,0.0,35.0,0.0,13.0,0.0,11.0,0.0
Benin,04-02-2020,0,0,0,9.0,0.0,-12.0,0.0,251.0,0.0,5.0,0.0,36.0,0.0,14.0,0.0,10.0,0.0
Benin,05-02-2020,0,0,0,11.0,0.0,-9.0,0.0,257.0,0.0,4.0,0.0,35.0,0.0,17.0,0.0,9.0,0.0
Benin,06-02-2020,0,0,0,10.0,0.0,-8.0,0.0,255.0,0.0,2.0,0.0,36.0,0.0,18.0,0.0,12.0,0.0
Benin,07-02-2020,0,0,0,11.0,0.0,-7.0,0.0,256.0,0.0,4.0,0.0,36.0,0.0,18.0,0.0,11.0,0.0
