# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Bhutan,22-01-2020,0,0,0,51.0,0.0,-6.0,0.0,283.0,0.0,9.0,0.0,11.0,0.0,-2.0,0.0,6.0,0.0
Bhutan,23-01-2020,0,0,0,54.0,0.0,-6.0,0.0,300.0,0.0,19.0,0.0,7.0,0.0,-3.0,0.0,5.0,0.0
Bhutan,24-01-2020,0,0,0,41.0,0.0,-10.0,0.0,312.0,0.0,11.0,0.0,10.0,0.0,-4.0,0.0,5.0,0.0
Bhutan,25-01-2020,0,0,0,23.0,0.0,-19.0,0.0,301.0,0.0,1.0,0.0,12.0,0.0,-4.0,0.0,6.0,0.0
Bhutan,26-01-2020,0,0,0,47.0,0.0,-9.0,0.0,287.0,0.0,27.0,0.0,8.0,0.0,-4.0,0.0,6.0,0.0
Bhutan,27-01-2020,0,0,0,59.0,0.0,-6.0,0.0,274.0,0.0,41.0,0.0,7.0,0.0,-3.0,0.0,6.0,0.0
Bhutan,28-01-2020,0,0,0,63.0,0.0,-4.0,0.0,256.0,0.0,45.0,0.0,7.0,0.0,-2.0,0.0,5.0,0.0
Bhutan,29-01-2020,0,0,0,59.0,0.0,-4.0,0.0,250.0,0.0,23.0,0.0,11.0,0.0,-3.0,0.0,6.0,0.0
Bhutan,30-01-2020,0,0,0,65.0,0.0,-3.0,0.0,259.0,0.0,36.0,0.0,8.0,0.0,-3.0,0.0,6.0,0.0
Bhutan,31-01-2020,0,0,0,60.0,0.0,-4.0,0.0,262.0,0.0,27.0,0.0,9.0,0.0,-1.0,0.0,6.0,0.0
Bhutan,01-02-2020,0,0,0,60.0,0.0,-4.0,0.0,257.0,0.0,33.0,0.0,10.0,0.0,-3.0,0.0,7.0,0.0
Bhutan,02-02-2020,0,0,0,56.0,0.0,-6.0,0.0,256.0,0.0,22.0,0.0,9.0,0.0,-4.0,0.0,7.0,0.0
Bhutan,03-02-2020,0,0,0,53.0,0.0,-7.0,0.0,258.0,0.0,26.0,0.0,8.0,0.0,-2.0,0.0,7.0,0.0
Bhutan,04-02-2020,0,0,0,59.0,0.0,-4.0,0.0,271.0,0.0,25.0,0.0,8.0,0.0,-2.0,0.0,6.0,0.0
Bhutan,05-02-2020,0,0,0,67.0,0.0,-4.0,0.0,283.0,0.0,38.0,0.0,6.0,0.0,-4.0,0.0,5.0,0.0
Bhutan,06-02-2020,0,0,0,55.0,0.0,-6.0,0.0,279.0,0.0,24.0,0.0,8.0,0.0,-4.0,0.0,7.0,0.0
Bhutan,07-02-2020,0,0,0,54.0,0.0,-6.0,0.0,289.0,0.0,16.0,0.0,11.0,0.0,-3.0,0.0,7.0,0.0
Bhutan,08-02-2020,0,0,0,53.0,0.0,-6.0,0.0,288.0,0.0,12.0,0.0,11.0,0.0,-5.0,0.0,7.0,0.0
Bhutan,09-02-2020,0,0,0,47.0,0.0,-9.0,0.0,299.0,0.0,8.0,0.0,10.0,0.0,-4.0,0.0,7.0,0.0
Bhutan,10-02-2020,0,0,0,40.0,0.0,-10.0,0.0,291.0,0.0,13.0,0.0,12.0,0.0,-2.0,0.0,7.0,0.0
Bhutan,11-02-2020,0,0,0,56.0,0.0,-4.0,0.0,279.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0
Bhutan,12-02-2020,0,0,0,56.0,0.0,-2.0,0.0,281.0,0.0,9.0,0.0,15.0,0.0,0.0,0.0,8.0,0.0
Bhutan,13-02-2020,0,0,0,52.0,0.0,-2.0,0.0,278.0,0.0,5.0,0.0,16.0,0.0,1.0,0.0,8.0,0.0
Bhutan,14-02-2020,0,0,0,65.0,0.0,0.0,0.0,294.0,0.0,14.0,0.0,10.0,0.0,1.0,0.0,5.0,0.0
Bhutan,15-02-2020,0,0,0,67.0,0.0,0.0,0.0,295.0,0.0,20.0,0.0,12.0,0.0,1.0,0.0,6.0,0.0
Bhutan,16-02-2020,0,0,0,63.0,0.0,0.0,0.0,282.0,0.0,16.0,0.0,14.0,0.0,3.0,0.0,7.0,0.0
Bhutan,17-02-2020,0,0,0,69.0,0.0,1.0,0.0,278.0,0.0,44.0,0.0,12.0,0.0,2.0,0.0,7.0,0.0
Bhutan,18-02-2020,0,0,0,67.0,0.0,1.0,0.0,290.0,0.0,48.0,0.0,14.0,0.0,2.0,0.0,7.0,0.0
Bhutan,19-02-2020,0,0,0,71.0,0.0,1.0,0.0,302.0,0.0,60.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0
Bhutan,20-02-2020,0,0,0,74.0,0.0,2.0,0.0,304.0,0.0,60.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0
Bhutan,21-02-2020,0,0,0,63.0,0.0,0.0,0.0,308.0,0.0,24.0,0.0,14.0,0.0,1.0,0.0,7.0,0.0
Bhutan,22-02-2020,0,0,0,70.0,0.0,0.0,0.0,311.0,0.0,60.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0
Bhutan,23-02-2020,0,0,0,64.0,0.0,-1.0,0.0,305.0,0.0,36.0,0.0,11.0,0.0,0.0,0.0,8.0,0.0
Bhutan,24-02-2020,0,0,0,64.0,0.0,-2.0,0.0,299.0,0.0,34.0,0.0,10.0,0.0,-1.0,0.0,6.0,0.0
Bhutan,25-02-2020,0,0,0,62.0,0.0,-2.0,0.0,299.0,0.0,33.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0
Bhutan,26-02-2020,0,0,0,72.0,0.0,-1.0,0.0,315.0,0.0,61.0,0.0,7.0,0.0,-2.0,0.0,4.0,0.0
Bhutan,27-02-2020,0,0,0,56.0,0.0,-4.0,0.0,320.0,0.0,19.0,0.0,13.0,0.0,-1.0,0.0,8.0,0.0
Bhutan,28-02-2020,0,0,0,41.0,0.0,-7.0,0.0,299.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0
Bhutan,29-02-2020,0,0,0,50.0,0.0,-3.0,0.0,282.0,0.0,21.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0
Bhutan,01-03-2020,0,0,0,65.0,0.0,0.0,0.0,287.0,0.0,33.0,0.0,13.0,0.0,2.0,0.0,9.0,0.0
Bhutan,02-03-2020,0,0,0,73.0,0.0,1.0,0.0,289.0,0.0,56.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0
Bhutan,03-03-2020,0,0,0,71.0,0.0,0.0,0.0,285.0,0.0,60.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0
Bhutan,04-03-2020,0,0,0,77.0,0.0,0.0,0.0,276.0,0.0,55.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0
Bhutan,05-03-2020,0,0,0,66.0,0.0,0.0,0.0,271.0,0.0,38.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0
Bhutan,06-03-2020,0,0,0,66.0,0.0,-1.0,0.0,274.0,0.0,44.0,0.0,11.0,0.0,-1.0,0.0,7.0,0.0
Bhutan,07-03-2020,0,0,0,67.0,0.0,0.0,0.0,282.0,0.0,45.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0
Bhutan,08-03-2020,0,0,0,59.0,0.0,-1.0,0.0,291.0,0.0,26.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0
Bhutan,09-03-2020,0,0,0,56.0,0.0,-1.0,0.0,294.0,0.0,24.0,0.0,15.0,0.0,1.0,0.0,9.0,0.0
Bhutan,10-03-2020,0,0,0,66.0,0.0,1.0,0.0,297.0,0.0,42.0,0.0,13.0,0.0,1.0,0.0,9.0,0.0
Bhutan,11-03-2020,0,0,0,71.0,0.0,2.0,0.0,293.0,0.0,46.0,0.0,12.0,0.0,2.0,0.0,9.0,0.0
