# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Bolivia,22-01-2020,0,0,0,76.0,0.0,24.0,0.0,259.0,0.0,63.0,0.0,34.0,0.0,22.0,0.0,9.0,0.0
Bolivia,23-01-2020,0,0,0,92.0,0.0,24.0,0.0,259.0,0.0,92.0,0.0,28.0,0.0,22.0,0.0,6.0,0.0
Bolivia,24-01-2020,0,0,0,73.0,0.0,22.0,0.0,263.0,0.0,31.0,0.0,34.0,0.0,23.0,0.0,6.0,0.0
Bolivia,25-01-2020,0,0,0,67.0,0.0,21.0,0.0,266.0,0.0,11.0,0.0,34.0,0.0,22.0,0.0,8.0,0.0
Bolivia,26-01-2020,0,0,0,67.0,0.0,22.0,0.0,269.0,0.0,18.0,0.0,36.0,0.0,24.0,0.0,6.0,0.0
Bolivia,27-01-2020,0,0,0,71.0,0.0,23.0,0.0,265.0,0.0,39.0,0.0,37.0,0.0,25.0,0.0,14.0,0.0
Bolivia,28-01-2020,0,0,0,79.0,0.0,24.0,0.0,262.0,0.0,57.0,0.0,35.0,0.0,22.0,0.0,10.0,0.0
Bolivia,29-01-2020,0,0,0,87.0,0.0,23.0,0.0,260.0,0.0,76.0,0.0,31.0,0.0,22.0,0.0,6.0,0.0
Bolivia,30-01-2020,0,0,0,97.0,0.0,24.0,0.0,258.0,0.0,91.0,0.0,28.0,0.0,22.0,0.0,7.0,0.0
Bolivia,31-01-2020,0,0,0,90.0,0.0,23.0,0.0,254.0,0.0,88.0,0.0,30.0,0.0,20.0,0.0,9.0,0.0
Bolivia,01-02-2020,0,0,0,84.0,0.0,21.0,0.0,254.0,0.0,70.0,0.0,29.0,0.0,21.0,0.0,7.0,0.0
Bolivia,02-02-2020,0,0,0,86.0,0.0,23.0,0.0,250.0,0.0,68.0,0.0,29.0,0.0,23.0,0.0,6.0,0.0
