# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Bosnia and Herzegovina,22-01-2020,0,0,0,34.0,0.0,-14.0,0.0,366.0,0.0,1.0,0.0,5.0,0.0,-5.0,0.0,1.0,0.0
Bosnia and Herzegovina,23-01-2020,0,0,0,57.0,0.0,-9.0,0.0,328.0,0.0,2.0,0.0,1.0,0.0,-4.0,0.0,2.0,0.0
Bosnia and Herzegovina,24-01-2020,0,0,0,44.0,0.0,-12.0,0.0,326.0,0.0,2.0,0.0,4.0,0.0,-2.0,0.0,2.0,0.0
Bosnia and Herzegovina,25-01-2020,0,0,0,96.0,0.0,-1.0,0.0,298.0,0.0,32.0,0.0,4.0,0.0,-2.0,0.0,2.0,0.0
Bosnia and Herzegovina,26-01-2020,0,0,0,99.0,0.0,-1.0,0.0,306.0,0.0,77.0,0.0,2.0,0.0,-3.0,0.0,2.0,0.0
Bosnia and Herzegovina,27-01-2020,0,0,0,95.0,0.0,-2.0,0.0,328.0,0.0,38.0,0.0,3.0,0.0,-3.0,0.0,2.0,0.0
Bosnia and Herzegovina,28-01-2020,0,0,0,97.0,0.0,0.0,0.0,346.0,0.0,55.0,0.0,3.0,0.0,-3.0,0.0,1.0,0.0
Bosnia and Herzegovina,29-01-2020,0,0,0,94.0,0.0,-1.0,0.0,387.0,0.0,80.0,0.0,3.0,0.0,-6.0,0.0,1.0,0.0
Bosnia and Herzegovina,30-01-2020,0,0,0,73.0,0.0,-7.0,0.0,333.0,0.0,19.0,0.0,1.0,0.0,-3.0,0.0,2.0,0.0
Bosnia and Herzegovina,31-01-2020,0,0,0,77.0,0.0,-3.0,0.0,301.0,0.0,11.0,0.0,4.0,0.0,-1.0,0.0,2.0,0.0
Bosnia and Herzegovina,01-02-2020,0,0,0,94.0,0.0,0.0,0.0,288.0,0.0,14.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0
Bosnia and Herzegovina,02-02-2020,0,0,0,94.0,0.0,2.0,0.0,314.0,0.0,32.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0
Bosnia and Herzegovina,03-02-2020,0,0,0,93.0,0.0,2.0,0.0,310.0,0.0,11.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0
Bosnia and Herzegovina,04-02-2020,0,0,0,98.0,0.0,0.0,0.0,341.0,0.0,82.0,0.0,5.0,0.0,-7.0,0.0,2.0,0.0
Bosnia and Herzegovina,05-02-2020,0,0,0,93.0,0.0,-7.0,0.0,415.0,0.0,62.0,0.0,-4.0,0.0,-11.0,0.0,1.0,0.0
Bosnia and Herzegovina,06-02-2020,0,0,0,69.0,0.0,-13.0,0.0,381.0,0.0,10.0,0.0,-3.0,0.0,-8.0,0.0,2.0,0.0
Bosnia and Herzegovina,07-02-2020,0,0,0,84.0,0.0,-8.0,0.0,352.0,0.0,8.0,0.0,0.0,0.0,-8.0,0.0,2.0,0.0
Bosnia and Herzegovina,08-02-2020,0,0,0,86.0,0.0,-6.0,0.0,332.0,0.0,4.0,0.0,2.0,0.0,-5.0,0.0,2.0,0.0
Bosnia and Herzegovina,09-02-2020,0,0,0,81.0,0.0,-5.0,0.0,326.0,0.0,5.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
