# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Brunei,22-01-2020,0,0,0,84.0,0.0,23.0,0.0,244.0,0.0,17.0,0.0,32.0,0.0,22.0,0.0,9.0,0.0
Brunei,23-01-2020,0,0,0,81.0,0.0,23.0,0.0,248.0,0.0,7.0,0.0,32.0,0.0,22.0,0.0,9.0,0.0
Brunei,24-01-2020,0,0,0,81.0,0.0,23.0,0.0,246.0,0.0,16.0,0.0,33.0,0.0,23.0,0.0,8.0,0.0
Brunei,25-01-2020,0,0,0,87.0,0.0,24.0,0.0,248.0,0.0,38.0,0.0,32.0,0.0,23.0,0.0,8.0,0.0
Brunei,26-01-2020,0,0,0,93.0,0.0,25.0,0.0,243.0,0.0,92.0,0.0,32.0,0.0,23.0,0.0,7.0,0.0
Brunei,27-01-2020,0,0,0,95.0,0.0,25.0,0.0,245.0,0.0,79.0,0.0,30.0,0.0,23.0,0.0,8.0,0.0
Brunei,28-01-2020,0,0,0,90.0,0.0,25.0,0.0,247.0,0.0,53.0,0.0,32.0,0.0,24.0,0.0,11.0,0.0
Brunei,29-01-2020,0,0,0,96.0,0.0,25.0,0.0,246.0,0.0,76.0,0.0,29.0,0.0,23.0,0.0,9.0,0.0
Brunei,30-01-2020,0,0,0,92.0,0.0,24.0,0.0,246.0,0.0,61.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
Brunei,31-01-2020,0,0,0,84.0,0.0,22.0,0.0,248.0,0.0,18.0,0.0,31.0,0.0,22.0,0.0,6.0,0.0
Brunei,01-02-2020,0,0,0,86.0,0.0,23.0,0.0,244.0,0.0,23.0,0.0,31.0,0.0,23.0,0.0,6.0,0.0
Brunei,02-02-2020,0,0,0,85.0,0.0,24.0,0.0,245.0,0.0,25.0,0.0,32.0,0.0,24.0,0.0,6.0,0.0
Brunei,03-02-2020,0,0,0,87.0,0.0,24.0,0.0,247.0,0.0,52.0,0.0,31.0,0.0,24.0,0.0,6.0,0.0
Brunei,04-02-2020,0,0,0,96.0,0.0,25.0,0.0,247.0,0.0,65.0,0.0,30.0,0.0,23.0,0.0,7.0,0.0
Brunei,05-02-2020,0,0,0,88.0,0.0,23.0,0.0,245.0,0.0,56.0,0.0,30.0,0.0,22.0,0.0,6.0,0.0
Brunei,06-02-2020,0,0,0,83.0,0.0,23.0,0.0,245.0,0.0,23.0,0.0,32.0,0.0,21.0,0.0,6.0,0.0
Brunei,07-02-2020,0,0,0,84.0,0.0,23.0,0.0,243.0,0.0,18.0,0.0,32.0,0.0,21.0,0.0,8.0,0.0
Brunei,08-02-2020,0,0,0,88.0,0.0,24.0,0.0,243.0,0.0,77.0,0.0,33.0,0.0,21.0,0.0,6.0,0.0
Brunei,09-02-2020,0,0,0,91.0,0.0,24.0,0.0,247.0,0.0,97.0,0.0,32.0,0.0,22.0,0.0,6.0,0.0
Brunei,10-02-2020,0,0,0,88.0,0.0,23.0,0.0,248.0,0.0,83.0,0.0,32.0,0.0,22.0,0.0,6.0,0.0
