# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Bulgaria,22-01-2020,0,0,0,50.0,0.0,-9.0,0.0,337.0,0.0,1.0,0.0,6.0,0.0,-4.0,0.0,2.0,0.0
Bulgaria,23-01-2020,0,0,0,65.0,0.0,-8.0,0.0,339.0,0.0,5.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0
Bulgaria,24-01-2020,0,0,0,66.0,0.0,-7.0,0.0,320.0,0.0,2.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0
Bulgaria,25-01-2020,0,0,0,41.0,0.0,-10.0,0.0,300.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Bulgaria,26-01-2020,0,0,0,73.0,0.0,-1.0,0.0,279.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Bulgaria,27-01-2020,0,0,0,93.0,0.0,1.0,0.0,320.0,0.0,28.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Bulgaria,28-01-2020,0,0,0,88.0,0.0,0.0,0.0,346.0,0.0,19.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Bulgaria,29-01-2020,0,0,0,81.0,0.0,-1.0,0.0,379.0,0.0,13.0,0.0,4.0,0.0,-3.0,0.0,1.0,0.0
Bulgaria,30-01-2020,0,0,0,80.0,0.0,-4.0,0.0,380.0,0.0,44.0,0.0,0.0,0.0,-3.0,0.0,2.0,0.0
Bulgaria,31-01-2020,0,0,0,56.0,0.0,-6.0,0.0,324.0,0.0,7.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0
Bulgaria,01-02-2020,0,0,0,80.0,0.0,2.0,0.0,300.0,0.0,12.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0
Bulgaria,02-02-2020,0,0,0,82.0,0.0,3.0,0.0,304.0,0.0,5.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0
Bulgaria,03-02-2020,0,0,0,69.0,0.0,1.0,0.0,326.0,0.0,11.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0
Bulgaria,04-02-2020,0,0,0,79.0,0.0,2.0,0.0,335.0,0.0,20.0,0.0,8.0,0.0,-2.0,0.0,2.0,0.0
Bulgaria,05-02-2020,0,0,0,98.0,0.0,-2.0,0.0,387.0,0.0,69.0,0.0,-2.0,0.0,-7.0,0.0,1.0,0.0
Bulgaria,06-02-2020,0,0,0,90.0,0.0,-8.0,0.0,410.0,0.0,63.0,0.0,-6.0,0.0,-7.0,0.0,1.0,0.0
Bulgaria,07-02-2020,0,0,0,87.0,0.0,-6.0,0.0,381.0,0.0,44.0,0.0,-2.0,0.0,-12.0,0.0,2.0,0.0
Bulgaria,08-02-2020,0,0,0,81.0,0.0,-11.0,0.0,354.0,0.0,23.0,0.0,-4.0,0.0,-9.0,0.0,2.0,0.0
Bulgaria,09-02-2020,0,0,0,87.0,0.0,-6.0,0.0,336.0,0.0,7.0,0.0,1.0,0.0,-4.0,0.0,3.0,0.0
Bulgaria,10-02-2020,0,0,0,93.0,0.0,-2.0,0.0,320.0,0.0,12.0,0.0,3.0,0.0,-1.0,0.0,3.0,0.0
Bulgaria,11-02-2020,0,0,0,94.0,0.0,0.0,0.0,284.0,0.0,75.0,0.0,5.0,0.0,-2.0,0.0,3.0,0.0
Bulgaria,12-02-2020,0,0,0,80.0,0.0,-3.0,0.0,293.0,0.0,16.0,0.0,2.0,0.0,-3.0,0.0,3.0,0.0
Bulgaria,13-02-2020,0,0,0,78.0,0.0,-4.0,0.0,331.0,0.0,10.0,0.0,2.0,0.0,-2.0,0.0,3.0,0.0
Bulgaria,14-02-2020,0,0,0,95.0,0.0,0.0,0.0,365.0,0.0,13.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0
Bulgaria,15-02-2020,0,0,0,99.0,0.0,0.0,0.0,373.0,0.0,69.0,0.0,1.0,0.0,-3.0,0.0,2.0,0.0
Bulgaria,16-02-2020,0,0,0,90.0,0.0,-2.0,0.0,351.0,0.0,11.0,0.0,3.0,0.0,-3.0,0.0,3.0,0.0
Bulgaria,17-02-2020,0,0,0,89.0,0.0,0.0,0.0,316.0,0.0,11.0,0.0,7.0,0.0,-1.0,0.0,3.0,0.0
Bulgaria,18-02-2020,0,0,0,77.0,0.0,0.0,0.0,305.0,0.0,7.0,0.0,10.0,0.0,1.0,0.0,4.0,0.0
Bulgaria,19-02-2020,0,0,0,95.0,0.0,1.0,0.0,331.0,0.0,49.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
Bulgaria,20-02-2020,0,0,0,100.0,0.0,0.0,0.0,376.0,0.0,94.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0
Bulgaria,21-02-2020,0,0,0,94.0,0.0,-1.0,0.0,352.0,0.0,74.0,0.0,1.0,0.0,-3.0,0.0,3.0,0.0
Bulgaria,22-02-2020,0,0,0,95.0,0.0,-2.0,0.0,368.0,0.0,57.0,0.0,0.0,0.0,-3.0,0.0,2.0,0.0
Bulgaria,23-02-2020,0,0,0,70.0,0.0,-4.0,0.0,331.0,0.0,5.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0
Bulgaria,24-02-2020,0,0,0,61.0,0.0,-2.0,0.0,333.0,0.0,7.0,0.0,8.0,0.0,-1.0,0.0,2.0,0.0
Bulgaria,25-02-2020,0,0,0,64.0,0.0,-2.0,0.0,334.0,0.0,3.0,0.0,10.0,0.0,2.0,0.0,4.0,0.0
Bulgaria,26-02-2020,0,0,0,76.0,0.0,2.0,0.0,336.0,0.0,4.0,0.0,11.0,0.0,4.0,0.0,3.0,0.0
Bulgaria,27-02-2020,0,0,0,82.0,0.0,0.0,0.0,368.0,0.0,75.0,0.0,8.0,0.0,-3.0,0.0,3.0,0.0
Bulgaria,28-02-2020,0,0,0,76.0,0.0,-4.0,0.0,365.0,0.0,64.0,0.0,4.0,0.0,-4.0,0.0,2.0,0.0
Bulgaria,29-02-2020,0,0,0,89.0,0.0,-3.0,0.0,358.0,0.0,35.0,0.0,1.0,0.0,-3.0,0.0,3.0,0.0
Bulgaria,01-03-2020,0,0,0,84.0,0.0,0.0,0.0,327.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0
Bulgaria,02-03-2020,0,0,0,81.0,0.0,2.0,0.0,343.0,0.0,6.0,0.0,12.0,0.0,5.0,0.0,3.0,0.0
Bulgaria,03-03-2020,0,0,0,83.0,0.0,5.0,0.0,335.0,0.0,6.0,0.0,12.0,0.0,4.0,0.0,3.0,0.0
Bulgaria,04-03-2020,0,0,0,93.0,0.0,5.0,0.0,359.0,0.0,44.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0
Bulgaria,05-03-2020,0,0,0,99.0,0.0,1.0,0.0,386.0,0.0,89.0,0.0,3.0,0.0,-1.0,0.0,3.0,0.0
Bulgaria,06-03-2020,0,0,0,88.0,0.0,0.0,0.0,338.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0
Bulgaria,07-03-2020,0,0,0,84.0,0.0,3.0,0.0,329.0,0.0,8.0,0.0,11.0,0.0,4.0,0.0,4.0,0.0
Bulgaria,08-03-2020,0,0,0,99.0,0.0,6.0,0.0,336.0,0.0,85.0,0.0,9.0,0.0,2.0,0.0,3.0,0.0
Bulgaria,09-03-2020,0,0,0,97.0,0.0,4.0,0.0,347.0,0.0,94.0,0.0,8.0,0.0,1.0,0.0,3.0,0.0
Bulgaria,10-03-2020,0,0,0,100.0,0.0,2.0,0.0,371.0,0.0,46.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
Bulgaria,11-03-2020,0,0,0,90.0,0.0,2.0,0.0,360.0,0.0,28.0,0.0,8.0,0.0,3.0,0.0,3.0,0.0
