# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Cabo Verde,22-01-2020,0,0,0,78.0,0.0,17.0,0.0,268.0,0.0,5.0,0.0,22.0,0.0,20.0,0.0,8.0,0.0
Cabo Verde,23-01-2020,0,0,0,79.0,0.0,17.0,0.0,268.0,0.0,1.0,0.0,22.0,0.0,20.0,0.0,5.0,0.0
Cabo Verde,24-01-2020,0,0,0,81.0,0.0,18.0,0.0,269.0,0.0,5.0,0.0,23.0,0.0,21.0,0.0,8.0,0.0
Cabo Verde,25-01-2020,0,0,0,80.0,0.0,18.0,0.0,267.0,0.0,14.0,0.0,23.0,0.0,21.0,0.0,6.0,0.0
Cabo Verde,26-01-2020,0,0,0,76.0,0.0,18.0,0.0,266.0,0.0,32.0,0.0,24.0,0.0,21.0,0.0,5.0,0.0
Cabo Verde,27-01-2020,0,0,0,80.0,0.0,18.0,0.0,270.0,0.0,11.0,0.0,23.0,0.0,21.0,0.0,6.0,0.0
Cabo Verde,28-01-2020,0,0,0,78.0,0.0,18.0,0.0,268.0,0.0,5.0,0.0,23.0,0.0,20.0,0.0,9.0,0.0
Cabo Verde,29-01-2020,0,0,0,75.0,0.0,17.0,0.0,264.0,0.0,2.0,0.0,23.0,0.0,20.0,0.0,6.0,0.0
Cabo Verde,30-01-2020,0,0,0,79.0,0.0,17.0,0.0,264.0,0.0,7.0,0.0,22.0,0.0,20.0,0.0,9.0,0.0
Cabo Verde,31-01-2020,0,0,0,80.0,0.0,18.0,0.0,264.0,0.0,9.0,0.0,23.0,0.0,21.0,0.0,9.0,0.0
Cabo Verde,01-02-2020,0,0,0,73.0,0.0,18.0,0.0,264.0,0.0,5.0,0.0,24.0,0.0,22.0,0.0,9.0,0.0
Cabo Verde,02-02-2020,0,0,0,72.0,0.0,17.0,0.0,265.0,0.0,3.0,0.0,24.0,0.0,21.0,0.0,9.0,0.0
Cabo Verde,03-02-2020,0,0,0,72.0,0.0,16.0,0.0,263.0,0.0,3.0,0.0,23.0,0.0,21.0,0.0,9.0,0.0
Cabo Verde,04-02-2020,0,0,0,73.0,0.0,17.0,0.0,262.0,0.0,5.0,0.0,23.0,0.0,20.0,0.0,9.0,0.0
Cabo Verde,05-02-2020,0,0,0,75.0,0.0,17.0,0.0,274.0,0.0,5.0,0.0,23.0,0.0,20.0,0.0,9.0,0.0
Cabo Verde,06-02-2020,0,0,0,82.0,0.0,18.0,0.0,256.0,0.0,8.0,0.0,22.0,0.0,21.0,0.0,10.0,0.0
Cabo Verde,07-02-2020,0,0,0,76.0,0.0,17.0,0.0,261.0,0.0,2.0,0.0,23.0,0.0,20.0,0.0,8.0,0.0
Cabo Verde,08-02-2020,0,0,0,76.0,0.0,17.0,0.0,267.0,0.0,5.0,0.0,23.0,0.0,21.0,0.0,9.0,0.0
Cabo Verde,09-02-2020,0,0,0,76.0,0.0,18.0,0.0,267.0,0.0,4.0,0.0,23.0,0.0,21.0,0.0,6.0,0.0
Cabo Verde,10-02-2020,0,0,0,77.0,0.0,17.0,0.0,271.0,0.0,6.0,0.0,23.0,0.0,20.0,0.0,7.0,0.0
Cabo Verde,11-02-2020,0,0,0,77.0,0.0,17.0,0.0,275.0,0.0,6.0,0.0,23.0,0.0,20.0,0.0,8.0,0.0
Cabo Verde,12-02-2020,0,0,0,75.0,0.0,17.0,0.0,276.0,0.0,3.0,0.0,23.0,0.0,21.0,0.0,9.0,0.0
Cabo Verde,13-02-2020,0,0,0,73.0,0.0,17.0,0.0,273.0,0.0,5.0,0.0,23.0,0.0,20.0,0.0,10.0,0.0
Cabo Verde,14-02-2020,0,0,0,76.0,0.0,17.0,0.0,272.0,0.0,4.0,0.0,23.0,0.0,21.0,0.0,10.0,0.0
