# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Central African Republic,22-01-2020,0,0,0,10.0,0.0,-8.0,0.0,249.0,0.0,1.0,0.0,36.0,0.0,15.0,0.0,10.0,0.0
Central African Republic,23-01-2020,0,0,0,9.0,0.0,-11.0,0.0,248.0,0.0,1.0,0.0,34.0,0.0,15.0,0.0,9.0,0.0
Central African Republic,24-01-2020,0,0,0,9.0,0.0,-11.0,0.0,249.0,0.0,1.0,0.0,34.0,0.0,15.0,0.0,9.0,0.0
Central African Republic,25-01-2020,0,0,0,10.0,0.0,-10.0,0.0,248.0,0.0,3.0,0.0,34.0,0.0,16.0,0.0,9.0,0.0
Central African Republic,26-01-2020,0,0,0,13.0,0.0,-5.0,0.0,249.0,0.0,4.0,0.0,36.0,0.0,15.0,0.0,11.0,0.0
Central African Republic,27-01-2020,0,0,0,18.0,0.0,-2.0,0.0,248.0,0.0,6.0,0.0,36.0,0.0,17.0,0.0,12.0,0.0
Central African Republic,28-01-2020,0,0,0,14.0,0.0,-5.0,0.0,248.0,0.0,2.0,0.0,37.0,0.0,17.0,0.0,11.0,0.0
Central African Republic,29-01-2020,0,0,0,10.0,0.0,-8.0,0.0,250.0,0.0,6.0,0.0,38.0,0.0,16.0,0.0,12.0,0.0
Central African Republic,30-01-2020,0,0,0,12.0,0.0,-7.0,0.0,246.0,0.0,6.0,0.0,38.0,0.0,18.0,0.0,9.0,0.0
Central African Republic,31-01-2020,0,0,0,10.0,0.0,-8.0,0.0,246.0,0.0,5.0,0.0,38.0,0.0,16.0,0.0,12.0,0.0
Central African Republic,01-02-2020,0,0,0,13.0,0.0,-6.0,0.0,247.0,0.0,7.0,0.0,37.0,0.0,16.0,0.0,10.0,0.0
Central African Republic,02-02-2020,0,0,0,17.0,0.0,-2.0,0.0,252.0,0.0,4.0,0.0,37.0,0.0,17.0,0.0,12.0,0.0
Central African Republic,03-02-2020,0,0,0,19.0,0.0,-1.0,0.0,256.0,0.0,5.0,0.0,38.0,0.0,18.0,0.0,9.0,0.0
Central African Republic,04-02-2020,0,0,0,17.0,0.0,-2.0,0.0,253.0,0.0,8.0,0.0,37.0,0.0,18.0,0.0,12.0,0.0
Central African Republic,05-02-2020,0,0,0,21.0,0.0,0.0,0.0,252.0,0.0,6.0,0.0,37.0,0.0,19.0,0.0,12.0,0.0
Central African Republic,06-02-2020,0,0,0,25.0,0.0,4.0,0.0,251.0,0.0,4.0,0.0,37.0,0.0,22.0,0.0,9.0,0.0
Central African Republic,07-02-2020,0,0,0,17.0,0.0,0.0,0.0,249.0,0.0,4.0,0.0,38.0,0.0,21.0,0.0,9.0,0.0
Central African Republic,08-02-2020,0,0,0,17.0,0.0,0.0,0.0,249.0,0.0,3.0,0.0,39.0,0.0,22.0,0.0,11.0,0.0
Central African Republic,09-02-2020,0,0,0,14.0,0.0,-1.0,0.0,249.0,0.0,5.0,0.0,38.0,0.0,21.0,0.0,6.0,0.0
Central African Republic,10-02-2020,0,0,0,15.0,0.0,-1.0,0.0,252.0,0.0,6.0,0.0,37.0,0.0,19.0,0.0,13.0,0.0
Central African Republic,11-02-2020,0,0,0,13.0,0.0,-4.0,0.0,251.0,0.0,3.0,0.0,37.0,0.0,16.0,0.0,9.0,0.0
Central African Republic,12-02-2020,0,0,0,13.0,0.0,-6.0,0.0,255.0,0.0,5.0,0.0,37.0,0.0,16.0,0.0,8.0,0.0
Central African Republic,13-02-2020,0,0,0,16.0,0.0,-3.0,0.0,257.0,0.0,2.0,0.0,37.0,0.0,18.0,0.0,9.0,0.0
Central African Republic,14-02-2020,0,0,0,14.0,0.0,-3.0,0.0,257.0,0.0,3.0,0.0,38.0,0.0,19.0,0.0,13.0,0.0
Central African Republic,15-02-2020,0,0,0,14.0,0.0,-3.0,0.0,256.0,0.0,3.0,0.0,38.0,0.0,19.0,0.0,7.0,0.0
Central African Republic,16-02-2020,0,0,0,14.0,0.0,-2.0,0.0,257.0,0.0,4.0,0.0,39.0,0.0,21.0,0.0,8.0,0.0
Central African Republic,17-02-2020,0,0,0,26.0,0.0,7.0,0.0,259.0,0.0,5.0,0.0,39.0,0.0,23.0,0.0,13.0,0.0
Central African Republic,18-02-2020,0,0,0,44.0,0.0,15.0,0.0,261.0,0.0,10.0,0.0,36.0,0.0,21.0,0.0,6.0,0.0
Central African Republic,19-02-2020,0,0,0,54.0,0.0,16.0,0.0,259.0,0.0,10.0,0.0,39.0,0.0,23.0,0.0,9.0,0.0
Central African Republic,20-02-2020,0,0,0,42.0,0.0,13.0,0.0,263.0,0.0,8.0,0.0,38.0,0.0,20.0,0.0,8.0,0.0
Central African Republic,21-02-2020,0,0,0,17.0,0.0,0.0,0.0,263.0,0.0,6.0,0.0,39.0,0.0,22.0,0.0,11.0,0.0
Central African Republic,22-02-2020,0,0,0,13.0,0.0,-2.0,0.0,260.0,0.0,7.0,0.0,40.0,0.0,21.0,0.0,11.0,0.0
Central African Republic,23-02-2020,0,0,0,11.0,0.0,-4.0,0.0,258.0,0.0,5.0,0.0,38.0,0.0,20.0,0.0,12.0,0.0
Central African Republic,24-02-2020,0,0,0,10.0,0.0,-6.0,0.0,260.0,0.0,4.0,0.0,41.0,0.0,20.0,0.0,13.0,0.0
Central African Republic,25-02-2020,0,0,0,24.0,0.0,5.0,0.0,259.0,0.0,11.0,0.0,36.0,0.0,22.0,0.0,12.0,0.0
Central African Republic,26-02-2020,0,0,0,18.0,0.0,0.0,0.0,261.0,0.0,7.0,0.0,38.0,0.0,19.0,0.0,9.0,0.0
Central African Republic,27-02-2020,0,0,0,16.0,0.0,-1.0,0.0,261.0,0.0,4.0,0.0,39.0,0.0,20.0,0.0,9.0,0.0
Central African Republic,28-02-2020,0,0,0,13.0,0.0,-2.0,0.0,257.0,0.0,3.0,0.0,40.0,0.0,24.0,0.0,13.0,0.0
Central African Republic,29-02-2020,0,0,0,14.0,0.0,0.0,0.0,261.0,0.0,4.0,0.0,40.0,0.0,24.0,0.0,8.0,0.0
Central African Republic,01-03-2020,0,0,0,14.0,0.0,0.0,0.0,260.0,0.0,3.0,0.0,39.0,0.0,21.0,0.0,12.0,0.0
Central African Republic,02-03-2020,0,0,0,33.0,0.0,10.0,0.0,262.0,0.0,3.0,0.0,35.0,0.0,21.0,0.0,9.0,0.0
Central African Republic,03-03-2020,0,0,0,43.0,0.0,13.0,0.0,264.0,0.0,5.0,0.0,38.0,0.0,20.0,0.0,11.0,0.0
Central African Republic,04-03-2020,0,0,0,20.0,0.0,1.0,0.0,270.0,0.0,2.0,0.0,40.0,0.0,21.0,0.0,13.0,0.0
Central African Republic,05-03-2020,0,0,0,23.0,0.0,5.0,0.0,268.0,0.0,4.0,0.0,39.0,0.0,22.0,0.0,13.0,0.0
Central African Republic,06-03-2020,0,0,0,27.0,0.0,7.0,0.0,269.0,0.0,2.0,0.0,40.0,0.0,23.0,0.0,12.0,0.0
Central African Republic,07-03-2020,0,0,0,45.0,0.0,15.0,0.0,269.0,0.0,18.0,0.0,37.0,0.0,22.0,0.0,6.0,0.0
Central African Republic,08-03-2020,0,0,0,50.0,0.0,16.0,0.0,270.0,0.0,15.0,0.0,40.0,0.0,22.0,0.0,8.0,0.0
Central African Republic,09-03-2020,0,0,0,46.0,0.0,15.0,0.0,269.0,0.0,10.0,0.0,38.0,0.0,25.0,0.0,13.0,0.0
Central African Republic,10-03-2020,0,0,0,46.0,0.0,16.0,0.0,269.0,0.0,10.0,0.0,38.0,0.0,25.0,0.0,13.0,0.0
Central African Republic,11-03-2020,0,0,0,44.0,0.0,16.0,0.0,269.0,0.0,11.0,0.0,37.0,0.0,24.0,0.0,8.0,0.0
