# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Chile,22-01-2020,0,0,0,42.0,0.0,7.0,0.0,258.0,0.0,4.0,0.0,35.0,0.0,13.0,0.0,13.0,0.0
Chile,23-01-2020,0,0,0,53.0,0.0,11.0,0.0,259.0,0.0,4.0,0.0,32.0,0.0,13.0,0.0,13.0,0.0
Chile,24-01-2020,0,0,0,70.0,0.0,15.0,0.0,261.0,0.0,6.0,0.0,31.0,0.0,14.0,0.0,12.0,0.0
Chile,25-01-2020,0,0,0,49.0,0.0,7.0,0.0,263.0,0.0,6.0,0.0,34.0,0.0,12.0,0.0,11.0,0.0
Chile,26-01-2020,0,0,0,35.0,0.0,4.0,0.0,262.0,0.0,3.0,0.0,34.0,0.0,14.0,0.0,13.0,0.0
Chile,27-01-2020,0,0,0,54.0,0.0,12.0,0.0,263.0,0.0,4.0,0.0,33.0,0.0,15.0,0.0,12.0,0.0
Chile,28-01-2020,0,0,0,42.0,0.0,8.0,0.0,266.0,0.0,5.0,0.0,34.0,0.0,15.0,0.0,12.0,0.0
Chile,29-01-2020,0,0,0,57.0,0.0,13.0,0.0,265.0,0.0,26.0,0.0,31.0,0.0,11.0,0.0,13.0,0.0
Chile,30-01-2020,0,0,0,50.0,0.0,8.0,0.0,291.0,0.0,16.0,0.0,30.0,0.0,11.0,0.0,11.0,0.0
Chile,31-01-2020,0,0,0,38.0,0.0,4.0,0.0,282.0,0.0,6.0,0.0,34.0,0.0,12.0,0.0,12.0,0.0
Chile,01-02-2020,0,0,0,36.0,0.0,3.0,0.0,278.0,0.0,6.0,0.0,35.0,0.0,14.0,0.0,11.0,0.0
Chile,02-02-2020,0,0,0,56.0,0.0,12.0,0.0,271.0,0.0,7.0,0.0,31.0,0.0,12.0,0.0,12.0,0.0
Chile,03-02-2020,0,0,0,54.0,0.0,7.0,0.0,267.0,0.0,3.0,0.0,33.0,0.0,8.0,0.0,12.0,0.0
Chile,04-02-2020,0,0,0,52.0,0.0,5.0,0.0,265.0,0.0,4.0,0.0,31.0,0.0,9.0,0.0,12.0,0.0
Chile,05-02-2020,0,0,0,62.0,0.0,8.0,0.0,280.0,0.0,10.0,0.0,28.0,0.0,7.0,0.0,11.0,0.0
Chile,06-02-2020,0,0,0,56.0,0.0,5.0,0.0,284.0,0.0,6.0,0.0,27.0,0.0,7.0,0.0,11.0,0.0
Chile,07-02-2020,0,0,0,55.0,0.0,5.0,0.0,274.0,0.0,0.0,0.0,28.0,0.0,7.0,0.0,12.0,0.0
Chile,08-02-2020,0,0,0,50.0,0.0,4.0,0.0,265.0,0.0,3.0,0.0,32.0,0.0,9.0,0.0,12.0,0.0
