# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Colombia,22-01-2020,0,0,0,96.0,0.0,13.0,0.0,231.0,0.0,87.0,0.0,17.0,0.0,11.0,0.0,7.0,0.0
Colombia,23-01-2020,0,0,0,96.0,0.0,13.0,0.0,232.0,0.0,87.0,0.0,18.0,0.0,10.0,0.0,7.0,0.0
Colombia,24-01-2020,0,0,0,92.0,0.0,12.0,0.0,231.0,0.0,69.0,0.0,18.0,0.0,10.0,0.0,9.0,0.0
Colombia,25-01-2020,0,0,0,92.0,0.0,13.0,0.0,234.0,0.0,73.0,0.0,18.0,0.0,11.0,0.0,7.0,0.0
Colombia,26-01-2020,0,0,0,95.0,0.0,14.0,0.0,233.0,0.0,86.0,0.0,18.0,0.0,12.0,0.0,8.0,0.0
Colombia,27-01-2020,0,0,0,98.0,0.0,14.0,0.0,234.0,0.0,84.0,0.0,17.0,0.0,11.0,0.0,7.0,0.0
Colombia,28-01-2020,0,0,0,95.0,0.0,13.0,0.0,233.0,0.0,84.0,0.0,18.0,0.0,10.0,0.0,8.0,0.0
Colombia,29-01-2020,0,0,0,93.0,0.0,13.0,0.0,235.0,0.0,87.0,0.0,18.0,0.0,10.0,0.0,8.0,0.0
Colombia,30-01-2020,0,0,0,90.0,0.0,12.0,0.0,237.0,0.0,89.0,0.0,18.0,0.0,10.0,0.0,7.0,0.0
Colombia,31-01-2020,0,0,0,89.0,0.0,12.0,0.0,239.0,0.0,84.0,0.0,19.0,0.0,10.0,0.0,8.0,0.0
Colombia,01-02-2020,0,0,0,76.0,0.0,10.0,0.0,240.0,0.0,39.0,0.0,20.0,0.0,10.0,0.0,11.0,0.0
Colombia,02-02-2020,0,0,0,77.0,0.0,11.0,0.0,234.0,0.0,74.0,0.0,20.0,0.0,11.0,0.0,9.0,0.0
Colombia,03-02-2020,0,0,0,84.0,0.0,12.0,0.0,237.0,0.0,86.0,0.0,20.0,0.0,10.0,0.0,8.0,0.0
Colombia,04-02-2020,0,0,0,74.0,0.0,10.0,0.0,241.0,0.0,49.0,0.0,21.0,0.0,9.0,0.0,10.0,0.0
Colombia,05-02-2020,0,0,0,60.0,0.0,6.0,0.0,241.0,0.0,22.0,0.0,21.0,0.0,8.0,0.0,11.0,0.0
Colombia,06-02-2020,0,0,0,49.0,0.0,3.0,0.0,241.0,0.0,16.0,0.0,22.0,0.0,8.0,0.0,12.0,0.0
Colombia,07-02-2020,0,0,0,47.0,0.0,2.0,0.0,243.0,0.0,9.0,0.0,22.0,0.0,9.0,0.0,11.0,0.0
Colombia,08-02-2020,0,0,0,61.0,0.0,7.0,0.0,243.0,0.0,37.0,0.0,21.0,0.0,11.0,0.0,12.0,0.0
Colombia,09-02-2020,0,0,0,87.0,0.0,12.0,0.0,242.0,0.0,81.0,0.0,18.0,0.0,11.0,0.0,8.0,0.0
Colombia,10-02-2020,0,0,0,89.0,0.0,12.0,0.0,242.0,0.0,83.0,0.0,19.0,0.0,10.0,0.0,8.0,0.0
Colombia,11-02-2020,0,0,0,73.0,0.0,9.0,0.0,245.0,0.0,28.0,0.0,21.0,0.0,9.0,0.0,10.0,0.0
Colombia,12-02-2020,0,0,0,61.0,0.0,7.0,0.0,246.0,0.0,11.0,0.0,22.0,0.0,10.0,0.0,14.0,0.0
Colombia,13-02-2020,0,0,0,64.0,0.0,8.0,0.0,246.0,0.0,22.0,0.0,22.0,0.0,10.0,0.0,12.0,0.0
Colombia,14-02-2020,0,0,0,70.0,0.0,9.0,0.0,246.0,0.0,39.0,0.0,21.0,0.0,11.0,0.0,11.0,0.0
Colombia,15-02-2020,0,0,0,79.0,0.0,11.0,0.0,244.0,0.0,62.0,0.0,19.0,0.0,11.0,0.0,8.0,0.0
Colombia,16-02-2020,0,0,0,80.0,0.0,11.0,0.0,243.0,0.0,61.0,0.0,20.0,0.0,11.0,0.0,10.0,0.0
Colombia,17-02-2020,0,0,0,75.0,0.0,11.0,0.0,241.0,0.0,44.0,0.0,21.0,0.0,11.0,0.0,12.0,0.0
Colombia,18-02-2020,0,0,0,69.0,0.0,9.0,0.0,243.0,0.0,43.0,0.0,22.0,0.0,10.0,0.0,10.0,0.0
Colombia,19-02-2020,0,0,0,64.0,0.0,8.0,0.0,246.0,0.0,36.0,0.0,22.0,0.0,11.0,0.0,12.0,0.0
Colombia,20-02-2020,0,0,0,75.0,0.0,11.0,0.0,240.0,0.0,74.0,0.0,21.0,0.0,11.0,0.0,11.0,0.0
Colombia,21-02-2020,0,0,0,84.0,0.0,12.0,0.0,237.0,0.0,77.0,0.0,19.0,0.0,11.0,0.0,10.0,0.0
Colombia,22-02-2020,0,0,0,87.0,0.0,13.0,0.0,242.0,0.0,84.0,0.0,18.0,0.0,12.0,0.0,7.0,0.0
Colombia,23-02-2020,0,0,0,95.0,0.0,13.0,0.0,244.0,0.0,92.0,0.0,18.0,0.0,12.0,0.0,7.0,0.0
Colombia,24-02-2020,0,0,0,99.0,0.0,14.0,0.0,243.0,0.0,93.0,0.0,17.0,0.0,11.0,0.0,7.0,0.0
Colombia,25-02-2020,0,0,0,99.0,0.0,14.0,0.0,247.0,0.0,85.0,0.0,17.0,0.0,12.0,0.0,8.0,0.0
Colombia,26-02-2020,0,0,0,97.0,0.0,14.0,0.0,243.0,0.0,82.0,0.0,18.0,0.0,12.0,0.0,7.0,0.0
Colombia,27-02-2020,0,0,0,100.0,0.0,14.0,0.0,239.0,0.0,86.0,0.0,16.0,0.0,11.0,0.0,7.0,0.0
Colombia,28-02-2020,0,0,0,95.0,0.0,13.0,0.0,243.0,0.0,71.0,0.0,18.0,0.0,11.0,0.0,8.0,0.0
Colombia,29-02-2020,0,0,0,91.0,0.0,13.0,0.0,247.0,0.0,61.0,0.0,19.0,0.0,11.0,0.0,7.0,0.0
Colombia,01-03-2020,0,0,0,88.0,0.0,12.0,0.0,249.0,0.0,61.0,0.0,19.0,0.0,11.0,0.0,9.0,0.0
Colombia,02-03-2020,0,0,0,89.0,0.0,13.0,0.0,250.0,0.0,67.0,0.0,19.0,0.0,11.0,0.0,9.0,0.0
Colombia,03-03-2020,0,0,0,89.0,0.0,13.0,0.0,245.0,0.0,74.0,0.0,19.0,0.0,11.0,0.0,11.0,0.0
Colombia,04-03-2020,0,0,0,93.0,0.0,13.0,0.0,243.0,0.0,71.0,0.0,19.0,0.0,11.0,0.0,11.0,0.0
Colombia,05-03-2020,0,0,0,85.0,0.0,12.0,0.0,247.0,0.0,64.0,0.0,20.0,0.0,10.0,0.0,11.0,0.0
Colombia,06-03-2020,1,0,0,72.0,0.0,10.0,0.0,248.0,0.0,39.0,0.0,22.0,0.0,11.0,0.0,12.0,0.0
Colombia,07-03-2020,1,0,0,78.0,0.0,11.0,0.0,247.0,0.0,53.0,0.0,20.0,0.0,11.0,0.0,9.0,0.0
Colombia,08-03-2020,1,0,0,84.0,0.0,12.0,0.0,247.0,0.0,65.0,0.0,20.0,0.0,11.0,0.0,8.0,0.0
Colombia,09-03-2020,1,0,0,95.0,0.0,13.0,0.0,250.0,0.0,89.0,0.0,18.0,0.0,11.0,0.0,10.0,0.0
Colombia,10-03-2020,3,0,0,90.0,0.0,13.0,0.0,251.0,0.0,85.0,0.0,20.0,0.0,11.0,0.0,11.0,0.0
Colombia,11-03-2020,9,0,0,94.0,0.0,13.0,0.0,249.0,0.0,92.0,0.0,18.0,0.0,11.0,0.0,8.0,0.0
Colombia,12-03-2020,9,0,0,93.0,0.0,13.0,0.0,247.0,0.0,87.0,0.0,19.0,0.0,12.0,0.0,10.0,0.0
Colombia,13-03-2020,13,0,0,96.0,0.0,14.0,0.0,247.0,0.0,91.0,0.0,18.0,0.0,11.0,0.0,8.0,0.0
Colombia,14-03-2020,22,0,0,96.0,0.0,14.0,0.0,246.0,0.0,93.0,0.0,18.0,0.0,12.0,0.0,8.0,0.0
Colombia,15-03-2020,34,0,0,99.0,0.0,14.0,0.0,249.0,0.0,93.0,0.0,16.0,0.0,11.0,0.0,7.0,0.0
Colombia,16-03-2020,54,0,0,99.0,0.0,14.0,0.0,251.0,0.0,92.0,0.0,16.0,0.0,12.0,0.0,7.0,0.0
Colombia,17-03-2020,65,0,1,96.0,0.0,14.0,0.0,252.0,0.0,81.0,0.0,18.0,0.0,11.0,0.0,7.0,0.0
Colombia,18-03-2020,93,0,1,91.0,0.0,13.0,0.0,252.0,0.0,77.0,0.0,20.0,0.0,11.0,0.0,9.0,0.0
Colombia,19-03-2020,102,0,1,91.0,0.0,13.0,0.0,252.0,0.0,70.0,0.0,19.0,0.0,11.0,0.0,7.0,0.0
Colombia,20-03-2020,128,0,1,90.0,0.0,13.0,0.0,250.0,0.0,68.0,0.0,18.0,0.0,11.0,0.0,8.0,0.0
Colombia,21-03-2020,196,0,1,92.0,0.0,12.0,0.0,252.0,0.0,87.0,0.0,19.0,0.0,10.0,0.0,10.0,0.0
Colombia,22-03-2020,231,2,3,90.0,0.0,12.0,0.0,255.0,0.0,86.0,0.0,18.0,0.0,9.0,0.0,8.0,0.0
Colombia,23-03-2020,277,3,3,81.0,0.0,10.0,0.0,254.0,0.0,61.0,0.0,18.0,0.0,10.0,0.0,10.0,0.0
Colombia,24-03-2020,378,3,6,86.0,0.0,11.0,0.0,250.0,0.0,84.0,0.0,18.0,0.0,11.0,0.0,10.0,0.0
