# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Costa Rica,22-01-2020,0,0,0,93.0,0.0,15.0,0.0,230.0,0.0,80.0,0.0,20.0,0.0,13.0,0.0,6.0,0.0
Costa Rica,23-01-2020,0,0,0,95.0,0.0,15.0,0.0,231.0,0.0,86.0,0.0,20.0,0.0,14.0,0.0,6.0,0.0
Costa Rica,24-01-2020,0,0,0,96.0,0.0,16.0,0.0,232.0,0.0,82.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Costa Rica,25-01-2020,0,0,0,94.0,0.0,16.0,0.0,232.0,0.0,77.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Costa Rica,26-01-2020,0,0,0,93.0,0.0,15.0,0.0,234.0,0.0,85.0,0.0,21.0,0.0,13.0,0.0,6.0,0.0
Costa Rica,27-01-2020,0,0,0,91.0,0.0,15.0,0.0,232.0,0.0,81.0,0.0,21.0,0.0,15.0,0.0,7.0,0.0
Costa Rica,28-01-2020,0,0,0,92.0,0.0,16.0,0.0,231.0,0.0,90.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Costa Rica,29-01-2020,0,0,0,93.0,0.0,16.0,0.0,234.0,0.0,85.0,0.0,23.0,0.0,15.0,0.0,8.0,0.0
Costa Rica,30-01-2020,0,0,0,97.0,0.0,17.0,0.0,234.0,0.0,91.0,0.0,21.0,0.0,15.0,0.0,6.0,0.0
Costa Rica,31-01-2020,0,0,0,89.0,0.0,16.0,0.0,243.0,0.0,73.0,0.0,23.0,0.0,11.0,0.0,7.0,0.0
Costa Rica,01-02-2020,0,0,0,77.0,0.0,13.0,0.0,240.0,0.0,43.0,0.0,22.0,0.0,13.0,0.0,11.0,0.0
Costa Rica,02-02-2020,0,0,0,85.0,0.0,15.0,0.0,236.0,0.0,59.0,0.0,23.0,0.0,15.0,0.0,9.0,0.0
Costa Rica,03-02-2020,0,0,0,95.0,0.0,16.0,0.0,236.0,0.0,79.0,0.0,20.0,0.0,13.0,0.0,6.0,0.0
Costa Rica,04-02-2020,0,0,0,90.0,0.0,15.0,0.0,233.0,0.0,71.0,0.0,20.0,0.0,12.0,0.0,7.0,0.0
Costa Rica,05-02-2020,0,0,0,84.0,0.0,14.0,0.0,235.0,0.0,60.0,0.0,23.0,0.0,14.0,0.0,11.0,0.0
Costa Rica,06-02-2020,0,0,0,90.0,0.0,15.0,0.0,235.0,0.0,69.0,0.0,22.0,0.0,11.0,0.0,6.0,0.0
Costa Rica,07-02-2020,0,0,0,80.0,0.0,14.0,0.0,242.0,0.0,55.0,0.0,24.0,0.0,12.0,0.0,8.0,0.0
Costa Rica,08-02-2020,0,0,0,77.0,0.0,13.0,0.0,241.0,0.0,45.0,0.0,25.0,0.0,12.0,0.0,11.0,0.0
Costa Rica,09-02-2020,0,0,0,88.0,0.0,14.0,0.0,244.0,0.0,60.0,0.0,20.0,0.0,13.0,0.0,9.0,0.0
Costa Rica,10-02-2020,0,0,0,85.0,0.0,13.0,0.0,247.0,0.0,60.0,0.0,20.0,0.0,10.0,0.0,11.0,0.0
Costa Rica,11-02-2020,0,0,0,76.0,0.0,12.0,0.0,250.0,0.0,46.0,0.0,23.0,0.0,12.0,0.0,10.0,0.0
Costa Rica,12-02-2020,0,0,0,87.0,0.0,14.0,0.0,249.0,0.0,66.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Costa Rica,13-02-2020,0,0,0,93.0,0.0,16.0,0.0,249.0,0.0,68.0,0.0,21.0,0.0,14.0,0.0,6.0,0.0
Costa Rica,14-02-2020,0,0,0,89.0,0.0,15.0,0.0,252.0,0.0,45.0,0.0,22.0,0.0,14.0,0.0,8.0,0.0
Costa Rica,15-02-2020,0,0,0,92.0,0.0,15.0,0.0,251.0,0.0,42.0,0.0,20.0,0.0,12.0,0.0,6.0,0.0
Costa Rica,16-02-2020,0,0,0,84.0,0.0,13.0,0.0,250.0,0.0,36.0,0.0,21.0,0.0,14.0,0.0,8.0,0.0
Costa Rica,17-02-2020,0,0,0,95.0,0.0,15.0,0.0,242.0,0.0,56.0,0.0,19.0,0.0,13.0,0.0,8.0,0.0
Costa Rica,18-02-2020,0,0,0,94.0,0.0,15.0,0.0,243.0,0.0,70.0,0.0,18.0,0.0,13.0,0.0,8.0,0.0
Costa Rica,19-02-2020,0,0,0,92.0,0.0,15.0,0.0,243.0,0.0,62.0,0.0,19.0,0.0,14.0,0.0,7.0,0.0
Costa Rica,20-02-2020,0,0,0,87.0,0.0,15.0,0.0,243.0,0.0,61.0,0.0,21.0,0.0,14.0,0.0,8.0,0.0
