# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Cote d'Ivoire,22-01-2020,0,0,0,76.0,0.0,22.0,0.0,246.0,0.0,52.0,0.0,32.0,0.0,22.0,0.0,7.0,0.0
Cote d'Ivoire,23-01-2020,0,0,0,56.0,0.0,17.0,0.0,246.0,0.0,5.0,0.0,35.0,0.0,21.0,0.0,8.0,0.0
Cote d'Ivoire,24-01-2020,0,0,0,24.0,0.0,5.0,0.0,252.0,0.0,4.0,0.0,35.0,0.0,19.0,0.0,8.0,0.0
Cote d'Ivoire,25-01-2020,0,0,0,18.0,0.0,0.0,0.0,254.0,0.0,2.0,0.0,36.0,0.0,18.0,0.0,11.0,0.0
Cote d'Ivoire,26-01-2020,0,0,0,31.0,0.0,8.0,0.0,255.0,0.0,3.0,0.0,34.0,0.0,20.0,0.0,7.0,0.0
Cote d'Ivoire,27-01-2020,0,0,0,54.0,0.0,16.0,0.0,253.0,0.0,7.0,0.0,33.0,0.0,21.0,0.0,11.0,0.0
Cote d'Ivoire,28-01-2020,0,0,0,55.0,0.0,17.0,0.0,248.0,0.0,3.0,0.0,34.0,0.0,20.0,0.0,8.0,0.0
Cote d'Ivoire,29-01-2020,0,0,0,35.0,0.0,9.0,0.0,249.0,0.0,5.0,0.0,36.0,0.0,18.0,0.0,10.0,0.0
Cote d'Ivoire,30-01-2020,0,0,0,23.0,0.0,2.0,0.0,249.0,0.0,5.0,0.0,37.0,0.0,17.0,0.0,7.0,0.0
Cote d'Ivoire,31-01-2020,0,0,0,44.0,0.0,12.0,0.0,252.0,0.0,5.0,0.0,35.0,0.0,19.0,0.0,10.0,0.0
Cote d'Ivoire,01-02-2020,0,0,0,55.0,0.0,16.0,0.0,249.0,0.0,5.0,0.0,35.0,0.0,18.0,0.0,11.0,0.0
Cote d'Ivoire,02-02-2020,0,0,0,38.0,0.0,7.0,0.0,253.0,0.0,3.0,0.0,36.0,0.0,18.0,0.0,11.0,0.0
Cote d'Ivoire,03-02-2020,0,0,0,14.0,0.0,-4.0,0.0,255.0,0.0,4.0,0.0,36.0,0.0,16.0,0.0,11.0,0.0
Cote d'Ivoire,04-02-2020,0,0,0,14.0,0.0,-5.0,0.0,253.0,0.0,5.0,0.0,35.0,0.0,16.0,0.0,10.0,0.0
Cote d'Ivoire,05-02-2020,0,0,0,16.0,0.0,-2.0,0.0,257.0,0.0,3.0,0.0,36.0,0.0,17.0,0.0,11.0,0.0
Cote d'Ivoire,06-02-2020,0,0,0,24.0,0.0,3.0,0.0,259.0,0.0,2.0,0.0,35.0,0.0,17.0,0.0,7.0,0.0
Cote d'Ivoire,07-02-2020,0,0,0,17.0,0.0,-1.0,0.0,257.0,0.0,4.0,0.0,36.0,0.0,18.0,0.0,12.0,0.0
Cote d'Ivoire,08-02-2020,0,0,0,13.0,0.0,-5.0,0.0,255.0,0.0,3.0,0.0,37.0,0.0,18.0,0.0,6.0,0.0
Cote d'Ivoire,09-02-2020,0,0,0,31.0,0.0,8.0,0.0,256.0,0.0,6.0,0.0,36.0,0.0,23.0,0.0,8.0,0.0
Cote d'Ivoire,10-02-2020,0,0,0,60.0,0.0,19.0,0.0,255.0,0.0,30.0,0.0,34.0,0.0,23.0,0.0,8.0,0.0
Cote d'Ivoire,11-02-2020,0,0,0,45.0,0.0,11.0,0.0,254.0,0.0,11.0,0.0,37.0,0.0,22.0,0.0,8.0,0.0
Cote d'Ivoire,12-02-2020,0,0,0,10.0,0.0,-6.0,0.0,255.0,0.0,5.0,0.0,36.0,0.0,19.0,0.0,6.0,0.0
Cote d'Ivoire,13-02-2020,0,0,0,14.0,0.0,-2.0,0.0,259.0,0.0,4.0,0.0,36.0,0.0,18.0,0.0,12.0,0.0
Cote d'Ivoire,14-02-2020,0,0,0,13.0,0.0,-4.0,0.0,261.0,0.0,2.0,0.0,36.0,0.0,17.0,0.0,11.0,0.0
Cote d'Ivoire,15-02-2020,0,0,0,13.0,0.0,-4.0,0.0,261.0,0.0,1.0,0.0,36.0,0.0,17.0,0.0,12.0,0.0
Cote d'Ivoire,16-02-2020,0,0,0,15.0,0.0,-3.0,0.0,261.0,0.0,3.0,0.0,37.0,0.0,17.0,0.0,12.0,0.0
Cote d'Ivoire,17-02-2020,0,0,0,52.0,0.0,15.0,0.0,262.0,0.0,9.0,0.0,35.0,0.0,22.0,0.0,7.0,0.0
Cote d'Ivoire,18-02-2020,0,0,0,56.0,0.0,18.0,0.0,265.0,0.0,13.0,0.0,37.0,0.0,24.0,0.0,11.0,0.0
Cote d'Ivoire,19-02-2020,0,0,0,65.0,0.0,21.0,0.0,264.0,0.0,5.0,0.0,37.0,0.0,23.0,0.0,12.0,0.0
Cote d'Ivoire,20-02-2020,0,0,0,69.0,0.0,22.0,0.0,261.0,0.0,18.0,0.0,35.0,0.0,24.0,0.0,11.0,0.0
Cote d'Ivoire,21-02-2020,0,0,0,63.0,0.0,21.0,0.0,256.0,0.0,16.0,0.0,37.0,0.0,23.0,0.0,10.0,0.0
Cote d'Ivoire,22-02-2020,0,0,0,62.0,0.0,21.0,0.0,261.0,0.0,15.0,0.0,37.0,0.0,23.0,0.0,8.0,0.0
Cote d'Ivoire,23-02-2020,0,0,0,61.0,0.0,21.0,0.0,260.0,0.0,7.0,0.0,37.0,0.0,24.0,0.0,12.0,0.0
Cote d'Ivoire,24-02-2020,0,0,0,53.0,0.0,18.0,0.0,258.0,0.0,7.0,0.0,38.0,0.0,22.0,0.0,9.0,0.0
Cote d'Ivoire,25-02-2020,0,0,0,40.0,0.0,11.0,0.0,259.0,0.0,6.0,0.0,37.0,0.0,20.0,0.0,11.0,0.0
Cote d'Ivoire,26-02-2020,0,0,0,22.0,0.0,4.0,0.0,262.0,0.0,1.0,0.0,38.0,0.0,20.0,0.0,10.0,0.0
Cote d'Ivoire,27-02-2020,0,0,0,57.0,0.0,18.0,0.0,257.0,0.0,4.0,0.0,36.0,0.0,22.0,0.0,10.0,0.0
Cote d'Ivoire,28-02-2020,0,0,0,61.0,0.0,20.0,0.0,258.0,0.0,6.0,0.0,36.0,0.0,22.0,0.0,11.0,0.0
Cote d'Ivoire,29-02-2020,0,0,0,53.0,0.0,17.0,0.0,258.0,0.0,5.0,0.0,37.0,0.0,21.0,0.0,13.0,0.0
Cote d'Ivoire,01-03-2020,0,0,0,55.0,0.0,18.0,0.0,262.0,0.0,7.0,0.0,38.0,0.0,24.0,0.0,13.0,0.0
Cote d'Ivoire,02-03-2020,0,0,0,67.0,0.0,22.0,0.0,264.0,0.0,20.0,0.0,37.0,0.0,24.0,0.0,11.0,0.0
Cote d'Ivoire,03-03-2020,0,0,0,70.0,0.0,22.0,0.0,263.0,0.0,25.0,0.0,36.0,0.0,23.0,0.0,8.0,0.0
Cote d'Ivoire,04-03-2020,0,0,0,70.0,0.0,22.0,0.0,264.0,0.0,14.0,0.0,36.0,0.0,24.0,0.0,10.0,0.0
Cote d'Ivoire,05-03-2020,0,0,0,73.0,0.0,23.0,0.0,265.0,0.0,53.0,0.0,35.0,0.0,22.0,0.0,10.0,0.0
Cote d'Ivoire,06-03-2020,0,0,0,69.0,0.0,22.0,0.0,262.0,0.0,5.0,0.0,35.0,0.0,23.0,0.0,13.0,0.0
Cote d'Ivoire,07-03-2020,0,0,0,72.0,0.0,22.0,0.0,261.0,0.0,13.0,0.0,33.0,0.0,23.0,0.0,6.0,0.0
Cote d'Ivoire,08-03-2020,0,0,0,71.0,0.0,22.0,0.0,263.0,0.0,55.0,0.0,35.0,0.0,23.0,0.0,6.0,0.0
Cote d'Ivoire,09-03-2020,0,0,0,81.0,0.0,23.0,0.0,265.0,0.0,72.0,0.0,33.0,0.0,22.0,0.0,12.0,0.0
Cote d'Ivoire,10-03-2020,0,0,0,73.0,0.0,22.0,0.0,265.0,0.0,20.0,0.0,34.0,0.0,23.0,0.0,6.0,0.0
Cote d'Ivoire,11-03-2020,0,0,0,65.0,0.0,21.0,0.0,265.0,0.0,12.0,0.0,35.0,0.0,24.0,0.0,6.0,0.0
