# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Cuba,22-01-2020,0,0,0,98.0,0.0,16.0,0.0,259.0,0.0,62.0,0.0,20.0,0.0,9.0,0.0,5.0,0.0
Cuba,23-01-2020,0,0,0,72.0,0.0,7.0,0.0,263.0,0.0,7.0,0.0,16.0,0.0,10.0,0.0,7.0,0.0
Cuba,24-01-2020,0,0,0,82.0,0.0,12.0,0.0,256.0,0.0,10.0,0.0,21.0,0.0,13.0,0.0,6.0,0.0
Cuba,25-01-2020,0,0,0,85.0,0.0,14.0,0.0,250.0,0.0,20.0,0.0,23.0,0.0,13.0,0.0,7.0,0.0
Cuba,26-01-2020,0,0,0,85.0,0.0,15.0,0.0,246.0,0.0,19.0,0.0,23.0,0.0,14.0,0.0,7.0,0.0
Cuba,27-01-2020,0,0,0,86.0,0.0,15.0,0.0,244.0,0.0,24.0,0.0,23.0,0.0,14.0,0.0,8.0,0.0
Cuba,28-01-2020,0,0,0,91.0,0.0,16.0,0.0,255.0,0.0,24.0,0.0,23.0,0.0,16.0,0.0,7.0,0.0
Cuba,29-01-2020,0,0,0,91.0,0.0,18.0,0.0,267.0,0.0,53.0,0.0,24.0,0.0,16.0,0.0,6.0,0.0
Cuba,30-01-2020,0,0,0,91.0,0.0,18.0,0.0,269.0,0.0,42.0,0.0,25.0,0.0,17.0,0.0,6.0,0.0
Cuba,31-01-2020,0,0,0,91.0,0.0,19.0,0.0,263.0,0.0,39.0,0.0,26.0,0.0,18.0,0.0,6.0,0.0
Cuba,01-02-2020,0,0,0,89.0,0.0,19.0,0.0,259.0,0.0,46.0,0.0,26.0,0.0,17.0,0.0,6.0,0.0
Cuba,02-02-2020,0,0,0,91.0,0.0,19.0,0.0,252.0,0.0,24.0,0.0,25.0,0.0,16.0,0.0,7.0,0.0
Cuba,03-02-2020,0,0,0,81.0,0.0,14.0,0.0,253.0,0.0,26.0,0.0,22.0,0.0,12.0,0.0,7.0,0.0
Cuba,04-02-2020,0,0,0,79.0,0.0,13.0,0.0,252.0,0.0,10.0,0.0,24.0,0.0,13.0,0.0,8.0,0.0
Cuba,05-02-2020,0,0,0,80.0,0.0,14.0,0.0,260.0,0.0,13.0,0.0,26.0,0.0,16.0,0.0,8.0,0.0
Cuba,06-02-2020,0,0,0,86.0,0.0,18.0,0.0,257.0,0.0,14.0,0.0,27.0,0.0,17.0,0.0,7.0,0.0
Cuba,07-02-2020,0,0,0,92.0,0.0,19.0,0.0,260.0,0.0,28.0,0.0,24.0,0.0,19.0,0.0,8.0,0.0
Cuba,08-02-2020,0,0,0,90.0,0.0,20.0,0.0,256.0,0.0,33.0,0.0,26.0,0.0,18.0,0.0,6.0,0.0
Cuba,09-02-2020,0,0,0,89.0,0.0,18.0,0.0,264.0,0.0,57.0,0.0,27.0,0.0,17.0,0.0,6.0,0.0
Cuba,10-02-2020,0,0,0,87.0,0.0,18.0,0.0,274.0,0.0,43.0,0.0,26.0,0.0,18.0,0.0,7.0,0.0
Cuba,11-02-2020,0,0,0,83.0,0.0,17.0,0.0,273.0,0.0,34.0,0.0,27.0,0.0,18.0,0.0,8.0,0.0
Cuba,12-02-2020,0,0,0,87.0,0.0,19.0,0.0,272.0,0.0,34.0,0.0,28.0,0.0,18.0,0.0,7.0,0.0
Cuba,13-02-2020,0,0,0,85.0,0.0,19.0,0.0,263.0,0.0,21.0,0.0,27.0,0.0,17.0,0.0,9.0,0.0
Cuba,14-02-2020,0,0,0,85.0,0.0,18.0,0.0,263.0,0.0,19.0,0.0,28.0,0.0,17.0,0.0,8.0,0.0
Cuba,15-02-2020,0,0,0,83.0,0.0,18.0,0.0,262.0,0.0,22.0,0.0,28.0,0.0,17.0,0.0,9.0,0.0
Cuba,16-02-2020,0,0,0,80.0,0.0,16.0,0.0,268.0,0.0,11.0,0.0,27.0,0.0,15.0,0.0,9.0,0.0
Cuba,17-02-2020,0,0,0,82.0,0.0,17.0,0.0,267.0,0.0,17.0,0.0,27.0,0.0,17.0,0.0,8.0,0.0
Cuba,18-02-2020,0,0,0,82.0,0.0,17.0,0.0,270.0,0.0,19.0,0.0,28.0,0.0,18.0,0.0,8.0,0.0
Cuba,19-02-2020,0,0,0,82.0,0.0,18.0,0.0,265.0,0.0,21.0,0.0,29.0,0.0,19.0,0.0,8.0,0.0
Cuba,20-02-2020,0,0,0,83.0,0.0,19.0,0.0,260.0,0.0,21.0,0.0,28.0,0.0,18.0,0.0,9.0,0.0
Cuba,21-02-2020,0,0,0,84.0,0.0,19.0,0.0,256.0,0.0,31.0,0.0,28.0,0.0,17.0,0.0,7.0,0.0
Cuba,22-02-2020,0,0,0,85.0,0.0,18.0,0.0,261.0,0.0,46.0,0.0,26.0,0.0,16.0,0.0,8.0,0.0
Cuba,23-02-2020,0,0,0,91.0,0.0,17.0,0.0,266.0,0.0,42.0,0.0,22.0,0.0,15.0,0.0,6.0,0.0
Cuba,24-02-2020,0,0,0,92.0,0.0,16.0,0.0,268.0,0.0,36.0,0.0,20.0,0.0,14.0,0.0,6.0,0.0
Cuba,25-02-2020,0,0,0,83.0,0.0,15.0,0.0,268.0,0.0,16.0,0.0,25.0,0.0,16.0,0.0,8.0,0.0
Cuba,26-02-2020,0,0,0,87.0,0.0,18.0,0.0,264.0,0.0,13.0,0.0,26.0,0.0,18.0,0.0,10.0,0.0
Cuba,27-02-2020,0,0,0,94.0,0.0,19.0,0.0,260.0,0.0,67.0,0.0,23.0,0.0,18.0,0.0,8.0,0.0
Cuba,28-02-2020,0,0,0,88.0,0.0,18.0,0.0,258.0,0.0,39.0,0.0,25.0,0.0,15.0,0.0,9.0,0.0
Cuba,29-02-2020,0,0,0,83.0,0.0,14.0,0.0,263.0,0.0,6.0,0.0,21.0,0.0,13.0,0.0,7.0,0.0
Cuba,01-03-2020,0,0,0,68.0,0.0,9.0,0.0,271.0,0.0,4.0,0.0,20.0,0.0,11.0,0.0,10.0,0.0
Cuba,02-03-2020,0,0,0,72.0,0.0,10.0,0.0,275.0,0.0,7.0,0.0,22.0,0.0,12.0,0.0,10.0,0.0
Cuba,03-03-2020,0,0,0,75.0,0.0,13.0,0.0,270.0,0.0,7.0,0.0,26.0,0.0,15.0,0.0,10.0,0.0
Cuba,04-03-2020,0,0,0,80.0,0.0,16.0,0.0,264.0,0.0,9.0,0.0,27.0,0.0,17.0,0.0,10.0,0.0
Cuba,05-03-2020,0,0,0,85.0,0.0,18.0,0.0,264.0,0.0,6.0,0.0,27.0,0.0,18.0,0.0,10.0,0.0
Cuba,06-03-2020,0,0,0,83.0,0.0,19.0,0.0,260.0,0.0,8.0,0.0,29.0,0.0,18.0,0.0,11.0,0.0
Cuba,07-03-2020,0,0,0,82.0,0.0,18.0,0.0,260.0,0.0,57.0,0.0,28.0,0.0,17.0,0.0,9.0,0.0
Cuba,08-03-2020,0,0,0,84.0,0.0,15.0,0.0,262.0,0.0,47.0,0.0,22.0,0.0,14.0,0.0,8.0,0.0
Cuba,09-03-2020,0,0,0,71.0,0.0,11.0,0.0,268.0,0.0,11.0,0.0,20.0,0.0,13.0,0.0,6.0,0.0
Cuba,10-03-2020,0,0,0,79.0,0.0,13.0,0.0,277.0,0.0,19.0,0.0,23.0,0.0,14.0,0.0,7.0,0.0
Cuba,11-03-2020,0,0,0,84.0,0.0,15.0,0.0,273.0,0.0,27.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0
