# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Djibouti,22-01-2020,0,0,0,88.0,0.0,16.0,0.0,246.0,0.0,21.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0
Djibouti,23-01-2020,0,0,0,96.0,0.0,17.0,0.0,247.0,0.0,62.0,0.0,21.0,0.0,16.0,0.0,6.0,0.0
Djibouti,24-01-2020,0,0,0,90.0,0.0,17.0,0.0,249.0,0.0,53.0,0.0,23.0,0.0,16.0,0.0,6.0,0.0
Djibouti,25-01-2020,0,0,0,89.0,0.0,17.0,0.0,246.0,0.0,30.0,0.0,24.0,0.0,16.0,0.0,6.0,0.0
Djibouti,26-01-2020,0,0,0,88.0,0.0,16.0,0.0,247.0,0.0,19.0,0.0,23.0,0.0,16.0,0.0,7.0,0.0
Djibouti,27-01-2020,0,0,0,90.0,0.0,16.0,0.0,247.0,0.0,35.0,0.0,22.0,0.0,15.0,0.0,7.0,0.0
Djibouti,28-01-2020,0,0,0,92.0,0.0,16.0,0.0,245.0,0.0,39.0,0.0,21.0,0.0,15.0,0.0,8.0,0.0
Djibouti,29-01-2020,0,0,0,86.0,0.0,15.0,0.0,243.0,0.0,14.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Djibouti,30-01-2020,0,0,0,89.0,0.0,15.0,0.0,238.0,0.0,10.0,0.0,21.0,0.0,14.0,0.0,6.0,0.0
Djibouti,31-01-2020,0,0,0,84.0,0.0,14.0,0.0,244.0,0.0,11.0,0.0,22.0,0.0,15.0,0.0,7.0,0.0
Djibouti,01-02-2020,0,0,0,89.0,0.0,16.0,0.0,242.0,0.0,13.0,0.0,23.0,0.0,15.0,0.0,7.0,0.0
Djibouti,02-02-2020,0,0,0,91.0,0.0,16.0,0.0,245.0,0.0,21.0,0.0,23.0,0.0,15.0,0.0,9.0,0.0
Djibouti,03-02-2020,0,0,0,92.0,0.0,16.0,0.0,246.0,0.0,34.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Djibouti,04-02-2020,0,0,0,86.0,0.0,15.0,0.0,247.0,0.0,12.0,0.0,22.0,0.0,15.0,0.0,8.0,0.0
Djibouti,05-02-2020,0,0,0,89.0,0.0,16.0,0.0,248.0,0.0,17.0,0.0,22.0,0.0,15.0,0.0,9.0,0.0
Djibouti,06-02-2020,0,0,0,80.0,0.0,15.0,0.0,246.0,0.0,7.0,0.0,24.0,0.0,15.0,0.0,9.0,0.0
Djibouti,07-02-2020,0,0,0,71.0,0.0,13.0,0.0,245.0,0.0,10.0,0.0,23.0,0.0,15.0,0.0,10.0,0.0
Djibouti,08-02-2020,0,0,0,68.0,0.0,13.0,0.0,245.0,0.0,2.0,0.0,25.0,0.0,15.0,0.0,12.0,0.0
Djibouti,09-02-2020,0,0,0,64.0,0.0,12.0,0.0,249.0,0.0,9.0,0.0,26.0,0.0,15.0,0.0,8.0,0.0
Djibouti,10-02-2020,0,0,0,79.0,0.0,15.0,0.0,251.0,0.0,8.0,0.0,26.0,0.0,16.0,0.0,8.0,0.0
Djibouti,11-02-2020,0,0,0,88.0,0.0,17.0,0.0,249.0,0.0,14.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0
Djibouti,12-02-2020,0,0,0,90.0,0.0,16.0,0.0,251.0,0.0,21.0,0.0,21.0,0.0,16.0,0.0,6.0,0.0
Djibouti,13-02-2020,0,0,0,92.0,0.0,16.0,0.0,252.0,0.0,39.0,0.0,21.0,0.0,15.0,0.0,6.0,0.0
Djibouti,14-02-2020,0,0,0,79.0,0.0,14.0,0.0,252.0,0.0,10.0,0.0,22.0,0.0,14.0,0.0,10.0,0.0
Djibouti,15-02-2020,0,0,0,72.0,0.0,12.0,0.0,252.0,0.0,6.0,0.0,23.0,0.0,15.0,0.0,12.0,0.0
Djibouti,16-02-2020,0,0,0,69.0,0.0,12.0,0.0,257.0,0.0,5.0,0.0,24.0,0.0,15.0,0.0,11.0,0.0
Djibouti,17-02-2020,0,0,0,81.0,0.0,15.0,0.0,257.0,0.0,7.0,0.0,23.0,0.0,16.0,0.0,11.0,0.0
Djibouti,18-02-2020,0,0,0,81.0,0.0,15.0,0.0,256.0,0.0,14.0,0.0,24.0,0.0,16.0,0.0,12.0,0.0
Djibouti,19-02-2020,0,0,0,77.0,0.0,15.0,0.0,254.0,0.0,7.0,0.0,26.0,0.0,15.0,0.0,12.0,0.0
Djibouti,20-02-2020,0,0,0,75.0,0.0,15.0,0.0,259.0,0.0,6.0,0.0,27.0,0.0,16.0,0.0,7.0,0.0
Djibouti,21-02-2020,0,0,0,84.0,0.0,17.0,0.0,266.0,0.0,12.0,0.0,26.0,0.0,16.0,0.0,10.0,0.0
Djibouti,22-02-2020,0,0,0,85.0,0.0,17.0,0.0,265.0,0.0,15.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Djibouti,23-02-2020,0,0,0,80.0,0.0,16.0,0.0,263.0,0.0,14.0,0.0,24.0,0.0,15.0,0.0,10.0,0.0
Djibouti,24-02-2020,0,0,0,75.0,0.0,14.0,0.0,264.0,0.0,10.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Djibouti,25-02-2020,0,0,0,73.0,0.0,14.0,0.0,258.0,0.0,6.0,0.0,27.0,0.0,16.0,0.0,11.0,0.0
Djibouti,26-02-2020,0,0,0,84.0,0.0,16.0,0.0,256.0,0.0,11.0,0.0,24.0,0.0,16.0,0.0,9.0,0.0
Djibouti,27-02-2020,0,0,0,82.0,0.0,16.0,0.0,253.0,0.0,5.0,0.0,26.0,0.0,15.0,0.0,7.0,0.0
