# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Dominican Republic,22-01-2020,0,0,0,94.0,0.0,18.0,0.0,243.0,0.0,69.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0
Dominican Republic,23-01-2020,0,0,0,88.0,0.0,17.0,0.0,240.0,0.0,16.0,0.0,25.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,24-01-2020,0,0,0,97.0,0.0,18.0,0.0,245.0,0.0,81.0,0.0,23.0,0.0,15.0,0.0,6.0,0.0
Dominican Republic,25-01-2020,0,0,0,95.0,0.0,17.0,0.0,243.0,0.0,74.0,0.0,22.0,0.0,15.0,0.0,6.0,0.0
Dominican Republic,26-01-2020,0,0,0,93.0,0.0,17.0,0.0,242.0,0.0,68.0,0.0,23.0,0.0,15.0,0.0,8.0,0.0
Dominican Republic,27-01-2020,0,0,0,97.0,0.0,18.0,0.0,244.0,0.0,88.0,0.0,22.0,0.0,15.0,0.0,8.0,0.0
Dominican Republic,28-01-2020,0,0,0,91.0,0.0,17.0,0.0,247.0,0.0,56.0,0.0,24.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,29-01-2020,0,0,0,91.0,0.0,17.0,0.0,251.0,0.0,49.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,30-01-2020,0,0,0,91.0,0.0,18.0,0.0,253.0,0.0,35.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,31-01-2020,0,0,0,89.0,0.0,17.0,0.0,256.0,0.0,22.0,0.0,25.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,01-02-2020,0,0,0,87.0,0.0,17.0,0.0,249.0,0.0,30.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,02-02-2020,0,0,0,92.0,0.0,18.0,0.0,247.0,0.0,33.0,0.0,25.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,03-02-2020,0,0,0,89.0,0.0,18.0,0.0,248.0,0.0,41.0,0.0,26.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,04-02-2020,0,0,0,99.0,0.0,19.0,0.0,246.0,0.0,78.0,0.0,23.0,0.0,17.0,0.0,8.0,0.0
Dominican Republic,05-02-2020,0,0,0,95.0,0.0,18.0,0.0,254.0,0.0,78.0,0.0,23.0,0.0,16.0,0.0,7.0,0.0
Dominican Republic,06-02-2020,0,0,0,91.0,0.0,18.0,0.0,254.0,0.0,52.0,0.0,25.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,07-02-2020,0,0,0,92.0,0.0,18.0,0.0,255.0,0.0,33.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,08-02-2020,0,0,0,89.0,0.0,18.0,0.0,258.0,0.0,28.0,0.0,25.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,09-02-2020,0,0,0,90.0,0.0,18.0,0.0,262.0,0.0,31.0,0.0,26.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,10-02-2020,0,0,0,88.0,0.0,17.0,0.0,261.0,0.0,37.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,11-02-2020,0,0,0,93.0,0.0,18.0,0.0,265.0,0.0,68.0,0.0,25.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,12-02-2020,0,0,0,97.0,0.0,18.0,0.0,275.0,0.0,73.0,0.0,22.0,0.0,16.0,0.0,7.0,0.0
Dominican Republic,13-02-2020,0,0,0,97.0,0.0,18.0,0.0,275.0,0.0,59.0,0.0,22.0,0.0,16.0,0.0,7.0,0.0
Dominican Republic,14-02-2020,0,0,0,93.0,0.0,18.0,0.0,268.0,0.0,49.0,0.0,23.0,0.0,15.0,0.0,8.0,0.0
Dominican Republic,15-02-2020,0,0,0,88.0,0.0,17.0,0.0,264.0,0.0,33.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,16-02-2020,0,0,0,95.0,0.0,18.0,0.0,269.0,0.0,67.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0
Dominican Republic,17-02-2020,0,0,0,96.0,0.0,18.0,0.0,266.0,0.0,64.0,0.0,24.0,0.0,17.0,0.0,8.0,0.0
Dominican Republic,18-02-2020,0,0,0,99.0,0.0,19.0,0.0,267.0,0.0,66.0,0.0,22.0,0.0,16.0,0.0,7.0,0.0
Dominican Republic,19-02-2020,0,0,0,100.0,0.0,19.0,0.0,271.0,0.0,57.0,0.0,22.0,0.0,16.0,0.0,7.0,0.0
Dominican Republic,20-02-2020,0,0,0,98.0,0.0,18.0,0.0,275.0,0.0,51.0,0.0,22.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,21-02-2020,0,0,0,95.0,0.0,18.0,0.0,273.0,0.0,52.0,0.0,24.0,0.0,15.0,0.0,8.0,0.0
Dominican Republic,22-02-2020,0,0,0,89.0,0.0,17.0,0.0,268.0,0.0,22.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,23-02-2020,0,0,0,94.0,0.0,18.0,0.0,269.0,0.0,63.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,24-02-2020,0,0,0,97.0,0.0,18.0,0.0,266.0,0.0,89.0,0.0,23.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,25-02-2020,0,0,0,96.0,0.0,17.0,0.0,267.0,0.0,81.0,0.0,22.0,0.0,15.0,0.0,6.0,0.0
Dominican Republic,26-02-2020,0,0,0,92.0,0.0,17.0,0.0,267.0,0.0,31.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,27-02-2020,0,0,0,97.0,0.0,19.0,0.0,263.0,0.0,46.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0
Dominican Republic,28-02-2020,0,0,0,94.0,0.0,19.0,0.0,265.0,0.0,33.0,0.0,26.0,0.0,17.0,0.0,9.0,0.0
Dominican Republic,29-02-2020,0,0,0,90.0,0.0,18.0,0.0,270.0,0.0,33.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,01-03-2020,1,0,0,86.0,0.0,17.0,0.0,272.0,0.0,34.0,0.0,26.0,0.0,16.0,0.0,11.0,0.0
Dominican Republic,02-03-2020,1,0,0,94.0,0.0,18.0,0.0,275.0,0.0,80.0,0.0,24.0,0.0,16.0,0.0,8.0,0.0
Dominican Republic,03-03-2020,1,0,0,100.0,0.0,18.0,0.0,273.0,0.0,94.0,0.0,21.0,0.0,17.0,0.0,7.0,0.0
Dominican Republic,04-03-2020,1,0,0,99.0,0.0,19.0,0.0,263.0,0.0,90.0,0.0,22.0,0.0,17.0,0.0,7.0,0.0
Dominican Republic,05-03-2020,1,0,0,94.0,0.0,19.0,0.0,263.0,0.0,43.0,0.0,24.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,06-03-2020,2,0,0,89.0,0.0,18.0,0.0,266.0,0.0,23.0,0.0,25.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,07-03-2020,2,0,0,89.0,0.0,18.0,0.0,266.0,0.0,22.0,0.0,25.0,0.0,16.0,0.0,10.0,0.0
Dominican Republic,08-03-2020,5,0,0,89.0,0.0,18.0,0.0,265.0,0.0,50.0,0.0,25.0,0.0,16.0,0.0,11.0,0.0
Dominican Republic,09-03-2020,5,0,0,100.0,0.0,18.0,0.0,270.0,0.0,99.0,0.0,20.0,0.0,15.0,0.0,7.0,0.0
Dominican Republic,10-03-2020,5,0,0,100.0,0.0,17.0,0.0,278.0,0.0,98.0,0.0,19.0,0.0,15.0,0.0,6.0,0.0
Dominican Republic,11-03-2020,5,0,0,99.0,0.0,17.0,0.0,278.0,0.0,99.0,0.0,20.0,0.0,15.0,0.0,6.0,0.0
Dominican Republic,12-03-2020,5,0,0,94.0,0.0,17.0,0.0,272.0,0.0,85.0,0.0,24.0,0.0,15.0,0.0,9.0,0.0
Dominican Republic,13-03-2020,5,0,0,95.0,0.0,18.0,0.0,269.0,0.0,90.0,0.0,23.0,0.0,15.0,0.0,10.0,0.0
Dominican Republic,14-03-2020,11,0,0,94.0,0.0,18.0,0.0,280.0,0.0,70.0,0.0,25.0,0.0,16.0,0.0,11.0,0.0
Dominican Republic,15-03-2020,11,0,0,96.0,0.0,18.0,0.0,283.0,0.0,51.0,0.0,23.0,0.0,15.0,0.0,8.0,0.0
Dominican Republic,16-03-2020,11,0,0,91.0,0.0,17.0,0.0,282.0,0.0,31.0,0.0,23.0,0.0,15.0,0.0,10.0,0.0
Dominican Republic,17-03-2020,21,1,0,89.0,0.0,16.0,0.0,275.0,0.0,16.0,0.0,23.0,0.0,15.0,0.0,10.0,0.0
Dominican Republic,18-03-2020,21,1,0,92.0,0.0,17.0,0.0,273.0,0.0,15.0,0.0,23.0,0.0,15.0,0.0,10.0,0.0
Dominican Republic,19-03-2020,34,2,0,92.0,0.0,17.0,0.0,269.0,0.0,33.0,0.0,23.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,20-03-2020,72,2,0,98.0,0.0,18.0,0.0,268.0,0.0,56.0,0.0,22.0,0.0,16.0,0.0,9.0,0.0
Dominican Republic,21-03-2020,112,2,0,98.0,0.0,18.0,0.0,279.0,0.0,86.0,0.0,21.0,0.0,15.0,0.0,7.0,0.0
Dominican Republic,22-03-2020,202,3,0,94.0,0.0,17.0,0.0,287.0,0.0,51.0,0.0,22.0,0.0,14.0,0.0,8.0,0.0
Dominican Republic,23-03-2020,245,3,0,88.0,0.0,16.0,0.0,283.0,0.0,28.0,0.0,24.0,0.0,16.0,0.0,10.0,0.0
Dominican Republic,24-03-2020,312,6,3,99.0,0.0,18.0,0.0,277.0,0.0,94.0,0.0,22.0,0.0,16.0,0.0,7.0,0.0
