# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Egypt,22-01-2020,0,0,0,65.0,0.0,1.0,0.0,286.0,0.0,1.0,0.0,14.0,0.0,2.0,0.0,5.0,0.0
Egypt,23-01-2020,0,0,0,64.0,0.0,1.0,0.0,287.0,0.0,2.0,0.0,15.0,0.0,2.0,0.0,5.0,0.0
Egypt,24-01-2020,0,0,0,65.0,0.0,2.0,0.0,286.0,0.0,3.0,0.0,16.0,0.0,3.0,0.0,5.0,0.0
Egypt,25-01-2020,0,0,0,51.0,0.0,-2.0,0.0,286.0,0.0,2.0,0.0,17.0,0.0,1.0,0.0,6.0,0.0
Egypt,26-01-2020,0,0,0,45.0,0.0,-4.0,0.0,277.0,0.0,2.0,0.0,19.0,0.0,2.0,0.0,6.0,0.0
Egypt,27-01-2020,0,0,0,34.0,0.0,-7.0,0.0,275.0,0.0,3.0,0.0,20.0,0.0,4.0,0.0,6.0,0.0
Egypt,28-01-2020,0,0,0,32.0,0.0,-5.0,0.0,275.0,0.0,1.0,0.0,21.0,0.0,5.0,0.0,6.0,0.0
Egypt,29-01-2020,0,0,0,48.0,0.0,0.0,0.0,276.0,0.0,1.0,0.0,19.0,0.0,4.0,0.0,4.0,0.0
Egypt,30-01-2020,0,0,0,54.0,0.0,0.0,0.0,281.0,0.0,3.0,0.0,19.0,0.0,5.0,0.0,6.0,0.0
Egypt,31-01-2020,0,0,0,48.0,0.0,0.0,0.0,306.0,0.0,3.0,0.0,18.0,0.0,5.0,0.0,6.0,0.0
Egypt,01-02-2020,0,0,0,60.0,0.0,2.0,0.0,306.0,0.0,3.0,0.0,19.0,0.0,5.0,0.0,6.0,0.0
Egypt,02-02-2020,0,0,0,52.0,0.0,0.0,0.0,310.0,0.0,2.0,0.0,19.0,0.0,5.0,0.0,6.0,0.0
Egypt,03-02-2020,0,0,0,52.0,0.0,0.0,0.0,309.0,0.0,3.0,0.0,19.0,0.0,5.0,0.0,6.0,0.0
Egypt,04-02-2020,0,0,0,62.0,0.0,4.0,0.0,304.0,0.0,5.0,0.0,20.0,0.0,5.0,0.0,6.0,0.0
