# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
El Salvador,22-01-2020,0,0,0,60.0,0.0,14.0,0.0,240.0,0.0,6.0,0.0,29.0,0.0,16.0,0.0,10.0,0.0
El Salvador,23-01-2020,0,0,0,61.0,0.0,13.0,0.0,242.0,0.0,9.0,0.0,29.0,0.0,15.0,0.0,10.0,0.0
El Salvador,24-01-2020,0,0,0,73.0,0.0,16.0,0.0,243.0,0.0,10.0,0.0,29.0,0.0,17.0,0.0,10.0,0.0
El Salvador,25-01-2020,0,0,0,76.0,0.0,17.0,0.0,241.0,0.0,22.0,0.0,30.0,0.0,16.0,0.0,10.0,0.0
El Salvador,26-01-2020,0,0,0,71.0,0.0,16.0,0.0,240.0,0.0,10.0,0.0,30.0,0.0,17.0,0.0,10.0,0.0
El Salvador,27-01-2020,0,0,0,77.0,0.0,17.0,0.0,236.0,0.0,12.0,0.0,30.0,0.0,17.0,0.0,11.0,0.0
El Salvador,28-01-2020,0,0,0,80.0,0.0,18.0,0.0,237.0,0.0,22.0,0.0,29.0,0.0,17.0,0.0,11.0,0.0
El Salvador,29-01-2020,0,0,0,79.0,0.0,18.0,0.0,243.0,0.0,12.0,0.0,30.0,0.0,16.0,0.0,10.0,0.0
El Salvador,30-01-2020,0,0,0,76.0,0.0,17.0,0.0,246.0,0.0,12.0,0.0,31.0,0.0,17.0,0.0,10.0,0.0
El Salvador,31-01-2020,0,0,0,76.0,0.0,18.0,0.0,250.0,0.0,22.0,0.0,32.0,0.0,18.0,0.0,10.0,0.0
El Salvador,01-02-2020,0,0,0,76.0,0.0,18.0,0.0,248.0,0.0,15.0,0.0,32.0,0.0,17.0,0.0,10.0,0.0
El Salvador,02-02-2020,0,0,0,73.0,0.0,18.0,0.0,246.0,0.0,27.0,0.0,32.0,0.0,19.0,0.0,10.0,0.0
El Salvador,03-02-2020,0,0,0,63.0,0.0,16.0,0.0,242.0,0.0,14.0,0.0,31.0,0.0,16.0,0.0,11.0,0.0
El Salvador,04-02-2020,0,0,0,63.0,0.0,15.0,0.0,240.0,0.0,9.0,0.0,31.0,0.0,17.0,0.0,11.0,0.0
