# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Equatorial Guinea,22-01-2020,0,0,0,87.0,0.0,22.0,0.0,251.0,0.0,21.0,0.0,31.0,0.0,20.0,0.0,7.0,0.0
Equatorial Guinea,23-01-2020,0,0,0,86.0,0.0,22.0,0.0,255.0,0.0,19.0,0.0,31.0,0.0,20.0,0.0,10.0,0.0
Equatorial Guinea,24-01-2020,0,0,0,86.0,0.0,22.0,0.0,254.0,0.0,38.0,0.0,30.0,0.0,19.0,0.0,9.0,0.0
Equatorial Guinea,25-01-2020,0,0,0,82.0,0.0,21.0,0.0,252.0,0.0,13.0,0.0,31.0,0.0,20.0,0.0,10.0,0.0
Equatorial Guinea,26-01-2020,0,0,0,81.0,0.0,20.0,0.0,252.0,0.0,14.0,0.0,31.0,0.0,21.0,0.0,11.0,0.0
Equatorial Guinea,27-01-2020,0,0,0,88.0,0.0,23.0,0.0,252.0,0.0,34.0,0.0,30.0,0.0,21.0,0.0,9.0,0.0
Equatorial Guinea,28-01-2020,0,0,0,93.0,0.0,23.0,0.0,254.0,0.0,63.0,0.0,29.0,0.0,21.0,0.0,10.0,0.0
Equatorial Guinea,29-01-2020,0,0,0,92.0,0.0,23.0,0.0,255.0,0.0,53.0,0.0,29.0,0.0,21.0,0.0,8.0,0.0
Equatorial Guinea,30-01-2020,0,0,0,92.0,0.0,23.0,0.0,257.0,0.0,56.0,0.0,29.0,0.0,22.0,0.0,6.0,0.0
Equatorial Guinea,31-01-2020,0,0,0,94.0,0.0,23.0,0.0,255.0,0.0,64.0,0.0,28.0,0.0,21.0,0.0,7.0,0.0
Equatorial Guinea,01-02-2020,0,0,0,92.0,0.0,23.0,0.0,255.0,0.0,54.0,0.0,30.0,0.0,21.0,0.0,8.0,0.0
Equatorial Guinea,02-02-2020,0,0,0,95.0,0.0,23.0,0.0,253.0,0.0,81.0,0.0,28.0,0.0,21.0,0.0,10.0,0.0
Equatorial Guinea,03-02-2020,0,0,0,93.0,0.0,22.0,0.0,255.0,0.0,79.0,0.0,27.0,0.0,20.0,0.0,6.0,0.0
Equatorial Guinea,04-02-2020,0,0,0,86.0,0.0,21.0,0.0,258.0,0.0,56.0,0.0,29.0,0.0,21.0,0.0,7.0,0.0
