# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Ethiopia,22-01-2020,0,0,0,56.0,0.0,10.0,0.0,242.0,0.0,2.0,0.0,26.0,0.0,15.0,0.0,9.0,0.0
Ethiopia,23-01-2020,0,0,0,64.0,0.0,12.0,0.0,242.0,0.0,6.0,0.0,26.0,0.0,16.0,0.0,10.0,0.0
Ethiopia,24-01-2020,0,0,0,82.0,0.0,16.0,0.0,244.0,0.0,25.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0
Ethiopia,25-01-2020,0,0,0,84.0,0.0,16.0,0.0,244.0,0.0,33.0,0.0,26.0,0.0,16.0,0.0,6.0,0.0
Ethiopia,26-01-2020,0,0,0,84.0,0.0,16.0,0.0,244.0,0.0,35.0,0.0,22.0,0.0,16.0,0.0,6.0,0.0
Ethiopia,27-01-2020,0,0,0,85.0,0.0,15.0,0.0,244.0,0.0,48.0,0.0,22.0,0.0,16.0,0.0,6.0,0.0
Ethiopia,28-01-2020,0,0,0,78.0,0.0,15.0,0.0,242.0,0.0,31.0,0.0,26.0,0.0,15.0,0.0,7.0,0.0
Ethiopia,29-01-2020,0,0,0,66.0,0.0,13.0,0.0,241.0,0.0,12.0,0.0,26.0,0.0,16.0,0.0,10.0,0.0
Ethiopia,30-01-2020,0,0,0,64.0,0.0,13.0,0.0,240.0,0.0,12.0,0.0,27.0,0.0,15.0,0.0,6.0,0.0
Ethiopia,31-01-2020,0,0,0,56.0,0.0,12.0,0.0,241.0,0.0,9.0,0.0,28.0,0.0,16.0,0.0,10.0,0.0
Ethiopia,01-02-2020,0,0,0,64.0,0.0,13.0,0.0,239.0,0.0,28.0,0.0,27.0,0.0,17.0,0.0,6.0,0.0
Ethiopia,02-02-2020,0,0,0,59.0,0.0,13.0,0.0,243.0,0.0,7.0,0.0,27.0,0.0,16.0,0.0,7.0,0.0
Ethiopia,03-02-2020,0,0,0,62.0,0.0,14.0,0.0,243.0,0.0,14.0,0.0,26.0,0.0,16.0,0.0,8.0,0.0
Ethiopia,04-02-2020,0,0,0,57.0,0.0,13.0,0.0,242.0,0.0,12.0,0.0,28.0,0.0,15.0,0.0,8.0,0.0
