# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Fiji,22-01-2020,0,0,0,74.0,0.0,19.0,0.0,255.0,0.0,16.0,0.0,31.0,0.0,17.0,0.0,8.0,0.0
Fiji,23-01-2020,0,0,0,82.0,0.0,20.0,0.0,252.0,0.0,33.0,0.0,29.0,0.0,21.0,0.0,10.0,0.0
Fiji,24-01-2020,0,0,0,84.0,0.0,21.0,0.0,254.0,0.0,45.0,0.0,31.0,0.0,20.0,0.0,10.0,0.0
Fiji,25-01-2020,0,0,0,82.0,0.0,21.0,0.0,253.0,0.0,34.0,0.0,30.0,0.0,20.0,0.0,10.0,0.0
Fiji,26-01-2020,0,0,0,82.0,0.0,21.0,0.0,255.0,0.0,50.0,0.0,32.0,0.0,20.0,0.0,13.0,0.0
Fiji,27-01-2020,0,0,0,91.0,0.0,23.0,0.0,255.0,0.0,67.0,0.0,29.0,0.0,19.0,0.0,12.0,0.0
Fiji,28-01-2020,0,0,0,86.0,0.0,22.0,0.0,256.0,0.0,39.0,0.0,32.0,0.0,21.0,0.0,8.0,0.0
Fiji,29-01-2020,0,0,0,88.0,0.0,22.0,0.0,259.0,0.0,41.0,0.0,31.0,0.0,21.0,0.0,10.0,0.0
Fiji,30-01-2020,0,0,0,93.0,0.0,24.0,0.0,254.0,0.0,63.0,0.0,30.0,0.0,22.0,0.0,11.0,0.0
Fiji,31-01-2020,0,0,0,88.0,0.0,23.0,0.0,248.0,0.0,40.0,0.0,31.0,0.0,22.0,0.0,7.0,0.0
Fiji,01-02-2020,0,0,0,88.0,0.0,23.0,0.0,251.0,0.0,54.0,0.0,31.0,0.0,23.0,0.0,8.0,0.0
Fiji,02-02-2020,0,0,0,96.0,0.0,24.0,0.0,254.0,0.0,80.0,0.0,28.0,0.0,21.0,0.0,6.0,0.0
Fiji,03-02-2020,0,0,0,81.0,0.0,22.0,0.0,260.0,0.0,44.0,0.0,32.0,0.0,22.0,0.0,12.0,0.0
Fiji,04-02-2020,0,0,0,86.0,0.0,22.0,0.0,267.0,0.0,57.0,0.0,30.0,0.0,20.0,0.0,11.0,0.0
Fiji,05-02-2020,0,0,0,91.0,0.0,23.0,0.0,259.0,0.0,48.0,0.0,29.0,0.0,22.0,0.0,12.0,0.0
Fiji,06-02-2020,0,0,0,91.0,0.0,24.0,0.0,249.0,0.0,53.0,0.0,30.0,0.0,23.0,0.0,6.0,0.0
Fiji,07-02-2020,0,0,0,94.0,0.0,24.0,0.0,251.0,0.0,69.0,0.0,29.0,0.0,22.0,0.0,7.0,0.0
Fiji,08-02-2020,0,0,0,96.0,0.0,24.0,0.0,252.0,0.0,82.0,0.0,29.0,0.0,23.0,0.0,7.0,0.0
Fiji,09-02-2020,0,0,0,93.0,0.0,24.0,0.0,252.0,0.0,76.0,0.0,29.0,0.0,23.0,0.0,7.0,0.0
Fiji,10-02-2020,0,0,0,91.0,0.0,24.0,0.0,250.0,0.0,66.0,0.0,31.0,0.0,23.0,0.0,6.0,0.0
Fiji,11-02-2020,0,0,0,90.0,0.0,24.0,0.0,250.0,0.0,56.0,0.0,32.0,0.0,22.0,0.0,6.0,0.0
Fiji,12-02-2020,0,0,0,93.0,0.0,25.0,0.0,246.0,0.0,59.0,0.0,31.0,0.0,22.0,0.0,6.0,0.0
Fiji,13-02-2020,0,0,0,96.0,0.0,25.0,0.0,247.0,0.0,67.0,0.0,30.0,0.0,23.0,0.0,6.0,0.0
Fiji,14-02-2020,0,0,0,99.0,0.0,24.0,0.0,250.0,0.0,78.0,0.0,27.0,0.0,22.0,0.0,6.0,0.0
Fiji,15-02-2020,0,0,0,87.0,0.0,22.0,0.0,257.0,0.0,64.0,0.0,30.0,0.0,22.0,0.0,6.0,0.0
Fiji,16-02-2020,0,0,0,81.0,0.0,21.0,0.0,257.0,0.0,30.0,0.0,31.0,0.0,21.0,0.0,7.0,0.0
Fiji,17-02-2020,0,0,0,83.0,0.0,21.0,0.0,255.0,0.0,31.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
