# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
France,22-01-2020,0,0,0,83.5,11.155716023635595,19.9,8.478797084492587,265.8,48.197095348163884,37.4,32.088003989029914,26.0,5.5136195008360875,21.0,7.321202087089251,7.1,2.7730849247724096
France,23-01-2020,0,0,0,84.5,9.780081799248919,20.5,7.723341245859852,261.8,36.52341714571625,39.8,31.047705229211388,26.0,5.916079783099617,21.0,7.3484692283495345,6.9,2.7730849247724096
France,24-01-2020,0,0,0,86.3,8.683893136145793,20.8,6.867313885355759,261.3,33.63941140983296,44.2,31.62214413982708,26.6,4.5431266766402185,21.4,6.785278181474951,7.4,2.576819745345025
France,25-01-2020,0,0,0,87.9,6.090155991434044,21.1,6.5337584895678535,258.9,22.22813532440362,51.2,30.042636369000643,26.6,4.565084884205331,21.3,6.603786792439622,7.6,2.6532998322843198
France,26-01-2020,0,0,0,87.8,5.528109984434102,21.3,6.197580172938467,259.3,20.361974363995255,63.3,22.4278844298788,25.8,5.418486873657626,21.5,5.748912940721924,7.6,2.9393876913398143
France,27-01-2020,0,0,0,85.8,8.096912991998865,20.8,6.144916598294888,263.6,25.79612373981796,58.7,28.11423127172429,25.6,6.019966777316964,21.3,5.692978130996113,7.1,2.8089143810376282
France,28-01-2020,0,0,0,86.6,9.068627239003707,20.7,6.245798587850876,269.0,38.992306933547795,55.4,29.418361613115035,25.4,6.575712889109438,21.6,5.695612346359257,7.7,3.195309061734091
France,29-01-2020,0,0,0,85.7,8.820997676000149,20.8,5.946427498927402,265.4,27.853904573685888,49.2,28.926804178823485,25.9,5.80430874437258,21.5,6.682065548915245,7.6,3.0397368307141326
France,30-01-2020,0,0,0,86.1,7.712976079309463,21.1,5.3188344587888805,262.4,18.265815065307105,47.7,27.437383257154828,26.2,5.249761899362675,22.3,4.382921400162226,8.4,3.3526109228480423
France,31-01-2020,0,0,0,86.8,7.277362159464102,21.7,4.405678154382137,262.4,15.344054223053305,37.9,26.49698096010185,26.7,4.69148164229596,22.3,4.712748667179271,7.3,2.7946377224964243
France,01-02-2020,0,0,0,86.5,5.4083269131959835,21.7,4.648655719667784,262.1,16.027788368954713,35.8,24.148705969471735,26.5,4.6314144707637634,22.4,4.498888751680798,8.4,2.90516780926679
France,02-02-2020,0,0,0,86.4,4.983974317750845,21.7,4.148493702538308,258.3,13.704378862246914,35.5,26.13522527165205,26.6,4.363484845854286,22.2,4.354308211415448,8.4,2.90516780926679
France,03-02-2020,0,0,0,84.8,4.853864439804639,21.6,4.565084884205332,256.6,13.828955130450025,30.8,17.554486605993354,27.1,3.858756276314947,21.9,6.2681735776859275,8.3,2.6476404589747453
France,04-02-2020,0,0,0,83.9,4.678675026115834,20.7,6.356886030125128,261.8,26.217551373078305,32.2,22.497999911103207,26.2,6.508456038109193,21.5,7.379024325749307,8.3,3.132091952673165
France,05-02-2020,0,0,0,84.3,4.405678154382137,20.4,6.887670143089026,264.0,21.94538675895232,24.4,7.39188744503053,26.0,6.148170459575759,21.3,7.576938695805848,8.0,2.569046515733026
France,06-02-2020,0,0,0,83.0,9.654014708917735,20.3,8.222530024268687,265.4,24.45076685913961,40.0,17.406895185529212,26.2,5.8787753826796285,21.2,7.9849859110708525,8.5,2.8722813232690143
France,07-02-2020,0,0,0,82.5,6.6670833203133135,20.4,6.988562083862458,264.6,18.805318396666404,29.9,19.279263471408857,26.9,4.437341546466758,21.5,7.433034373659253,8.2,2.9933259094191533
France,08-02-2020,0,0,0,83.4,6.468384651518493,20.7,6.4195015382816125,265.4,19.074590428106184,34.2,17.01646261712463,26.6,4.317406628984581,21.7,5.984145720150872,9.0,3.0983866769659336
France,09-02-2020,0,0,0,83.5,7.144928271158499,20.8,5.741080037762929,264.8,13.998571355677694,44.5,26.29923953273174,26.6,4.317406628984581,22.4,4.983974317750845,8.5,3.5
France,10-02-2020,0,0,0,84.1,6.8036754772696195,21.2,5.230678732248808,259.3,7.000714249274856,53.2,26.539781461044477,26.3,4.980963762164908,21.9,5.734980383575867,7.8,3.2186953878862163
France,11-02-2020,0,0,0,85.9,5.7870545184921145,21.5,6.312685640834652,261.5,7.6583287994183165,51.2,27.94566155953371,26.3,5.950630218724736,22.1,7.3,8.8,3.1874754901018454
France,12-02-2020,0,0,0,86.5,5.886425061104576,21.5,7.338255923582933,269.8,19.192706948213424,59.6,21.124393482417425,26.5,5.714017850864661,21.7,7.576938695805848,8.3,3.348133808556641
France,13-02-2020,0,0,0,85.5,6.576473218982952,21.5,6.422616289332565,273.8,26.40378760708395,59.9,17.671728834497205,26.8,5.546169849544818,22.1,6.204030947698438,7.9,2.9478805945967346
