# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Georgia,22-01-2020,0,0,0,72.0,0.0,-3.0,0.0,339.0,0.0,61.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0
Georgia,23-01-2020,0,0,0,74.0,0.0,-3.0,0.0,367.0,0.0,77.0,0.0,4.0,0.0,-1.0,0.0,1.0,0.0
Georgia,24-01-2020,0,0,0,63.0,0.0,-7.0,0.0,400.0,0.0,60.0,0.0,2.0,0.0,-6.0,0.0,1.0,0.0
Georgia,25-01-2020,0,0,0,56.0,0.0,-10.0,0.0,327.0,0.0,21.0,0.0,3.0,0.0,-5.0,0.0,2.0,0.0
Georgia,26-01-2020,0,0,0,53.0,0.0,-9.0,0.0,300.0,0.0,9.0,0.0,7.0,0.0,-4.0,0.0,2.0,0.0
Georgia,27-01-2020,0,0,0,61.0,0.0,-6.0,0.0,304.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Georgia,28-01-2020,0,0,0,52.0,0.0,-5.0,0.0,314.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0
Georgia,29-01-2020,0,0,0,64.0,0.0,0.0,0.0,350.0,0.0,22.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0
Georgia,30-01-2020,0,0,0,68.0,0.0,0.0,0.0,373.0,0.0,23.0,0.0,11.0,0.0,5.0,0.0,1.0,0.0
Georgia,31-01-2020,0,0,0,74.0,0.0,0.0,0.0,380.0,0.0,89.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Georgia,01-02-2020,0,0,0,75.0,0.0,-2.0,0.0,381.0,0.0,65.0,0.0,5.0,0.0,-3.0,0.0,1.0,0.0
Georgia,02-02-2020,0,0,0,74.0,0.0,-3.0,0.0,319.0,0.0,55.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Georgia,03-02-2020,0,0,0,78.0,0.0,0.0,0.0,301.0,0.0,81.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0
Georgia,04-02-2020,0,0,0,82.0,0.0,0.0,0.0,338.0,0.0,94.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
Georgia,05-02-2020,0,0,0,64.0,0.0,-4.0,0.0,351.0,0.0,31.0,0.0,7.0,0.0,4.0,0.0,2.0,0.0
Georgia,06-02-2020,0,0,0,63.0,0.0,1.0,0.0,337.0,0.0,7.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
Georgia,07-02-2020,0,0,0,78.0,0.0,0.0,0.0,339.0,0.0,89.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Georgia,08-02-2020,0,0,0,74.0,0.0,-4.0,0.0,393.0,0.0,60.0,0.0,1.0,0.0,-5.0,0.0,2.0,0.0
Georgia,09-02-2020,0,0,0,48.0,0.0,-14.0,0.0,412.0,0.0,17.0,0.0,0.0,0.0,-10.0,0.0,2.0,0.0
Georgia,10-02-2020,0,0,0,46.0,0.0,-15.0,0.0,401.0,0.0,8.0,0.0,2.0,0.0,-9.0,0.0,2.0,0.0
Georgia,11-02-2020,0,0,0,46.0,0.0,-14.0,0.0,351.0,0.0,4.0,0.0,3.0,0.0,-6.0,0.0,2.0,0.0
Georgia,12-02-2020,0,0,0,57.0,0.0,-8.0,0.0,338.0,0.0,67.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
Georgia,13-02-2020,0,0,0,77.0,0.0,-2.0,0.0,338.0,0.0,93.0,0.0,4.0,0.0,-1.0,0.0,2.0,0.0
Georgia,14-02-2020,0,0,0,74.0,0.0,-4.0,0.0,366.0,0.0,78.0,0.0,3.0,0.0,-5.0,0.0,2.0,0.0
Georgia,15-02-2020,0,0,0,49.0,0.0,-9.0,0.0,404.0,0.0,4.0,0.0,5.0,0.0,-2.0,0.0,2.0,0.0
Georgia,16-02-2020,0,0,0,51.0,0.0,-7.0,0.0,403.0,0.0,7.0,0.0,8.0,0.0,-2.0,0.0,2.0,0.0
Georgia,17-02-2020,0,0,0,59.0,0.0,-5.0,0.0,386.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0
Georgia,18-02-2020,0,0,0,59.0,0.0,-3.0,0.0,358.0,0.0,10.0,0.0,9.0,0.0,1.0,0.0,3.0,0.0
Georgia,19-02-2020,0,0,0,57.0,0.0,-2.0,0.0,349.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
Georgia,20-02-2020,0,0,0,72.0,0.0,0.0,0.0,341.0,0.0,19.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0
Georgia,21-02-2020,0,0,0,69.0,0.0,1.0,0.0,355.0,0.0,11.0,0.0,13.0,0.0,5.0,0.0,2.0,0.0
Georgia,22-02-2020,0,0,0,67.0,0.0,2.0,0.0,374.0,0.0,11.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
Georgia,23-02-2020,0,0,0,83.0,0.0,2.0,0.0,338.0,0.0,86.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0
Georgia,24-02-2020,0,0,0,66.0,0.0,0.0,0.0,354.0,0.0,28.0,0.0,13.0,0.0,3.0,0.0,3.0,0.0
Georgia,25-02-2020,0,0,0,75.0,0.0,0.0,0.0,379.0,0.0,92.0,0.0,5.0,0.0,-2.0,0.0,2.0,0.0
Georgia,26-02-2020,1,0,0,57.0,0.0,-5.0,0.0,359.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0
Georgia,27-02-2020,1,0,0,49.0,0.0,-3.0,0.0,308.0,0.0,1.0,0.0,15.0,0.0,3.0,0.0,4.0,0.0
Georgia,28-02-2020,1,0,0,59.0,0.0,0.0,0.0,320.0,0.0,47.0,0.0,16.0,0.0,2.0,0.0,3.0,0.0
Georgia,29-02-2020,1,0,0,66.0,0.0,1.0,0.0,333.0,0.0,24.0,0.0,14.0,0.0,4.0,0.0,3.0,0.0
Georgia,01-03-2020,3,0,0,82.0,0.0,2.0,0.0,386.0,0.0,91.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0
Georgia,02-03-2020,3,0,0,72.0,0.0,1.0,0.0,362.0,0.0,33.0,0.0,12.0,0.0,2.0,0.0,2.0,0.0
Georgia,03-03-2020,3,0,0,59.0,0.0,0.0,0.0,345.0,0.0,4.0,0.0,15.0,0.0,3.0,0.0,3.0,0.0
Georgia,04-03-2020,3,0,0,49.0,0.0,0.0,0.0,331.0,0.0,1.0,0.0,19.0,0.0,7.0,0.0,4.0,0.0
Georgia,05-03-2020,4,0,0,39.0,0.0,-1.0,0.0,322.0,0.0,1.0,0.0,19.0,0.0,9.0,0.0,3.0,0.0
Georgia,06-03-2020,4,0,0,42.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,3.0,0.0
Georgia,07-03-2020,4,0,0,48.0,0.0,1.0,0.0,350.0,0.0,1.0,0.0,17.0,0.0,7.0,0.0,2.0,0.0
Georgia,08-03-2020,13,0,0,43.0,0.0,0.0,0.0,319.0,0.0,1.0,0.0,19.0,0.0,8.0,0.0,4.0,0.0
Georgia,09-03-2020,15,0,0,37.0,0.0,-2.0,0.0,326.0,0.0,2.0,0.0,20.0,0.0,9.0,0.0,5.0,0.0
Georgia,10-03-2020,15,0,0,27.0,0.0,-5.0,0.0,333.0,0.0,0.0,0.0,20.0,0.0,7.0,0.0,3.0,0.0
Georgia,11-03-2020,24,0,0,42.0,0.0,0.0,0.0,344.0,0.0,5.0,0.0,21.0,0.0,7.0,0.0,4.0,0.0
Georgia,12-03-2020,24,0,0,69.0,0.0,6.0,0.0,366.0,0.0,37.0,0.0,19.0,0.0,7.0,0.0,3.0,0.0
Georgia,13-03-2020,25,0,0,57.0,0.0,4.0,0.0,332.0,0.0,5.0,0.0,19.0,0.0,11.0,0.0,4.0,0.0
Georgia,14-03-2020,30,0,0,74.0,0.0,7.0,0.0,343.0,0.0,90.0,0.0,12.0,0.0,6.0,0.0,3.0,0.0
Georgia,15-03-2020,33,0,0,74.0,0.0,5.0,0.0,330.0,0.0,86.0,0.0,16.0,0.0,3.0,0.0,3.0,0.0
Georgia,16-03-2020,33,0,1,81.0,0.0,1.0,0.0,328.0,0.0,97.0,0.0,5.0,0.0,-1.0,0.0,3.0,0.0
Georgia,17-03-2020,34,0,1,78.0,0.0,-1.0,0.0,354.0,0.0,86.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0
Georgia,18-03-2020,38,0,1,73.0,0.0,0.0,0.0,346.0,0.0,65.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0
Georgia,19-03-2020,40,0,1,72.0,0.0,2.0,0.0,347.0,0.0,38.0,0.0,13.0,0.0,3.0,0.0,4.0,0.0
Georgia,20-03-2020,43,0,1,78.0,0.0,2.0,0.0,356.0,0.0,34.0,0.0,11.0,0.0,3.0,0.0,3.0,0.0
Georgia,21-03-2020,49,0,1,75.0,0.0,2.0,0.0,357.0,0.0,40.0,0.0,12.0,0.0,4.0,0.0,3.0,0.0
Georgia,22-03-2020,54,0,3,63.0,0.0,1.0,0.0,364.0,0.0,5.0,0.0,14.0,0.0,2.0,0.0,5.0,0.0
