# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Germany,22-01-2020,0,0,0,77.0,0.0,-4.0,0.0,325.0,0.0,5.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0
Germany,23-01-2020,0,0,0,85.0,0.0,-2.0,0.0,311.0,0.0,9.0,0.0,4.0,0.0,-3.0,0.0,1.0,0.0
Germany,24-01-2020,0,0,0,77.0,0.0,-5.0,0.0,284.0,0.0,8.0,0.0,1.0,0.0,-3.0,0.0,1.0,0.0
Germany,25-01-2020,0,0,0,76.0,0.0,-4.0,0.0,273.0,0.0,4.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0
Germany,26-01-2020,0,0,0,89.0,0.0,0.0,0.0,283.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Germany,27-01-2020,1,0,0,94.0,0.0,2.0,0.0,316.0,0.0,88.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0
Germany,28-01-2020,4,0,0,85.0,0.0,0.0,0.0,398.0,0.0,84.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Germany,29-01-2020,4,0,0,84.0,0.0,0.0,0.0,395.0,0.0,61.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
Germany,30-01-2020,4,0,0,85.0,0.0,2.0,0.0,310.0,0.0,42.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0
Germany,31-01-2020,5,0,0,87.0,0.0,7.0,0.0,286.0,0.0,35.0,0.0,12.0,0.0,8.0,0.0,1.0,0.0
Germany,01-02-2020,8,0,0,90.0,0.0,7.0,0.0,303.0,0.0,93.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0
Germany,02-02-2020,10,0,0,88.0,0.0,5.0,0.0,333.0,0.0,81.0,0.0,11.0,0.0,7.0,0.0,1.0,0.0
Germany,03-02-2020,12,0,0,84.0,0.0,5.0,0.0,338.0,0.0,68.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0
Germany,04-02-2020,12,0,0,85.0,0.0,0.0,0.0,399.0,0.0,97.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Germany,05-02-2020,12,0,0,77.0,0.0,-2.0,0.0,359.0,0.0,14.0,0.0,6.0,0.0,-2.0,0.0,1.0,0.0
Germany,06-02-2020,12,0,0,84.0,0.0,-1.0,0.0,336.0,0.0,3.0,0.0,5.0,0.0,-2.0,0.0,1.0,0.0
Germany,07-02-2020,13,0,0,82.0,0.0,-1.0,0.0,323.0,0.0,7.0,0.0,6.0,0.0,-2.0,0.0,1.0,0.0
Germany,08-02-2020,13,0,0,83.0,0.0,-2.0,0.0,307.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Germany,09-02-2020,14,0,0,81.0,0.0,2.0,0.0,317.0,0.0,50.0,0.0,9.0,0.0,5.0,0.0,1.0,0.0
Germany,10-02-2020,14,0,0,83.0,0.0,2.0,0.0,324.0,0.0,98.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Germany,11-02-2020,16,0,0,76.0,0.0,-1.0,0.0,344.0,0.0,74.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Germany,12-02-2020,16,0,0,76.0,0.0,-1.0,0.0,396.0,0.0,34.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Germany,13-02-2020,16,0,1,87.0,0.0,0.0,0.0,393.0,0.0,87.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
Germany,14-02-2020,16,0,1,87.0,0.0,1.0,0.0,347.0,0.0,53.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Germany,15-02-2020,16,0,1,89.0,0.0,2.0,0.0,324.0,0.0,6.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0
Germany,16-02-2020,16,0,1,73.0,0.0,5.0,0.0,310.0,0.0,61.0,0.0,14.0,0.0,5.0,0.0,1.0,0.0
Germany,17-02-2020,16,0,1,78.0,0.0,3.0,0.0,344.0,0.0,71.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0
Germany,18-02-2020,16,0,12,80.0,0.0,1.0,0.0,368.0,0.0,69.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0
Germany,19-02-2020,16,0,12,81.0,0.0,0.0,0.0,375.0,0.0,87.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Germany,20-02-2020,16,0,12,87.0,0.0,2.0,0.0,318.0,0.0,80.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0
Germany,21-02-2020,16,0,14,76.0,0.0,0.0,0.0,363.0,0.0,75.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0
Germany,22-02-2020,16,0,14,70.0,0.0,1.0,0.0,330.0,0.0,19.0,0.0,10.0,0.0,6.0,0.0,2.0,0.0
Germany,23-02-2020,16,0,14,88.0,0.0,6.0,0.0,343.0,0.0,96.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
Germany,24-02-2020,16,0,14,88.0,0.0,2.0,0.0,348.0,0.0,77.0,0.0,9.0,0.0,6.0,0.0,2.0,0.0
Germany,25-02-2020,17,0,14,85.0,0.0,3.0,0.0,356.0,0.0,85.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
Germany,26-02-2020,27,0,15,86.0,0.0,0.0,0.0,432.0,0.0,83.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Germany,27-02-2020,46,0,16,89.0,0.0,0.0,0.0,392.0,0.0,74.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0
Germany,28-02-2020,48,0,16,83.0,0.0,-1.0,0.0,379.0,0.0,53.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0
Germany,29-02-2020,79,0,16,87.0,0.0,4.0,0.0,390.0,0.0,75.0,0.0,11.0,0.0,3.0,0.0,1.0,0.0
Germany,01-03-2020,130,0,16,82.0,0.0,2.0,0.0,404.0,0.0,76.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0
Germany,02-03-2020,159,0,16,85.0,0.0,2.0,0.0,400.0,0.0,89.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
Germany,03-03-2020,196,0,16,82.0,0.0,0.0,0.0,436.0,0.0,80.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Germany,04-03-2020,262,0,16,87.0,0.0,0.0,0.0,435.0,0.0,50.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Germany,05-03-2020,482,0,16,92.0,0.0,1.0,0.0,340.0,0.0,83.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0
Germany,06-03-2020,670,0,17,92.0,0.0,2.0,0.0,383.0,0.0,91.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0
Germany,07-03-2020,799,0,18,83.0,0.0,0.0,0.0,431.0,0.0,54.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Germany,08-03-2020,1040,0,18,81.0,0.0,2.0,0.0,383.0,0.0,21.0,0.0,8.0,0.0,4.0,0.0,2.0,0.0
Germany,09-03-2020,1176,2,18,82.0,0.0,2.0,0.0,412.0,0.0,50.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
Germany,10-03-2020,1457,2,18,92.0,0.0,4.0,0.0,359.0,0.0,97.0,0.0,10.0,0.0,9.0,0.0,2.0,0.0
Germany,11-03-2020,1908,3,25,95.0,0.0,9.0,0.0,315.0,0.0,97.0,0.0,11.0,0.0,8.0,0.0,2.0,0.0
Germany,12-03-2020,2078,3,25,77.0,0.0,4.0,0.0,334.0,0.0,74.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0
Germany,13-03-2020,3675,7,46,73.0,0.0,0.0,0.0,416.0,0.0,35.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Germany,14-03-2020,4585,9,46,83.0,0.0,0.0,0.0,413.0,0.0,43.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
Germany,15-03-2020,5795,11,46,72.0,0.0,1.0,0.0,381.0,0.0,5.0,0.0,12.0,0.0,1.0,0.0,2.0,0.0
Germany,16-03-2020,7272,17,67,76.0,0.0,3.0,0.0,382.0,0.0,2.0,0.0,15.0,0.0,5.0,0.0,2.0,0.0
Germany,17-03-2020,9257,24,67,78.0,0.0,4.0,0.0,369.0,0.0,36.0,0.0,14.0,0.0,2.0,0.0,2.0,0.0
Germany,18-03-2020,12327,28,105,79.0,0.0,4.0,0.0,331.0,0.0,3.0,0.0,15.0,0.0,4.0,0.0,4.0,0.0
Germany,19-03-2020,15320,44,113,77.0,0.0,5.0,0.0,324.0,0.0,6.0,0.0,16.0,0.0,4.0,0.0,4.0,0.0
Germany,20-03-2020,19848,67,180,88.0,0.0,5.0,0.0,330.0,0.0,67.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0
Germany,21-03-2020,22213,84,233,75.0,0.0,-1.0,0.0,369.0,0.0,60.0,0.0,6.0,0.0,-2.0,0.0,2.0,0.0
Germany,22-03-2020,24873,94,266,57.0,0.0,-6.0,0.0,391.0,0.0,3.0,0.0,6.0,0.0,-4.0,0.0,3.0,0.0
Germany,23-03-2020,29056,123,266,48.0,0.0,-9.0,0.0,399.0,0.0,0.0,0.0,7.0,0.0,-4.0,0.0,3.0,0.0
Germany,24-03-2020,32986,157,3243,48.0,0.0,-9.0,0.0,368.0,0.0,0.0,0.0,8.0,0.0,-4.0,0.0,3.0,0.0
