# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Greece,22-01-2020,0,0,0,23.0,0.0,-15.0,0.0,336.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0
Greece,23-01-2020,0,0,0,31.0,0.0,-12.0,0.0,352.0,0.0,2.0,0.0,12.0,0.0,-1.0,0.0,2.0,0.0
Greece,24-01-2020,0,0,0,70.0,0.0,-1.0,0.0,309.0,0.0,3.0,0.0,10.0,0.0,2.0,0.0,3.0,0.0
Greece,25-01-2020,0,0,0,80.0,0.0,2.0,0.0,292.0,0.0,7.0,0.0,11.0,0.0,3.0,0.0,3.0,0.0
Greece,26-01-2020,0,0,0,75.0,0.0,2.0,0.0,265.0,0.0,13.0,0.0,13.0,0.0,6.0,0.0,3.0,0.0
Greece,27-01-2020,0,0,0,87.0,0.0,4.0,0.0,328.0,0.0,90.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0
Greece,28-01-2020,0,0,0,80.0,0.0,2.0,0.0,344.0,0.0,20.0,0.0,10.0,0.0,6.0,0.0,2.0,0.0
Greece,29-01-2020,0,0,0,84.0,0.0,5.0,0.0,358.0,0.0,57.0,0.0,11.0,0.0,4.0,0.0,2.0,0.0
Greece,30-01-2020,0,0,0,73.0,0.0,2.0,0.0,343.0,0.0,50.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0
Greece,31-01-2020,0,0,0,64.0,0.0,-1.0,0.0,300.0,0.0,7.0,0.0,11.0,0.0,3.0,0.0,3.0,0.0
Greece,01-02-2020,0,0,0,74.0,0.0,2.0,0.0,299.0,0.0,8.0,0.0,14.0,0.0,3.0,0.0,3.0,0.0
Greece,02-02-2020,0,0,0,78.0,0.0,3.0,0.0,305.0,0.0,6.0,0.0,12.0,0.0,3.0,0.0,2.0,0.0
Greece,03-02-2020,0,0,0,77.0,0.0,3.0,0.0,315.0,0.0,4.0,0.0,13.0,0.0,4.0,0.0,3.0,0.0
Greece,04-02-2020,0,0,0,77.0,0.0,4.0,0.0,310.0,0.0,19.0,0.0,13.0,0.0,4.0,0.0,3.0,0.0
Greece,05-02-2020,0,0,0,78.0,0.0,0.0,0.0,383.0,0.0,90.0,0.0,5.0,0.0,-1.0,0.0,2.0,0.0
