# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Grenada,22-01-2020,0,0,0,96.0,0.0,24.0,0.0,244.0,0.0,27.0,0.0,26.0,0.0,23.0,0.0,8.0,0.0
Grenada,23-01-2020,0,0,0,94.0,0.0,23.0,0.0,244.0,0.0,13.0,0.0,26.0,0.0,23.0,0.0,9.0,0.0
Grenada,24-01-2020,0,0,0,98.0,0.0,24.0,0.0,245.0,0.0,33.0,0.0,26.0,0.0,23.0,0.0,8.0,0.0
Grenada,25-01-2020,0,0,0,97.0,0.0,24.0,0.0,243.0,0.0,51.0,0.0,26.0,0.0,23.0,0.0,8.0,0.0
Grenada,26-01-2020,0,0,0,99.0,0.0,24.0,0.0,248.0,0.0,76.0,0.0,25.0,0.0,23.0,0.0,6.0,0.0
Grenada,27-01-2020,0,0,0,96.0,0.0,24.0,0.0,251.0,0.0,30.0,0.0,26.0,0.0,23.0,0.0,8.0,0.0
Grenada,28-01-2020,0,0,0,92.0,0.0,23.0,0.0,250.0,0.0,14.0,0.0,26.0,0.0,23.0,0.0,7.0,0.0
Grenada,29-01-2020,0,0,0,97.0,0.0,24.0,0.0,246.0,0.0,17.0,0.0,26.0,0.0,23.0,0.0,10.0,0.0
Grenada,30-01-2020,0,0,0,99.0,0.0,24.0,0.0,243.0,0.0,65.0,0.0,26.0,0.0,23.0,0.0,9.0,0.0
Grenada,31-01-2020,0,0,0,97.0,0.0,24.0,0.0,246.0,0.0,37.0,0.0,26.0,0.0,23.0,0.0,11.0,0.0
Grenada,01-02-2020,0,0,0,97.0,0.0,25.0,0.0,246.0,0.0,27.0,0.0,26.0,0.0,24.0,0.0,10.0,0.0
Grenada,02-02-2020,0,0,0,97.0,0.0,24.0,0.0,246.0,0.0,33.0,0.0,26.0,0.0,23.0,0.0,9.0,0.0
Grenada,03-02-2020,0,0,0,94.0,0.0,24.0,0.0,242.0,0.0,31.0,0.0,26.0,0.0,23.0,0.0,9.0,0.0
Grenada,04-02-2020,0,0,0,92.0,0.0,23.0,0.0,243.0,0.0,17.0,0.0,26.0,0.0,23.0,0.0,7.0,0.0
Grenada,05-02-2020,0,0,0,89.0,0.0,22.0,0.0,245.0,0.0,14.0,0.0,26.0,0.0,23.0,0.0,10.0,0.0
