# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Guyana,22-01-2020,0,0,0,89.0,0.0,22.0,0.0,237.0,0.0,55.0,0.0,29.0,0.0,20.0,0.0,8.0,0.0
Guyana,23-01-2020,0,0,0,86.0,0.0,21.0,0.0,235.0,0.0,13.0,0.0,28.0,0.0,20.0,0.0,8.0,0.0
Guyana,24-01-2020,0,0,0,80.0,0.0,20.0,0.0,242.0,0.0,3.0,0.0,30.0,0.0,19.0,0.0,8.0,0.0
Guyana,25-01-2020,0,0,0,79.0,0.0,20.0,0.0,245.0,0.0,9.0,0.0,31.0,0.0,20.0,0.0,8.0,0.0
Guyana,26-01-2020,0,0,0,87.0,0.0,21.0,0.0,244.0,0.0,12.0,0.0,29.0,0.0,22.0,0.0,6.0,0.0
Guyana,27-01-2020,0,0,0,85.0,0.0,22.0,0.0,240.0,0.0,42.0,0.0,30.0,0.0,21.0,0.0,6.0,0.0
Guyana,28-01-2020,0,0,0,93.0,0.0,23.0,0.0,239.0,0.0,74.0,0.0,28.0,0.0,20.0,0.0,6.0,0.0
Guyana,29-01-2020,0,0,0,87.0,0.0,22.0,0.0,240.0,0.0,31.0,0.0,30.0,0.0,21.0,0.0,8.0,0.0
Guyana,30-01-2020,0,0,0,91.0,0.0,23.0,0.0,241.0,0.0,56.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
Guyana,31-01-2020,0,0,0,88.0,0.0,22.0,0.0,243.0,0.0,47.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
Guyana,01-02-2020,0,0,0,97.0,0.0,23.0,0.0,245.0,0.0,77.0,0.0,27.0,0.0,21.0,0.0,6.0,0.0
Guyana,02-02-2020,0,0,0,83.0,0.0,21.0,0.0,245.0,0.0,47.0,0.0,30.0,0.0,20.0,0.0,8.0,0.0
Guyana,03-02-2020,0,0,0,77.0,0.0,20.0,0.0,247.0,0.0,5.0,0.0,31.0,0.0,21.0,0.0,9.0,0.0
Guyana,04-02-2020,0,0,0,77.0,0.0,20.0,0.0,251.0,0.0,7.0,0.0,30.0,0.0,20.0,0.0,7.0,0.0
Guyana,05-02-2020,0,0,0,81.0,0.0,20.0,0.0,250.0,0.0,17.0,0.0,30.0,0.0,20.0,0.0,9.0,0.0
Guyana,06-02-2020,0,0,0,78.0,0.0,20.0,0.0,249.0,0.0,16.0,0.0,30.0,0.0,21.0,0.0,12.0,0.0
Guyana,07-02-2020,0,0,0,79.0,0.0,20.0,0.0,252.0,0.0,31.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Guyana,08-02-2020,0,0,0,78.0,0.0,20.0,0.0,252.0,0.0,14.0,0.0,30.0,0.0,19.0,0.0,10.0,0.0
Guyana,09-02-2020,0,0,0,71.0,0.0,18.0,0.0,252.0,0.0,6.0,0.0,31.0,0.0,19.0,0.0,13.0,0.0
Guyana,10-02-2020,0,0,0,88.0,0.0,20.0,0.0,248.0,0.0,33.0,0.0,29.0,0.0,19.0,0.0,9.0,0.0
Guyana,11-02-2020,0,0,0,78.0,0.0,20.0,0.0,251.0,0.0,11.0,0.0,30.0,0.0,20.0,0.0,12.0,0.0
Guyana,12-02-2020,0,0,0,89.0,0.0,22.0,0.0,251.0,0.0,89.0,0.0,30.0,0.0,21.0,0.0,12.0,0.0
Guyana,13-02-2020,0,0,0,87.0,0.0,21.0,0.0,249.0,0.0,71.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Guyana,14-02-2020,0,0,0,86.0,0.0,21.0,0.0,249.0,0.0,40.0,0.0,27.0,0.0,20.0,0.0,8.0,0.0
Guyana,15-02-2020,0,0,0,78.0,0.0,20.0,0.0,250.0,0.0,24.0,0.0,30.0,0.0,19.0,0.0,6.0,0.0
Guyana,16-02-2020,0,0,0,78.0,0.0,20.0,0.0,251.0,0.0,6.0,0.0,31.0,0.0,20.0,0.0,9.0,0.0
Guyana,17-02-2020,0,0,0,80.0,0.0,21.0,0.0,250.0,0.0,36.0,0.0,31.0,0.0,22.0,0.0,9.0,0.0
Guyana,18-02-2020,0,0,0,81.0,0.0,22.0,0.0,249.0,0.0,33.0,0.0,32.0,0.0,22.0,0.0,10.0,0.0
Guyana,19-02-2020,0,0,0,79.0,0.0,21.0,0.0,249.0,0.0,16.0,0.0,31.0,0.0,21.0,0.0,8.0,0.0
Guyana,20-02-2020,0,0,0,77.0,0.0,20.0,0.0,250.0,0.0,25.0,0.0,30.0,0.0,21.0,0.0,11.0,0.0
Guyana,21-02-2020,0,0,0,75.0,0.0,19.0,0.0,253.0,0.0,8.0,0.0,30.0,0.0,20.0,0.0,8.0,0.0
Guyana,22-02-2020,0,0,0,79.0,0.0,21.0,0.0,255.0,0.0,7.0,0.0,31.0,0.0,21.0,0.0,9.0,0.0
