# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Holy See,22-01-2020,0,0,0,72.0,0.0,3.0,0.0,341.0,0.0,3.0,0.0,16.0,0.0,3.0,0.0,2.0,0.0
Holy See,23-01-2020,0,0,0,75.0,0.0,3.0,0.0,342.0,0.0,5.0,0.0,16.0,0.0,3.0,0.0,2.0,0.0
Holy See,24-01-2020,0,0,0,76.0,0.0,5.0,0.0,322.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0,2.0,0.0
Holy See,25-01-2020,0,0,0,84.0,0.0,9.0,0.0,295.0,0.0,82.0,0.0,16.0,0.0,7.0,0.0,2.0,0.0
Holy See,26-01-2020,0,0,0,82.0,0.0,7.0,0.0,327.0,0.0,35.0,0.0,15.0,0.0,4.0,0.0,2.0,0.0
Holy See,27-01-2020,0,0,0,81.0,0.0,5.0,0.0,328.0,0.0,16.0,0.0,16.0,0.0,8.0,0.0,2.0,0.0
Holy See,28-01-2020,0,0,0,83.0,0.0,9.0,0.0,349.0,0.0,56.0,0.0,14.0,0.0,7.0,0.0,2.0,0.0
Holy See,29-01-2020,0,0,0,78.0,0.0,7.0,0.0,363.0,0.0,19.0,0.0,17.0,0.0,4.0,0.0,2.0,0.0
Holy See,30-01-2020,0,0,0,75.0,0.0,5.0,0.0,314.0,0.0,8.0,0.0,17.0,0.0,9.0,0.0,2.0,0.0
Holy See,31-01-2020,0,0,0,78.0,0.0,8.0,0.0,304.0,0.0,12.0,0.0,15.0,0.0,8.0,0.0,2.0,0.0
Holy See,01-02-2020,0,0,0,86.0,0.0,9.0,0.0,299.0,0.0,18.0,0.0,15.0,0.0,10.0,0.0,2.0,0.0
Holy See,02-02-2020,0,0,0,86.0,0.0,10.0,0.0,307.0,0.0,28.0,0.0,17.0,0.0,8.0,0.0,2.0,0.0
Holy See,03-02-2020,0,0,0,84.0,0.0,10.0,0.0,301.0,0.0,7.0,0.0,19.0,0.0,8.0,0.0,2.0,0.0
Holy See,04-02-2020,0,0,0,73.0,0.0,7.0,0.0,329.0,0.0,19.0,0.0,18.0,0.0,5.0,0.0,2.0,0.0
Holy See,05-02-2020,0,0,0,38.0,0.0,-5.0,0.0,390.0,0.0,17.0,0.0,13.0,0.0,5.0,0.0,2.0,0.0
Holy See,06-02-2020,0,0,0,28.0,0.0,-9.0,0.0,369.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0
Holy See,07-02-2020,0,0,0,40.0,0.0,-7.0,0.0,348.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0
Holy See,08-02-2020,0,0,0,50.0,0.0,-3.0,0.0,329.0,0.0,2.0,0.0,16.0,0.0,3.0,0.0,3.0,0.0
