# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Iran,22-01-2020,0,0,0,55.0,0.0,-3.0,0.0,317.0,0.0,26.0,0.0,12.0,0.0,4.0,0.0,4.0,0.0
Iran,23-01-2020,0,0,0,46.0,0.0,-8.0,0.0,318.0,0.0,36.0,0.0,14.0,0.0,-2.0,0.0,4.0,0.0
Iran,24-01-2020,0,0,0,21.0,0.0,-17.0,0.0,312.0,0.0,1.0,0.0,10.0,0.0,-2.0,0.0,4.0,0.0
Iran,25-01-2020,0,0,0,31.0,0.0,-13.0,0.0,313.0,0.0,2.0,0.0,8.0,0.0,-1.0,0.0,4.0,0.0
Iran,26-01-2020,0,0,0,49.0,0.0,-7.0,0.0,312.0,0.0,9.0,0.0,8.0,0.0,-3.0,0.0,4.0,0.0
Iran,27-01-2020,0,0,0,45.0,0.0,-9.0,0.0,300.0,0.0,4.0,0.0,10.0,0.0,-4.0,0.0,5.0,0.0
Iran,28-01-2020,0,0,0,40.0,0.0,-11.0,0.0,297.0,0.0,0.0,0.0,10.0,0.0,-3.0,0.0,5.0,0.0
Iran,29-01-2020,0,0,0,31.0,0.0,-12.0,0.0,300.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Iran,30-01-2020,0,0,0,32.0,0.0,-10.0,0.0,333.0,0.0,2.0,0.0,11.0,0.0,-3.0,0.0,4.0,0.0
Iran,31-01-2020,0,0,0,35.0,0.0,-11.0,0.0,332.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0
Iran,01-02-2020,0,0,0,31.0,0.0,-10.0,0.0,338.0,0.0,2.0,0.0,15.0,0.0,2.0,0.0,4.0,0.0
Iran,02-02-2020,0,0,0,28.0,0.0,-13.0,0.0,344.0,0.0,3.0,0.0,11.0,0.0,-4.0,0.0,4.0,0.0
Iran,03-02-2020,0,0,0,30.0,0.0,-15.0,0.0,320.0,0.0,2.0,0.0,9.0,0.0,-3.0,0.0,5.0,0.0
Iran,04-02-2020,0,0,0,19.0,0.0,-19.0,0.0,295.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0
Iran,05-02-2020,0,0,0,21.0,0.0,-15.0,0.0,308.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0
Iran,06-02-2020,0,0,0,27.0,0.0,-12.0,0.0,286.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0
Iran,07-02-2020,0,0,0,28.0,0.0,-11.0,0.0,278.0,0.0,1.0,0.0,18.0,0.0,7.0,0.0,5.0,0.0
