# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Iraq,22-01-2020,0,0,0,86.0,0.0,7.0,0.0,387.0,0.0,99.0,0.0,11.0,0.0,7.0,0.0,2.0,0.0
Iraq,23-01-2020,0,0,0,73.0,0.0,5.0,0.0,369.0,0.0,50.0,0.0,13.0,0.0,6.0,0.0,3.0,0.0
Iraq,24-01-2020,0,0,0,67.0,0.0,4.0,0.0,356.0,0.0,85.0,0.0,15.0,0.0,6.0,0.0,2.0,0.0
Iraq,25-01-2020,0,0,0,73.0,0.0,4.0,0.0,361.0,0.0,67.0,0.0,12.0,0.0,6.0,0.0,3.0,0.0
Iraq,26-01-2020,0,0,0,64.0,0.0,2.0,0.0,302.0,0.0,5.0,0.0,14.0,0.0,4.0,0.0,4.0,0.0
Iraq,27-01-2020,0,0,0,69.0,0.0,4.0,0.0,292.0,0.0,4.0,0.0,16.0,0.0,5.0,0.0,4.0,0.0
Iraq,28-01-2020,0,0,0,66.0,0.0,4.0,0.0,299.0,0.0,2.0,0.0,17.0,0.0,8.0,0.0,3.0,0.0
Iraq,29-01-2020,0,0,0,56.0,0.0,4.0,0.0,342.0,0.0,11.0,0.0,18.0,0.0,6.0,0.0,2.0,0.0
Iraq,30-01-2020,0,0,0,60.0,0.0,4.0,0.0,363.0,0.0,5.0,0.0,19.0,0.0,7.0,0.0,3.0,0.0
Iraq,31-01-2020,0,0,0,55.0,0.0,3.0,0.0,361.0,0.0,5.0,0.0,21.0,0.0,9.0,0.0,3.0,0.0
Iraq,01-02-2020,0,0,0,38.0,0.0,-2.0,0.0,362.0,0.0,8.0,0.0,15.0,0.0,6.0,0.0,4.0,0.0
Iraq,02-02-2020,0,0,0,56.0,0.0,1.0,0.0,335.0,0.0,4.0,0.0,15.0,0.0,4.0,0.0,4.0,0.0
Iraq,03-02-2020,0,0,0,56.0,0.0,0.0,0.0,308.0,0.0,3.0,0.0,16.0,0.0,5.0,0.0,4.0,0.0
Iraq,04-02-2020,0,0,0,52.0,0.0,0.0,0.0,319.0,0.0,6.0,0.0,18.0,0.0,6.0,0.0,4.0,0.0
Iraq,05-02-2020,0,0,0,45.0,0.0,0.0,0.0,306.0,0.0,2.0,0.0,21.0,0.0,8.0,0.0,4.0,0.0
Iraq,06-02-2020,0,0,0,41.0,0.0,1.0,0.0,291.0,0.0,3.0,0.0,25.0,0.0,10.0,0.0,5.0,0.0
Iraq,07-02-2020,0,0,0,45.0,0.0,4.0,0.0,284.0,0.0,3.0,0.0,24.0,0.0,10.0,0.0,5.0,0.0
Iraq,08-02-2020,0,0,0,48.0,0.0,3.0,0.0,301.0,0.0,2.0,0.0,19.0,0.0,8.0,0.0,4.0,0.0
Iraq,09-02-2020,0,0,0,44.0,0.0,-1.0,0.0,319.0,0.0,11.0,0.0,13.0,0.0,2.0,0.0,4.0,0.0
Iraq,10-02-2020,0,0,0,22.0,0.0,-16.0,0.0,347.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0
Iraq,11-02-2020,0,0,0,36.0,0.0,-10.0,0.0,374.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0
Iraq,12-02-2020,0,0,0,34.0,0.0,-10.0,0.0,342.0,0.0,5.0,0.0,11.0,0.0,4.0,0.0,4.0,0.0
Iraq,13-02-2020,0,0,0,24.0,0.0,-9.0,0.0,328.0,0.0,9.0,0.0,19.0,0.0,5.0,0.0,5.0,0.0
Iraq,14-02-2020,0,0,0,39.0,0.0,-2.0,0.0,330.0,0.0,3.0,0.0,18.0,0.0,7.0,0.0,5.0,0.0
Iraq,15-02-2020,0,0,0,28.0,0.0,-6.0,0.0,316.0,0.0,4.0,0.0,19.0,0.0,6.0,0.0,3.0,0.0
Iraq,16-02-2020,0,0,0,39.0,0.0,-1.0,0.0,318.0,0.0,24.0,0.0,20.0,0.0,10.0,0.0,3.0,0.0
Iraq,17-02-2020,0,0,0,67.0,0.0,8.0,0.0,322.0,0.0,50.0,0.0,20.0,0.0,8.0,0.0,5.0,0.0
Iraq,18-02-2020,0,0,0,67.0,0.0,9.0,0.0,306.0,0.0,17.0,0.0,23.0,0.0,12.0,0.0,5.0,0.0
Iraq,19-02-2020,0,0,0,63.0,0.0,10.0,0.0,309.0,0.0,17.0,0.0,23.0,0.0,11.0,0.0,3.0,0.0
Iraq,20-02-2020,0,0,0,69.0,0.0,9.0,0.0,321.0,0.0,67.0,0.0,19.0,0.0,9.0,0.0,4.0,0.0
Iraq,21-02-2020,0,0,0,61.0,0.0,7.0,0.0,308.0,0.0,5.0,0.0,21.0,0.0,11.0,0.0,6.0,0.0
Iraq,22-02-2020,0,0,0,45.0,0.0,4.0,0.0,326.0,0.0,6.0,0.0,25.0,0.0,11.0,0.0,5.0,0.0
Iraq,23-02-2020,0,0,0,56.0,0.0,7.0,0.0,315.0,0.0,5.0,0.0,23.0,0.0,13.0,0.0,6.0,0.0
Iraq,24-02-2020,0,0,0,53.0,0.0,8.0,0.0,293.0,0.0,4.0,0.0,25.0,0.0,16.0,0.0,4.0,0.0
Iraq,25-02-2020,0,0,0,93.0,0.0,15.0,0.0,306.0,0.0,96.0,0.0,19.0,0.0,10.0,0.0,4.0,0.0
Iraq,26-02-2020,0,0,0,67.0,0.0,7.0,0.0,324.0,0.0,83.0,0.0,15.0,0.0,6.0,0.0,6.0,0.0
Iraq,27-02-2020,0,0,0,60.0,0.0,5.0,0.0,291.0,0.0,2.0,0.0,21.0,0.0,9.0,0.0,6.0,0.0
Iraq,28-02-2020,0,0,0,56.0,0.0,6.0,0.0,289.0,0.0,1.0,0.0,22.0,0.0,9.0,0.0,4.0,0.0
Iraq,29-02-2020,0,0,0,52.0,0.0,5.0,0.0,306.0,0.0,2.0,0.0,25.0,0.0,11.0,0.0,6.0,0.0
Iraq,01-03-2020,0,0,0,50.0,0.0,4.0,0.0,307.0,0.0,5.0,0.0,19.0,0.0,10.0,0.0,6.0,0.0
Iraq,02-03-2020,0,0,0,51.0,0.0,4.0,0.0,311.0,0.0,3.0,0.0,20.0,0.0,9.0,0.0,6.0,0.0
Iraq,03-03-2020,0,0,0,48.0,0.0,3.0,0.0,305.0,0.0,3.0,0.0,22.0,0.0,9.0,0.0,6.0,0.0
Iraq,04-03-2020,0,0,0,47.0,0.0,3.0,0.0,298.0,0.0,1.0,0.0,23.0,0.0,9.0,0.0,7.0,0.0
Iraq,05-03-2020,0,0,0,42.0,0.0,2.0,0.0,289.0,0.0,1.0,0.0,25.0,0.0,10.0,0.0,7.0,0.0
Iraq,06-03-2020,0,0,0,32.0,0.0,0.0,0.0,299.0,0.0,3.0,0.0,27.0,0.0,16.0,0.0,7.0,0.0
Iraq,07-03-2020,0,0,0,46.0,0.0,7.0,0.0,355.0,0.0,4.0,0.0,22.0,0.0,11.0,0.0,5.0,0.0
Iraq,08-03-2020,0,0,0,50.0,0.0,6.0,0.0,311.0,0.0,3.0,0.0,26.0,0.0,14.0,0.0,7.0,0.0
Iraq,09-03-2020,0,0,0,38.0,0.0,4.0,0.0,309.0,0.0,1.0,0.0,28.0,0.0,13.0,0.0,7.0,0.0
Iraq,10-03-2020,0,0,0,32.0,0.0,1.0,0.0,317.0,0.0,0.0,0.0,28.0,0.0,15.0,0.0,7.0,0.0
Iraq,11-03-2020,0,0,0,25.0,0.0,0.0,0.0,307.0,0.0,4.0,0.0,29.0,0.0,16.0,0.0,4.0,0.0
