# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Ireland,22-01-2020,0,0,0,95.0,0.0,6.0,0.0,329.0,0.0,52.0,0.0,9.0,0.0,4.0,0.0,1.0,0.0
Ireland,23-01-2020,0,0,0,94.0,0.0,4.0,0.0,286.0,0.0,33.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0
Ireland,24-01-2020,0,0,0,91.0,0.0,4.0,0.0,277.0,0.0,25.0,0.0,8.0,0.0,4.0,0.0,1.0,0.0
Ireland,25-01-2020,0,0,0,86.0,0.0,4.0,0.0,267.0,0.0,40.0,0.0,9.0,0.0,6.0,0.0,1.0,0.0
Ireland,26-01-2020,0,0,0,83.0,0.0,3.0,0.0,326.0,0.0,90.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
Ireland,27-01-2020,0,0,0,85.0,0.0,0.0,0.0,423.0,0.0,72.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Ireland,28-01-2020,0,0,0,83.0,0.0,0.0,0.0,429.0,0.0,81.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
Ireland,29-01-2020,0,0,0,87.0,0.0,3.0,0.0,335.0,0.0,36.0,0.0,9.0,0.0,5.0,0.0,1.0,0.0
Ireland,30-01-2020,0,0,0,89.0,0.0,6.0,0.0,303.0,0.0,43.0,0.0,11.0,0.0,7.0,0.0,1.0,0.0
Ireland,31-01-2020,0,0,0,87.0,0.0,8.0,0.0,314.0,0.0,64.0,0.0,12.0,0.0,6.0,0.0,1.0,0.0
Ireland,01-02-2020,0,0,0,81.0,0.0,4.0,0.0,350.0,0.0,56.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0
Ireland,02-02-2020,0,0,0,85.0,0.0,5.0,0.0,348.0,0.0,90.0,0.0,11.0,0.0,4.0,0.0,1.0,0.0
Ireland,03-02-2020,0,0,0,75.0,0.0,1.0,0.0,379.0,0.0,47.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0
Ireland,04-02-2020,0,0,0,78.0,0.0,1.0,0.0,330.0,0.0,34.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0
Ireland,05-02-2020,0,0,0,85.0,0.0,1.0,0.0,326.0,0.0,13.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0
Ireland,06-02-2020,0,0,0,86.0,0.0,2.0,0.0,313.0,0.0,16.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0
Ireland,07-02-2020,0,0,0,85.0,0.0,4.0,0.0,318.0,0.0,78.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0
Ireland,08-02-2020,0,0,0,84.0,0.0,3.0,0.0,352.0,0.0,94.0,0.0,9.0,0.0,8.0,0.0,1.0,0.0
Ireland,09-02-2020,0,0,0,87.0,0.0,7.0,0.0,307.0,0.0,99.0,0.0,11.0,0.0,3.0,0.0,1.0,0.0
Ireland,10-02-2020,0,0,0,80.0,0.0,0.0,0.0,342.0,0.0,87.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Ireland,11-02-2020,0,0,0,75.0,0.0,0.0,0.0,392.0,0.0,74.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Ireland,12-02-2020,0,0,0,82.0,0.0,1.0,0.0,382.0,0.0,83.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0
Ireland,13-02-2020,0,0,0,88.0,0.0,2.0,0.0,378.0,0.0,83.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0
Ireland,14-02-2020,0,0,0,81.0,0.0,4.0,0.0,355.0,0.0,88.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0
Ireland,15-02-2020,0,0,0,87.0,0.0,6.0,0.0,376.0,0.0,94.0,0.0,11.0,0.0,3.0,0.0,1.0,0.0
Ireland,16-02-2020,0,0,0,76.0,0.0,1.0,0.0,435.0,0.0,90.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0
Ireland,17-02-2020,0,0,0,79.0,0.0,1.0,0.0,407.0,0.0,78.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0
Ireland,18-02-2020,0,0,0,82.0,0.0,1.0,0.0,373.0,0.0,88.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
Ireland,19-02-2020,0,0,0,91.0,0.0,5.0,0.0,322.0,0.0,98.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0
Ireland,20-02-2020,0,0,0,80.0,0.0,2.0,0.0,378.0,0.0,97.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0
Ireland,21-02-2020,0,0,0,88.0,0.0,6.0,0.0,338.0,0.0,96.0,0.0,10.0,0.0,5.0,0.0,1.0,0.0
Ireland,22-02-2020,0,0,0,82.0,0.0,3.0,0.0,355.0,0.0,88.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0
Ireland,23-02-2020,0,0,0,84.0,0.0,3.0,0.0,352.0,0.0,98.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0
Ireland,24-02-2020,0,0,0,87.0,0.0,5.0,0.0,363.0,0.0,95.0,0.0,11.0,0.0,2.0,0.0,1.0,0.0
Ireland,25-02-2020,0,0,0,82.0,0.0,0.0,0.0,415.0,0.0,86.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Ireland,26-02-2020,0,0,0,77.0,0.0,0.0,0.0,383.0,0.0,56.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
Ireland,27-02-2020,0,0,0,80.0,0.0,0.0,0.0,365.0,0.0,39.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0
Ireland,28-02-2020,0,0,0,92.0,0.0,6.0,0.0,379.0,0.0,94.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0
Ireland,29-02-2020,0,0,0,82.0,0.0,0.0,0.0,478.0,0.0,91.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0
Ireland,01-03-2020,0,0,0,78.0,0.0,0.0,0.0,418.0,0.0,72.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Ireland,02-03-2020,0,0,0,79.0,0.0,0.0,0.0,442.0,0.0,52.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
Ireland,03-03-2020,0,0,0,78.0,0.0,0.0,0.0,417.0,0.0,48.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Ireland,04-03-2020,0,0,0,79.0,0.0,0.0,0.0,357.0,0.0,28.0,0.0,8.0,0.0,-2.0,0.0,2.0,0.0
Ireland,05-03-2020,0,0,0,83.0,0.0,0.0,0.0,394.0,0.0,67.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Ireland,06-03-2020,0,0,0,81.0,0.0,1.0,0.0,438.0,0.0,59.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0
Ireland,07-03-2020,0,0,0,89.0,0.0,7.0,0.0,368.0,0.0,78.0,0.0,11.0,0.0,5.0,0.0,2.0,0.0
Ireland,08-03-2020,0,0,0,83.0,0.0,3.0,0.0,420.0,0.0,86.0,0.0,8.0,0.0,4.0,0.0,2.0,0.0
Ireland,09-03-2020,0,0,0,91.0,0.0,6.0,0.0,359.0,0.0,99.0,0.0,11.0,0.0,9.0,0.0,2.0,0.0
Ireland,10-03-2020,0,0,0,85.0,0.0,6.0,0.0,318.0,0.0,92.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0
Ireland,11-03-2020,0,0,0,84.0,0.0,3.0,0.0,358.0,0.0,94.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0
