# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Israel,22-01-2020,0,0,0,84.0,0.0,4.0,0.0,367.0,0.0,49.0,0.0,10.0,0.0,4.0,0.0,3.0,0.0
Israel,23-01-2020,0,0,0,78.0,0.0,3.0,0.0,337.0,0.0,20.0,0.0,11.0,0.0,6.0,0.0,3.0,0.0
Israel,24-01-2020,0,0,0,75.0,0.0,3.0,0.0,331.0,0.0,56.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0
Israel,25-01-2020,0,0,0,62.0,0.0,0.0,0.0,307.0,0.0,4.0,0.0,12.0,0.0,3.0,0.0,4.0,0.0
Israel,26-01-2020,0,0,0,71.0,0.0,2.0,0.0,287.0,0.0,2.0,0.0,13.0,0.0,3.0,0.0,5.0,0.0
Israel,27-01-2020,0,0,0,65.0,0.0,1.0,0.0,279.0,0.0,2.0,0.0,15.0,0.0,7.0,0.0,4.0,0.0
Israel,28-01-2020,0,0,0,66.0,0.0,3.0,0.0,297.0,0.0,4.0,0.0,15.0,0.0,6.0,0.0,3.0,0.0
Israel,29-01-2020,0,0,0,85.0,0.0,6.0,0.0,317.0,0.0,13.0,0.0,13.0,0.0,5.0,0.0,4.0,0.0
Israel,30-01-2020,0,0,0,77.0,0.0,5.0,0.0,349.0,0.0,5.0,0.0,15.0,0.0,6.0,0.0,4.0,0.0
Israel,31-01-2020,0,0,0,71.0,0.0,4.0,0.0,348.0,0.0,10.0,0.0,13.0,0.0,5.0,0.0,3.0,0.0
Israel,01-02-2020,0,0,0,76.0,0.0,4.0,0.0,344.0,0.0,5.0,0.0,13.0,0.0,6.0,0.0,4.0,0.0
Israel,02-02-2020,0,0,0,80.0,0.0,6.0,0.0,317.0,0.0,13.0,0.0,14.0,0.0,6.0,0.0,4.0,0.0
Israel,03-02-2020,0,0,0,81.0,0.0,7.0,0.0,295.0,0.0,6.0,0.0,16.0,0.0,6.0,0.0,5.0,0.0
Israel,04-02-2020,0,0,0,84.0,0.0,7.0,0.0,315.0,0.0,5.0,0.0,15.0,0.0,6.0,0.0,4.0,0.0
Israel,05-02-2020,0,0,0,77.0,0.0,7.0,0.0,301.0,0.0,5.0,0.0,17.0,0.0,8.0,0.0,5.0,0.0
Israel,06-02-2020,0,0,0,55.0,0.0,3.0,0.0,290.0,0.0,3.0,0.0,19.0,0.0,8.0,0.0,5.0,0.0
Israel,07-02-2020,0,0,0,75.0,0.0,4.0,0.0,290.0,0.0,42.0,0.0,10.0,0.0,6.0,0.0,5.0,0.0
Israel,08-02-2020,0,0,0,68.0,0.0,2.0,0.0,303.0,0.0,26.0,0.0,11.0,0.0,5.0,0.0,4.0,0.0
Israel,09-02-2020,0,0,0,80.0,0.0,3.0,0.0,317.0,0.0,60.0,0.0,9.0,0.0,2.0,0.0,3.0,0.0
Israel,10-02-2020,0,0,0,77.0,0.0,1.0,0.0,337.0,0.0,25.0,0.0,8.0,0.0,3.0,0.0,3.0,0.0
Israel,11-02-2020,0,0,0,73.0,0.0,2.0,0.0,334.0,0.0,14.0,0.0,12.0,0.0,6.0,0.0,5.0,0.0
Israel,12-02-2020,0,0,0,67.0,0.0,4.0,0.0,317.0,0.0,4.0,0.0,17.0,0.0,7.0,0.0,5.0,0.0
Israel,13-02-2020,0,0,0,66.0,0.0,5.0,0.0,322.0,0.0,5.0,0.0,19.0,0.0,8.0,0.0,5.0,0.0
