# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Italy,22-01-2020,0,0,0,77.0,0.0,1.0,0.0,352.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0
Italy,23-01-2020,0,0,0,77.0,0.0,1.0,0.0,347.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0
Italy,24-01-2020,0,0,0,78.0,0.0,2.0,0.0,329.0,0.0,46.0,0.0,13.0,0.0,6.0,0.0,2.0,0.0
Italy,25-01-2020,0,0,0,87.0,0.0,7.0,0.0,305.0,0.0,78.0,0.0,14.0,0.0,5.0,0.0,2.0,0.0
Italy,26-01-2020,0,0,0,87.0,0.0,6.0,0.0,332.0,0.0,33.0,0.0,13.0,0.0,2.0,0.0,1.0,0.0
Italy,27-01-2020,0,0,0,83.0,0.0,4.0,0.0,324.0,0.0,30.0,0.0,13.0,0.0,5.0,0.0,2.0,0.0
Italy,28-01-2020,0,0,0,78.0,0.0,7.0,0.0,351.0,0.0,28.0,0.0,16.0,0.0,7.0,0.0,1.0,0.0
Italy,29-01-2020,0,0,0,70.0,0.0,4.0,0.0,364.0,0.0,19.0,0.0,15.0,0.0,2.0,0.0,1.0,0.0
Italy,30-01-2020,0,0,0,78.0,0.0,3.0,0.0,310.0,0.0,10.0,0.0,16.0,0.0,6.0,0.0,2.0,0.0
Italy,31-01-2020,2,0,0,88.0,0.0,8.0,0.0,302.0,0.0,21.0,0.0,13.0,0.0,8.0,0.0,2.0,0.0
Italy,01-02-2020,2,0,0,87.0,0.0,8.0,0.0,295.0,0.0,27.0,0.0,16.0,0.0,9.0,0.0,2.0,0.0
Italy,02-02-2020,2,0,0,85.0,0.0,9.0,0.0,307.0,0.0,6.0,0.0,17.0,0.0,8.0,0.0,2.0,0.0
Italy,03-02-2020,2,0,0,83.0,0.0,9.0,0.0,300.0,0.0,11.0,0.0,18.0,0.0,6.0,0.0,2.0,0.0
