# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Jamaica,22-01-2020,0,0,0,81.0,0.0,20.0,0.0,241.0,0.0,59.0,0.0,30.0,0.0,19.0,0.0,6.0,0.0
Jamaica,23-01-2020,0,0,0,87.0,0.0,19.0,0.0,243.0,0.0,47.0,0.0,25.0,0.0,15.0,0.0,6.0,0.0
Jamaica,24-01-2020,0,0,0,76.0,0.0,16.0,0.0,245.0,0.0,10.0,0.0,26.0,0.0,16.0,0.0,8.0,0.0
Jamaica,25-01-2020,0,0,0,77.0,0.0,17.0,0.0,242.0,0.0,21.0,0.0,28.0,0.0,17.0,0.0,7.0,0.0
Jamaica,26-01-2020,0,0,0,82.0,0.0,19.0,0.0,240.0,0.0,54.0,0.0,27.0,0.0,16.0,0.0,7.0,0.0
Jamaica,27-01-2020,0,0,0,77.0,0.0,18.0,0.0,241.0,0.0,34.0,0.0,29.0,0.0,17.0,0.0,8.0,0.0
Jamaica,28-01-2020,0,0,0,80.0,0.0,18.0,0.0,244.0,0.0,38.0,0.0,27.0,0.0,16.0,0.0,7.0,0.0
Jamaica,29-01-2020,0,0,0,81.0,0.0,18.0,0.0,248.0,0.0,30.0,0.0,28.0,0.0,17.0,0.0,7.0,0.0
Jamaica,30-01-2020,0,0,0,81.0,0.0,19.0,0.0,247.0,0.0,26.0,0.0,28.0,0.0,16.0,0.0,7.0,0.0
Jamaica,31-01-2020,0,0,0,77.0,0.0,18.0,0.0,252.0,0.0,20.0,0.0,29.0,0.0,16.0,0.0,9.0,0.0
Jamaica,01-02-2020,0,0,0,78.0,0.0,18.0,0.0,246.0,0.0,10.0,0.0,30.0,0.0,17.0,0.0,9.0,0.0
Jamaica,02-02-2020,0,0,0,81.0,0.0,20.0,0.0,247.0,0.0,23.0,0.0,30.0,0.0,21.0,0.0,9.0,0.0
Jamaica,03-02-2020,0,0,0,82.0,0.0,20.0,0.0,250.0,0.0,52.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Jamaica,04-02-2020,0,0,0,88.0,0.0,21.0,0.0,246.0,0.0,62.0,0.0,28.0,0.0,20.0,0.0,5.0,0.0
Jamaica,05-02-2020,0,0,0,87.0,0.0,21.0,0.0,248.0,0.0,64.0,0.0,29.0,0.0,19.0,0.0,7.0,0.0
Jamaica,06-02-2020,0,0,0,83.0,0.0,20.0,0.0,252.0,0.0,37.0,0.0,28.0,0.0,20.0,0.0,8.0,0.0
Jamaica,07-02-2020,0,0,0,79.0,0.0,20.0,0.0,259.0,0.0,16.0,0.0,29.0,0.0,22.0,0.0,7.0,0.0
Jamaica,08-02-2020,0,0,0,79.0,0.0,20.0,0.0,257.0,0.0,15.0,0.0,29.0,0.0,19.0,0.0,7.0,0.0
Jamaica,09-02-2020,0,0,0,74.0,0.0,19.0,0.0,260.0,0.0,23.0,0.0,30.0,0.0,21.0,0.0,8.0,0.0
Jamaica,10-02-2020,0,0,0,82.0,0.0,21.0,0.0,258.0,0.0,21.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Jamaica,11-02-2020,0,0,0,81.0,0.0,20.0,0.0,260.0,0.0,35.0,0.0,29.0,0.0,21.0,0.0,7.0,0.0
Jamaica,12-02-2020,0,0,0,77.0,0.0,20.0,0.0,267.0,0.0,20.0,0.0,30.0,0.0,20.0,0.0,8.0,0.0
Jamaica,13-02-2020,0,0,0,77.0,0.0,20.0,0.0,267.0,0.0,16.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Jamaica,14-02-2020,0,0,0,76.0,0.0,20.0,0.0,260.0,0.0,13.0,0.0,30.0,0.0,21.0,0.0,9.0,0.0
Jamaica,15-02-2020,0,0,0,80.0,0.0,20.0,0.0,259.0,0.0,28.0,0.0,29.0,0.0,18.0,0.0,8.0,0.0
Jamaica,16-02-2020,0,0,0,77.0,0.0,19.0,0.0,264.0,0.0,13.0,0.0,29.0,0.0,20.0,0.0,9.0,0.0
Jamaica,17-02-2020,0,0,0,86.0,0.0,21.0,0.0,265.0,0.0,43.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Jamaica,18-02-2020,0,0,0,80.0,0.0,20.0,0.0,264.0,0.0,23.0,0.0,30.0,0.0,20.0,0.0,9.0,0.0
Jamaica,19-02-2020,0,0,0,81.0,0.0,21.0,0.0,261.0,0.0,24.0,0.0,29.0,0.0,21.0,0.0,8.0,0.0
Jamaica,20-02-2020,0,0,0,85.0,0.0,22.0,0.0,266.0,0.0,42.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Jamaica,21-02-2020,0,0,0,82.0,0.0,21.0,0.0,271.0,0.0,32.0,0.0,29.0,0.0,19.0,0.0,7.0,0.0
