# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Japan,22-01-2020,2,0,0,53.0,0.0,-7.0,0.0,283.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0
Japan,23-01-2020,2,0,0,91.0,0.0,2.0,0.0,290.0,0.0,86.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0
Japan,24-01-2020,2,0,0,75.0,0.0,0.0,0.0,309.0,0.0,10.0,0.0,12.0,0.0,-2.0,0.0,3.0,0.0
Japan,25-01-2020,2,0,0,65.0,0.0,-5.0,0.0,310.0,0.0,4.0,0.0,5.0,0.0,-2.0,0.0,2.0,0.0
Japan,26-01-2020,4,0,1,68.0,0.0,-5.0,0.0,308.0,0.0,13.0,0.0,7.0,0.0,-4.0,0.0,3.0,0.0
Japan,27-01-2020,4,0,1,75.0,0.0,-4.0,0.0,319.0,0.0,46.0,0.0,4.0,0.0,-1.0,0.0,2.0,0.0
Japan,28-01-2020,7,0,1,85.0,0.0,0.0,0.0,344.0,0.0,68.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0
Japan,29-01-2020,7,0,1,84.0,0.0,2.0,0.0,344.0,0.0,72.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
Japan,30-01-2020,11,0,1,72.0,0.0,-2.0,0.0,349.0,0.0,28.0,0.0,8.0,0.0,-5.0,0.0,3.0,0.0
Japan,31-01-2020,15,0,1,62.0,0.0,-8.0,0.0,343.0,0.0,12.0,0.0,4.0,0.0,-8.0,0.0,3.0,0.0
Japan,01-02-2020,20,0,1,57.0,0.0,-10.0,0.0,299.0,0.0,6.0,0.0,7.0,0.0,-6.0,0.0,4.0,0.0
Japan,02-02-2020,20,0,1,54.0,0.0,-10.0,0.0,292.0,0.0,1.0,0.0,7.0,0.0,-5.0,0.0,4.0,0.0
Japan,03-02-2020,20,0,1,60.0,0.0,-6.0,0.0,271.0,0.0,4.0,0.0,8.0,0.0,-6.0,0.0,4.0,0.0
Japan,04-02-2020,22,0,1,54.0,0.0,-10.0,0.0,279.0,0.0,5.0,0.0,8.0,0.0,-5.0,0.0,4.0,0.0
Japan,05-02-2020,22,0,1,56.0,0.0,-8.0,0.0,308.0,0.0,28.0,0.0,5.0,0.0,-9.0,0.0,3.0,0.0
Japan,06-02-2020,22,0,1,44.0,0.0,-18.0,0.0,332.0,0.0,8.0,0.0,0.0,0.0,-12.0,0.0,4.0,0.0
Japan,07-02-2020,25,0,1,39.0,0.0,-17.0,0.0,348.0,0.0,3.0,0.0,5.0,0.0,-5.0,0.0,2.0,0.0
Japan,08-02-2020,25,0,1,62.0,0.0,-8.0,0.0,365.0,0.0,15.0,0.0,5.0,0.0,-7.0,0.0,3.0,0.0
Japan,09-02-2020,26,0,1,53.0,0.0,-13.0,0.0,405.0,0.0,16.0,0.0,2.0,0.0,-10.0,0.0,2.0,0.0
Japan,10-02-2020,26,0,4,50.0,0.0,-13.0,0.0,427.0,0.0,15.0,0.0,4.0,0.0,-9.0,0.0,2.0,0.0
Japan,11-02-2020,26,0,9,56.0,0.0,-11.0,0.0,355.0,0.0,2.0,0.0,7.0,0.0,-6.0,0.0,4.0,0.0
Japan,12-02-2020,28,0,9,45.0,0.0,-9.0,0.0,328.0,0.0,6.0,0.0,12.0,0.0,1.0,0.0,4.0,0.0
Japan,13-02-2020,28,1,9,83.0,0.0,3.0,0.0,317.0,0.0,91.0,0.0,14.0,0.0,-2.0,0.0,4.0,0.0
Japan,14-02-2020,29,1,9,73.0,0.0,0.0,0.0,311.0,0.0,4.0,0.0,13.0,0.0,-3.0,0.0,3.0,0.0
