# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Jordan,22-01-2020,0,0,0,77.0,0.0,1.0,0.0,375.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0
Jordan,23-01-2020,0,0,0,75.0,0.0,1.0,0.0,341.0,0.0,4.0,0.0,10.0,0.0,4.0,0.0,3.0,0.0
Jordan,24-01-2020,0,0,0,74.0,0.0,1.0,0.0,339.0,0.0,60.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0
Jordan,25-01-2020,0,0,0,59.0,0.0,-4.0,0.0,313.0,0.0,2.0,0.0,9.0,0.0,-1.0,0.0,4.0,0.0
Jordan,26-01-2020,0,0,0,55.0,0.0,-4.0,0.0,286.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0
Jordan,27-01-2020,0,0,0,44.0,0.0,-5.0,0.0,277.0,0.0,3.0,0.0,16.0,0.0,4.0,0.0,4.0,0.0
Jordan,28-01-2020,0,0,0,41.0,0.0,-4.0,0.0,294.0,0.0,3.0,0.0,14.0,0.0,4.0,0.0,3.0,0.0
Jordan,29-01-2020,0,0,0,79.0,0.0,4.0,0.0,321.0,0.0,14.0,0.0,13.0,0.0,1.0,0.0,4.0,0.0
Jordan,30-01-2020,0,0,0,69.0,0.0,1.0,0.0,349.0,0.0,5.0,0.0,16.0,0.0,3.0,0.0,4.0,0.0
Jordan,31-01-2020,0,0,0,71.0,0.0,2.0,0.0,349.0,0.0,11.0,0.0,12.0,0.0,3.0,0.0,4.0,0.0
Jordan,01-02-2020,0,0,0,73.0,0.0,2.0,0.0,345.0,0.0,7.0,0.0,12.0,0.0,4.0,0.0,4.0,0.0
Jordan,02-02-2020,0,0,0,75.0,0.0,4.0,0.0,316.0,0.0,3.0,0.0,15.0,0.0,5.0,0.0,5.0,0.0
Jordan,03-02-2020,0,0,0,53.0,0.0,0.0,0.0,294.0,0.0,3.0,0.0,18.0,0.0,5.0,0.0,5.0,0.0
Jordan,04-02-2020,0,0,0,75.0,0.0,4.0,0.0,316.0,0.0,5.0,0.0,14.0,0.0,4.0,0.0,5.0,0.0
Jordan,05-02-2020,0,0,0,61.0,0.0,1.0,0.0,301.0,0.0,3.0,0.0,18.0,0.0,4.0,0.0,5.0,0.0
Jordan,06-02-2020,0,0,0,46.0,0.0,-1.0,0.0,289.0,0.0,2.0,0.0,19.0,0.0,5.0,0.0,5.0,0.0
Jordan,07-02-2020,0,0,0,63.0,0.0,2.0,0.0,287.0,0.0,38.0,0.0,15.0,0.0,5.0,0.0,5.0,0.0
Jordan,08-02-2020,0,0,0,66.0,0.0,0.0,0.0,300.0,0.0,22.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0
Jordan,09-02-2020,0,0,0,77.0,0.0,1.0,0.0,319.0,0.0,50.0,0.0,6.0,0.0,-1.0,0.0,3.0,0.0
Jordan,10-02-2020,0,0,0,75.0,0.0,-2.0,0.0,333.0,0.0,18.0,0.0,6.0,0.0,1.0,0.0,3.0,0.0
Jordan,11-02-2020,0,0,0,72.0,0.0,0.0,0.0,337.0,0.0,16.0,0.0,9.0,0.0,1.0,0.0,4.0,0.0
Jordan,12-02-2020,0,0,0,65.0,0.0,1.0,0.0,319.0,0.0,3.0,0.0,16.0,0.0,3.0,0.0,5.0,0.0
Jordan,13-02-2020,0,0,0,63.0,0.0,2.0,0.0,323.0,0.0,4.0,0.0,18.0,0.0,4.0,0.0,5.0,0.0
Jordan,14-02-2020,0,0,0,64.0,0.0,3.0,0.0,323.0,0.0,3.0,0.0,17.0,0.0,6.0,0.0,3.0,0.0
Jordan,15-02-2020,0,0,0,42.0,0.0,0.0,0.0,326.0,0.0,1.0,0.0,21.0,0.0,5.0,0.0,5.0,0.0
Jordan,16-02-2020,0,0,0,59.0,0.0,2.0,0.0,330.0,0.0,5.0,0.0,16.0,0.0,3.0,0.0,5.0,0.0
Jordan,17-02-2020,0,0,0,68.0,0.0,2.0,0.0,316.0,0.0,7.0,0.0,14.0,0.0,5.0,0.0,6.0,0.0
Jordan,18-02-2020,0,0,0,65.0,0.0,4.0,0.0,318.0,0.0,10.0,0.0,17.0,0.0,7.0,0.0,5.0,0.0
Jordan,19-02-2020,0,0,0,74.0,0.0,5.0,0.0,326.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0,5.0,0.0
Jordan,20-02-2020,0,0,0,78.0,0.0,5.0,0.0,301.0,0.0,16.0,0.0,13.0,0.0,3.0,0.0,6.0,0.0
Jordan,21-02-2020,0,0,0,61.0,0.0,1.0,0.0,308.0,0.0,5.0,0.0,18.0,0.0,5.0,0.0,4.0,0.0
Jordan,22-02-2020,0,0,0,67.0,0.0,3.0,0.0,322.0,0.0,8.0,0.0,14.0,0.0,4.0,0.0,6.0,0.0
Jordan,23-02-2020,0,0,0,64.0,0.0,2.0,0.0,305.0,0.0,5.0,0.0,17.0,0.0,6.0,0.0,6.0,0.0
Jordan,24-02-2020,0,0,0,69.0,0.0,4.0,0.0,302.0,0.0,3.0,0.0,16.0,0.0,6.0,0.0,4.0,0.0
Jordan,25-02-2020,0,0,0,83.0,0.0,6.0,0.0,335.0,0.0,75.0,0.0,11.0,0.0,6.0,0.0,3.0,0.0
Jordan,26-02-2020,0,0,0,76.0,0.0,5.0,0.0,295.0,0.0,6.0,0.0,14.0,0.0,3.0,0.0,7.0,0.0
Jordan,27-02-2020,0,0,0,61.0,0.0,3.0,0.0,285.0,0.0,2.0,0.0,20.0,0.0,8.0,0.0,7.0,0.0
Jordan,28-02-2020,0,0,0,47.0,0.0,1.0,0.0,290.0,0.0,1.0,0.0,21.0,0.0,6.0,0.0,7.0,0.0
Jordan,29-02-2020,0,0,0,61.0,0.0,3.0,0.0,307.0,0.0,3.0,0.0,16.0,0.0,7.0,0.0,7.0,0.0
Jordan,01-03-2020,0,0,0,73.0,0.0,4.0,0.0,297.0,0.0,40.0,0.0,13.0,0.0,3.0,0.0,5.0,0.0
Jordan,02-03-2020,0,0,0,70.0,0.0,3.0,0.0,311.0,0.0,3.0,0.0,16.0,0.0,3.0,0.0,7.0,0.0
Jordan,03-03-2020,1,0,0,59.0,0.0,3.0,0.0,292.0,0.0,2.0,0.0,19.0,0.0,8.0,0.0,7.0,0.0
Jordan,04-03-2020,1,0,0,31.0,0.0,-3.0,0.0,284.0,0.0,1.0,0.0,23.0,0.0,9.0,0.0,8.0,0.0
Jordan,05-03-2020,1,0,0,19.0,0.0,-8.0,0.0,288.0,0.0,0.0,0.0,25.0,0.0,9.0,0.0,8.0,0.0
Jordan,06-03-2020,1,0,0,44.0,0.0,-1.0,0.0,332.0,0.0,17.0,0.0,17.0,0.0,7.0,0.0,4.0,0.0
Jordan,07-03-2020,1,0,0,74.0,0.0,6.0,0.0,293.0,0.0,3.0,0.0,15.0,0.0,6.0,0.0,8.0,0.0
