# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Kazakhstan,22-01-2020,0,0,0,82.0,0.0,-9.0,0.0,385.0,0.0,22.0,0.0,-5.0,0.0,-6.0,0.0,1.0,0.0
Kazakhstan,23-01-2020,0,0,0,82.0,0.0,-5.0,0.0,375.0,0.0,50.0,0.0,0.0,0.0,-5.0,0.0,1.0,0.0
Kazakhstan,24-01-2020,0,0,0,80.0,0.0,-6.0,0.0,373.0,0.0,18.0,0.0,-1.0,0.0,-8.0,0.0,1.0,0.0
Kazakhstan,25-01-2020,0,0,0,73.0,0.0,-11.0,0.0,375.0,0.0,19.0,0.0,-6.0,0.0,-11.0,0.0,1.0,0.0
Kazakhstan,26-01-2020,0,0,0,77.0,0.0,-10.0,0.0,335.0,0.0,22.0,0.0,-4.0,0.0,-5.0,0.0,1.0,0.0
Kazakhstan,27-01-2020,0,0,0,77.0,0.0,-8.0,0.0,355.0,0.0,41.0,0.0,-2.0,0.0,-7.0,0.0,1.0,0.0
Kazakhstan,28-01-2020,0,0,0,75.0,0.0,-10.0,0.0,318.0,0.0,41.0,0.0,-2.0,0.0,-19.0,0.0,1.0,0.0
Kazakhstan,29-01-2020,0,0,0,69.0,0.0,-19.0,0.0,347.0,0.0,7.0,0.0,-10.0,0.0,-17.0,0.0,1.0,0.0
Kazakhstan,30-01-2020,0,0,0,71.0,0.0,-18.0,0.0,352.0,0.0,6.0,0.0,-10.0,0.0,-17.0,0.0,1.0,0.0
Kazakhstan,31-01-2020,0,0,0,62.0,0.0,-19.0,0.0,373.0,0.0,3.0,0.0,-9.0,0.0,-15.0,0.0,1.0,0.0
Kazakhstan,01-02-2020,0,0,0,72.0,0.0,-15.0,0.0,386.0,0.0,2.0,0.0,-6.0,0.0,-15.0,0.0,1.0,0.0
Kazakhstan,02-02-2020,0,0,0,74.0,0.0,-13.0,0.0,350.0,0.0,4.0,0.0,-3.0,0.0,-12.0,0.0,1.0,0.0
Kazakhstan,03-02-2020,0,0,0,77.0,0.0,-9.0,0.0,341.0,0.0,4.0,0.0,1.0,0.0,-6.0,0.0,1.0,0.0
Kazakhstan,04-02-2020,0,0,0,85.0,0.0,-5.0,0.0,322.0,0.0,14.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0
Kazakhstan,05-02-2020,0,0,0,85.0,0.0,-1.0,0.0,329.0,0.0,22.0,0.0,3.0,0.0,-9.0,0.0,1.0,0.0
Kazakhstan,06-02-2020,0,0,0,78.0,0.0,-8.0,0.0,372.0,0.0,5.0,0.0,-3.0,0.0,-8.0,0.0,1.0,0.0
Kazakhstan,07-02-2020,0,0,0,84.0,0.0,-3.0,0.0,356.0,0.0,21.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
Kazakhstan,08-02-2020,0,0,0,80.0,0.0,0.0,0.0,332.0,0.0,18.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Kazakhstan,09-02-2020,0,0,0,84.0,0.0,-2.0,0.0,363.0,0.0,78.0,0.0,2.0,0.0,-13.0,0.0,1.0,0.0
Kazakhstan,10-02-2020,0,0,0,63.0,0.0,-18.0,0.0,384.0,0.0,8.0,0.0,-11.0,0.0,-20.0,0.0,1.0,0.0
Kazakhstan,11-02-2020,0,0,0,55.0,0.0,-22.0,0.0,357.0,0.0,3.0,0.0,-8.0,0.0,-19.0,0.0,2.0,0.0
Kazakhstan,12-02-2020,0,0,0,61.0,0.0,-20.0,0.0,364.0,0.0,19.0,0.0,-8.0,0.0,-9.0,0.0,1.0,0.0
Kazakhstan,13-02-2020,0,0,0,75.0,0.0,-13.0,0.0,364.0,0.0,41.0,0.0,-7.0,0.0,-13.0,0.0,1.0,0.0
Kazakhstan,14-02-2020,0,0,0,75.0,0.0,-11.0,0.0,351.0,0.0,18.0,0.0,0.0,0.0,-7.0,0.0,1.0,0.0
Kazakhstan,15-02-2020,0,0,0,82.0,0.0,-7.0,0.0,371.0,0.0,15.0,0.0,-1.0,0.0,-6.0,0.0,1.0,0.0
Kazakhstan,16-02-2020,0,0,0,79.0,0.0,-9.0,0.0,458.0,0.0,27.0,0.0,-4.0,0.0,-10.0,0.0,1.0,0.0
Kazakhstan,17-02-2020,0,0,0,73.0,0.0,-13.0,0.0,460.0,0.0,8.0,0.0,-7.0,0.0,-17.0,0.0,1.0,0.0
Kazakhstan,18-02-2020,0,0,0,71.0,0.0,-16.0,0.0,406.0,0.0,7.0,0.0,-5.0,0.0,-12.0,0.0,2.0,0.0
Kazakhstan,19-02-2020,0,0,0,73.0,0.0,-12.0,0.0,316.0,0.0,5.0,0.0,-3.0,0.0,-12.0,0.0,2.0,0.0
Kazakhstan,20-02-2020,0,0,0,73.0,0.0,-12.0,0.0,327.0,0.0,5.0,0.0,-1.0,0.0,-9.0,0.0,2.0,0.0
Kazakhstan,21-02-2020,0,0,0,78.0,0.0,-8.0,0.0,331.0,0.0,8.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0
Kazakhstan,22-02-2020,0,0,0,82.0,0.0,-5.0,0.0,352.0,0.0,46.0,0.0,0.0,0.0,-9.0,0.0,2.0,0.0
Kazakhstan,23-02-2020,0,0,0,80.0,0.0,-10.0,0.0,412.0,0.0,7.0,0.0,-2.0,0.0,-13.0,0.0,1.0,0.0
Kazakhstan,24-02-2020,0,0,0,80.0,0.0,-12.0,0.0,405.0,0.0,6.0,0.0,-4.0,0.0,-9.0,0.0,1.0,0.0
Kazakhstan,25-02-2020,0,0,0,87.0,0.0,-6.0,0.0,375.0,0.0,9.0,0.0,1.0,0.0,-1.0,0.0,2.0,0.0
Kazakhstan,26-02-2020,0,0,0,91.0,0.0,0.0,0.0,358.0,0.0,65.0,0.0,5.0,0.0,-4.0,0.0,2.0,0.0
Kazakhstan,27-02-2020,0,0,0,79.0,0.0,-7.0,0.0,379.0,0.0,15.0,0.0,-2.0,0.0,-9.0,0.0,2.0,0.0
Kazakhstan,28-02-2020,0,0,0,77.0,0.0,-9.0,0.0,346.0,0.0,4.0,0.0,0.0,0.0,-10.0,0.0,3.0,0.0
