# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Kosovo,22-01-2020,0,0,0,52.0,0.0,-11.0,0.0,358.0,0.0,1.0,0.0,3.0,0.0,-5.0,0.0,2.0,0.0
Kosovo,23-01-2020,0,0,0,54.0,0.0,-9.0,0.0,331.0,0.0,3.0,0.0,3.0,0.0,-7.0,0.0,2.0,0.0
Kosovo,24-01-2020,0,0,0,53.0,0.0,-10.0,0.0,326.0,0.0,1.0,0.0,4.0,0.0,-4.0,0.0,2.0,0.0
Kosovo,25-01-2020,0,0,0,75.0,0.0,-3.0,0.0,292.0,0.0,8.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Kosovo,26-01-2020,0,0,0,83.0,0.0,0.0,0.0,288.0,0.0,28.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Kosovo,27-01-2020,0,0,0,88.0,0.0,1.0,0.0,330.0,0.0,82.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Kosovo,28-01-2020,0,0,0,81.0,0.0,1.0,0.0,347.0,0.0,34.0,0.0,10.0,0.0,4.0,0.0,2.0,0.0
Kosovo,29-01-2020,0,0,0,85.0,0.0,2.0,0.0,381.0,0.0,83.0,0.0,6.0,0.0,-3.0,0.0,1.0,0.0
Kosovo,30-01-2020,0,0,0,69.0,0.0,-3.0,0.0,346.0,0.0,26.0,0.0,7.0,0.0,-4.0,0.0,2.0,0.0
Kosovo,31-01-2020,0,0,0,65.0,0.0,-3.0,0.0,308.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
Kosovo,01-02-2020,0,0,0,79.0,0.0,1.0,0.0,292.0,0.0,7.0,0.0,13.0,0.0,-1.0,0.0,3.0,0.0
Kosovo,02-02-2020,0,0,0,80.0,0.0,2.0,0.0,312.0,0.0,4.0,0.0,15.0,0.0,1.0,0.0,2.0,0.0
Kosovo,03-02-2020,0,0,0,80.0,0.0,3.0,0.0,317.0,0.0,6.0,0.0,14.0,0.0,2.0,0.0,2.0,0.0
Kosovo,04-02-2020,0,0,0,82.0,0.0,4.0,0.0,331.0,0.0,78.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0
Kosovo,05-02-2020,0,0,0,70.0,0.0,-3.0,0.0,412.0,0.0,76.0,0.0,3.0,0.0,-3.0,0.0,1.0,0.0
Kosovo,06-02-2020,0,0,0,60.0,0.0,-9.0,0.0,390.0,0.0,8.0,0.0,1.0,0.0,-5.0,0.0,2.0,0.0
Kosovo,07-02-2020,0,0,0,65.0,0.0,-6.0,0.0,359.0,0.0,5.0,0.0,5.0,0.0,-3.0,0.0,2.0,0.0
Kosovo,08-02-2020,0,0,0,71.0,0.0,-4.0,0.0,337.0,0.0,5.0,0.0,7.0,0.0,-6.0,0.0,2.0,0.0
Kosovo,09-02-2020,0,0,0,71.0,0.0,-5.0,0.0,324.0,0.0,4.0,0.0,8.0,0.0,-3.0,0.0,3.0,0.0
Kosovo,10-02-2020,0,0,0,76.0,0.0,0.0,0.0,305.0,0.0,13.0,0.0,9.0,0.0,5.0,0.0,2.0,0.0
Kosovo,11-02-2020,0,0,0,78.0,0.0,4.0,0.0,268.0,0.0,49.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0
Kosovo,12-02-2020,0,0,0,70.0,0.0,-1.0,0.0,298.0,0.0,28.0,0.0,10.0,0.0,-3.0,0.0,2.0,0.0
Kosovo,13-02-2020,0,0,0,68.0,0.0,-3.0,0.0,320.0,0.0,7.0,0.0,11.0,0.0,-1.0,0.0,3.0,0.0
Kosovo,14-02-2020,0,0,0,79.0,0.0,0.0,0.0,376.0,0.0,72.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0
Kosovo,15-02-2020,0,0,0,69.0,0.0,0.0,0.0,338.0,0.0,15.0,0.0,9.0,0.0,-4.0,0.0,2.0,0.0
Kosovo,16-02-2020,0,0,0,67.0,0.0,-3.0,0.0,333.0,0.0,3.0,0.0,12.0,0.0,-4.0,0.0,3.0,0.0
