# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Kuwait,22-01-2020,0,0,0,52.0,0.0,5.0,0.0,311.0,0.0,28.0,0.0,20.0,0.0,8.0,0.0,4.0,0.0
Kuwait,23-01-2020,0,0,0,52.0,0.0,2.0,0.0,314.0,0.0,5.0,0.0,17.0,0.0,6.0,0.0,4.0,0.0
Kuwait,24-01-2020,0,0,0,62.0,0.0,4.0,0.0,305.0,0.0,3.0,0.0,17.0,0.0,9.0,0.0,4.0,0.0
Kuwait,25-01-2020,0,0,0,50.0,0.0,1.0,0.0,314.0,0.0,6.0,0.0,15.0,0.0,6.0,0.0,4.0,0.0
Kuwait,26-01-2020,0,0,0,54.0,0.0,1.0,0.0,300.0,0.0,5.0,0.0,18.0,0.0,7.0,0.0,5.0,0.0
Kuwait,27-01-2020,0,0,0,51.0,0.0,1.0,0.0,293.0,0.0,3.0,0.0,19.0,0.0,7.0,0.0,5.0,0.0
Kuwait,28-01-2020,0,0,0,54.0,0.0,3.0,0.0,288.0,0.0,1.0,0.0,20.0,0.0,9.0,0.0,5.0,0.0
Kuwait,29-01-2020,0,0,0,60.0,0.0,5.0,0.0,295.0,0.0,7.0,0.0,20.0,0.0,8.0,0.0,4.0,0.0
Kuwait,30-01-2020,0,0,0,71.0,0.0,8.0,0.0,299.0,0.0,5.0,0.0,21.0,0.0,10.0,0.0,5.0,0.0
Kuwait,31-01-2020,0,0,0,72.0,0.0,9.0,0.0,315.0,0.0,5.0,0.0,20.0,0.0,12.0,0.0,5.0,0.0
Kuwait,01-02-2020,0,0,0,48.0,0.0,1.0,0.0,326.0,0.0,11.0,0.0,20.0,0.0,7.0,0.0,5.0,0.0
Kuwait,02-02-2020,0,0,0,39.0,0.0,-1.0,0.0,340.0,0.0,3.0,0.0,18.0,0.0,7.0,0.0,4.0,0.0
Kuwait,03-02-2020,0,0,0,42.0,0.0,0.0,0.0,312.0,0.0,3.0,0.0,18.0,0.0,6.0,0.0,5.0,0.0
Kuwait,04-02-2020,0,0,0,40.0,0.0,-1.0,0.0,293.0,0.0,8.0,0.0,19.0,0.0,8.0,0.0,5.0,0.0
Kuwait,05-02-2020,0,0,0,51.0,0.0,3.0,0.0,306.0,0.0,5.0,0.0,20.0,0.0,11.0,0.0,5.0,0.0
Kuwait,06-02-2020,0,0,0,53.0,0.0,6.0,0.0,287.0,0.0,9.0,0.0,22.0,0.0,14.0,0.0,6.0,0.0
Kuwait,07-02-2020,0,0,0,60.0,0.0,10.0,0.0,275.0,0.0,10.0,0.0,24.0,0.0,13.0,0.0,6.0,0.0
Kuwait,08-02-2020,0,0,0,41.0,0.0,3.0,0.0,273.0,0.0,1.0,0.0,25.0,0.0,11.0,0.0,5.0,0.0
