# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Kyrgyzstan,22-01-2020,0,0,0,59.0,0.0,-18.0,0.0,369.0,0.0,21.0,0.0,-7.0,0.0,-14.0,0.0,1.0,0.0
Kyrgyzstan,23-01-2020,0,0,0,56.0,0.0,-18.0,0.0,349.0,0.0,6.0,0.0,-6.0,0.0,-17.0,0.0,2.0,0.0
Kyrgyzstan,24-01-2020,0,0,0,47.0,0.0,-21.0,0.0,341.0,0.0,8.0,0.0,-6.0,0.0,-12.0,0.0,2.0,0.0
Kyrgyzstan,25-01-2020,0,0,0,56.0,0.0,-17.0,0.0,370.0,0.0,8.0,0.0,-4.0,0.0,-12.0,0.0,2.0,0.0
Kyrgyzstan,26-01-2020,0,0,0,69.0,0.0,-15.0,0.0,350.0,0.0,18.0,0.0,-5.0,0.0,-14.0,0.0,2.0,0.0
Kyrgyzstan,27-01-2020,0,0,0,63.0,0.0,-18.0,0.0,333.0,0.0,13.0,0.0,-7.0,0.0,-16.0,0.0,2.0,0.0
Kyrgyzstan,28-01-2020,0,0,0,59.0,0.0,-20.0,0.0,326.0,0.0,2.0,0.0,-7.0,0.0,-19.0,0.0,2.0,0.0
Kyrgyzstan,29-01-2020,0,0,0,49.0,0.0,-24.0,0.0,356.0,0.0,14.0,0.0,-9.0,0.0,-19.0,0.0,2.0,0.0
Kyrgyzstan,30-01-2020,0,0,0,48.0,0.0,-24.0,0.0,361.0,0.0,14.0,0.0,-9.0,0.0,-20.0,0.0,2.0,0.0
Kyrgyzstan,31-01-2020,0,0,0,44.0,0.0,-25.0,0.0,397.0,0.0,11.0,0.0,-9.0,0.0,-20.0,0.0,2.0,0.0
Kyrgyzstan,01-02-2020,0,0,0,42.0,0.0,-25.0,0.0,384.0,0.0,5.0,0.0,-9.0,0.0,-18.0,0.0,2.0,0.0
Kyrgyzstan,02-02-2020,0,0,0,48.0,0.0,-22.0,0.0,356.0,0.0,2.0,0.0,-7.0,0.0,-15.0,0.0,2.0,0.0
Kyrgyzstan,03-02-2020,0,0,0,50.0,0.0,-19.0,0.0,344.0,0.0,2.0,0.0,-5.0,0.0,-15.0,0.0,2.0,0.0
Kyrgyzstan,04-02-2020,0,0,0,57.0,0.0,-18.0,0.0,325.0,0.0,11.0,0.0,-5.0,0.0,-15.0,0.0,2.0,0.0
Kyrgyzstan,05-02-2020,0,0,0,56.0,0.0,-18.0,0.0,310.0,0.0,8.0,0.0,-6.0,0.0,-13.0,0.0,3.0,0.0
Kyrgyzstan,06-02-2020,0,0,0,59.0,0.0,-17.0,0.0,342.0,0.0,5.0,0.0,-5.0,0.0,-16.0,0.0,2.0,0.0
Kyrgyzstan,07-02-2020,0,0,0,55.0,0.0,-19.0,0.0,366.0,0.0,9.0,0.0,-5.0,0.0,-16.0,0.0,2.0,0.0
Kyrgyzstan,08-02-2020,0,0,0,50.0,0.0,-19.0,0.0,305.0,0.0,4.0,0.0,-4.0,0.0,-14.0,0.0,3.0,0.0
Kyrgyzstan,09-02-2020,0,0,0,50.0,0.0,-17.0,0.0,309.0,0.0,9.0,0.0,-2.0,0.0,-11.0,0.0,3.0,0.0
Kyrgyzstan,10-02-2020,0,0,0,59.0,0.0,-13.0,0.0,328.0,0.0,13.0,0.0,0.0,0.0,-8.0,0.0,2.0,0.0
Kyrgyzstan,11-02-2020,0,0,0,73.0,0.0,-8.0,0.0,319.0,0.0,20.0,0.0,0.0,0.0,-9.0,0.0,3.0,0.0
Kyrgyzstan,12-02-2020,0,0,0,68.0,0.0,-10.0,0.0,333.0,0.0,13.0,0.0,1.0,0.0,-7.0,0.0,3.0,0.0
Kyrgyzstan,13-02-2020,0,0,0,73.0,0.0,-8.0,0.0,324.0,0.0,49.0,0.0,0.0,0.0,-10.0,0.0,2.0,0.0
Kyrgyzstan,14-02-2020,0,0,0,66.0,0.0,-12.0,0.0,338.0,0.0,10.0,0.0,-1.0,0.0,-13.0,0.0,3.0,0.0
Kyrgyzstan,15-02-2020,0,0,0,60.0,0.0,-15.0,0.0,345.0,0.0,7.0,0.0,-3.0,0.0,-11.0,0.0,3.0,0.0
Kyrgyzstan,16-02-2020,0,0,0,62.0,0.0,-15.0,0.0,376.0,0.0,14.0,0.0,-4.0,0.0,-15.0,0.0,3.0,0.0
Kyrgyzstan,17-02-2020,0,0,0,56.0,0.0,-18.0,0.0,406.0,0.0,14.0,0.0,-6.0,0.0,-11.0,0.0,2.0,0.0
Kyrgyzstan,18-02-2020,0,0,0,77.0,0.0,-11.0,0.0,409.0,0.0,42.0,0.0,-4.0,0.0,-15.0,0.0,2.0,0.0
Kyrgyzstan,19-02-2020,0,0,0,62.0,0.0,-17.0,0.0,371.0,0.0,6.0,0.0,-6.0,0.0,-15.0,0.0,3.0,0.0
Kyrgyzstan,20-02-2020,0,0,0,53.0,0.0,-18.0,0.0,328.0,0.0,10.0,0.0,-4.0,0.0,-14.0,0.0,4.0,0.0
Kyrgyzstan,21-02-2020,0,0,0,47.0,0.0,-17.0,0.0,315.0,0.0,11.0,0.0,-1.0,0.0,-11.0,0.0,4.0,0.0
Kyrgyzstan,22-02-2020,0,0,0,54.0,0.0,-14.0,0.0,305.0,0.0,8.0,0.0,0.0,0.0,-8.0,0.0,4.0,0.0
