# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Libya,22-01-2020,0,0,0,56.0,0.0,1.0,0.0,272.0,0.0,1.0,0.0,18.0,0.0,3.0,0.0,6.0,0.0
Libya,23-01-2020,0,0,0,50.0,0.0,-1.0,0.0,267.0,0.0,1.0,0.0,19.0,0.0,3.0,0.0,6.0,0.0
Libya,24-01-2020,0,0,0,38.0,0.0,-4.0,0.0,266.0,0.0,1.0,0.0,20.0,0.0,5.0,0.0,6.0,0.0
Libya,25-01-2020,0,0,0,36.0,0.0,-4.0,0.0,266.0,0.0,1.0,0.0,22.0,0.0,7.0,0.0,6.0,0.0
Libya,26-01-2020,0,0,0,22.0,0.0,-10.0,0.0,268.0,0.0,2.0,0.0,24.0,0.0,6.0,0.0,5.0,0.0
Libya,27-01-2020,0,0,0,11.0,0.0,-16.0,0.0,269.0,0.0,5.0,0.0,27.0,0.0,11.0,0.0,6.0,0.0
Libya,28-01-2020,0,0,0,24.0,0.0,-4.0,0.0,278.0,0.0,1.0,0.0,24.0,0.0,7.0,0.0,5.0,0.0
Libya,29-01-2020,0,0,0,51.0,0.0,2.0,0.0,287.0,0.0,6.0,0.0,23.0,0.0,7.0,0.0,5.0,0.0
Libya,30-01-2020,0,0,0,32.0,0.0,-3.0,0.0,310.0,0.0,5.0,0.0,24.0,0.0,7.0,0.0,6.0,0.0
Libya,31-01-2020,0,0,0,28.0,0.0,-4.0,0.0,313.0,0.0,5.0,0.0,24.0,0.0,7.0,0.0,6.0,0.0
Libya,01-02-2020,0,0,0,32.0,0.0,-3.0,0.0,307.0,0.0,5.0,0.0,25.0,0.0,8.0,0.0,6.0,0.0
Libya,02-02-2020,0,0,0,28.0,0.0,-3.0,0.0,317.0,0.0,2.0,0.0,25.0,0.0,8.0,0.0,6.0,0.0
Libya,03-02-2020,0,0,0,35.0,0.0,0.0,0.0,308.0,0.0,4.0,0.0,23.0,0.0,7.0,0.0,6.0,0.0
Libya,04-02-2020,0,0,0,49.0,0.0,2.0,0.0,299.0,0.0,5.0,0.0,21.0,0.0,7.0,0.0,6.0,0.0
Libya,05-02-2020,0,0,0,42.0,0.0,0.0,0.0,291.0,0.0,3.0,0.0,24.0,0.0,7.0,0.0,6.0,0.0
Libya,06-02-2020,0,0,0,45.0,0.0,0.0,0.0,301.0,0.0,2.0,0.0,19.0,0.0,4.0,0.0,6.0,0.0
Libya,07-02-2020,0,0,0,35.0,0.0,-6.0,0.0,309.0,0.0,2.0,0.0,17.0,0.0,3.0,0.0,6.0,0.0
Libya,08-02-2020,0,0,0,48.0,0.0,-1.0,0.0,296.0,0.0,2.0,0.0,18.0,0.0,2.0,0.0,6.0,0.0
Libya,09-02-2020,0,0,0,51.0,0.0,0.0,0.0,294.0,0.0,2.0,0.0,19.0,0.0,3.0,0.0,7.0,0.0
Libya,10-02-2020,0,0,0,47.0,0.0,-1.0,0.0,289.0,0.0,3.0,0.0,21.0,0.0,3.0,0.0,7.0,0.0
Libya,11-02-2020,0,0,0,36.0,0.0,-5.0,0.0,285.0,0.0,0.0,0.0,24.0,0.0,5.0,0.0,5.0,0.0
Libya,12-02-2020,0,0,0,20.0,0.0,-11.0,0.0,284.0,0.0,2.0,0.0,26.0,0.0,8.0,0.0,7.0,0.0
Libya,13-02-2020,0,0,0,13.0,0.0,-13.0,0.0,297.0,0.0,1.0,0.0,25.0,0.0,8.0,0.0,5.0,0.0
Libya,14-02-2020,0,0,0,20.0,0.0,-8.0,0.0,303.0,0.0,2.0,0.0,25.0,0.0,8.0,0.0,7.0,0.0
Libya,15-02-2020,0,0,0,35.0,0.0,0.0,0.0,297.0,0.0,1.0,0.0,26.0,0.0,7.0,0.0,7.0,0.0
Libya,16-02-2020,0,0,0,52.0,0.0,2.0,0.0,312.0,0.0,3.0,0.0,21.0,0.0,8.0,0.0,7.0,0.0
Libya,17-02-2020,0,0,0,61.0,0.0,4.0,0.0,324.0,0.0,3.0,0.0,18.0,0.0,8.0,0.0,6.0,0.0
Libya,18-02-2020,0,0,0,54.0,0.0,3.0,0.0,335.0,0.0,9.0,0.0,18.0,0.0,5.0,0.0,5.0,0.0
Libya,19-02-2020,0,0,0,56.0,0.0,2.0,0.0,312.0,0.0,2.0,0.0,20.0,0.0,5.0,0.0,7.0,0.0
Libya,20-02-2020,0,0,0,48.0,0.0,1.0,0.0,291.0,0.0,2.0,0.0,21.0,0.0,6.0,0.0,6.0,0.0
Libya,21-02-2020,0,0,0,49.0,0.0,1.0,0.0,289.0,0.0,3.0,0.0,22.0,0.0,6.0,0.0,8.0,0.0
Libya,22-02-2020,0,0,0,51.0,0.0,2.0,0.0,296.0,0.0,3.0,0.0,20.0,0.0,6.0,0.0,7.0,0.0
Libya,23-02-2020,0,0,0,51.0,0.0,1.0,0.0,306.0,0.0,2.0,0.0,18.0,0.0,4.0,0.0,7.0,0.0
Libya,24-02-2020,0,0,0,49.0,0.0,0.0,0.0,300.0,0.0,2.0,0.0,20.0,0.0,4.0,0.0,8.0,0.0
Libya,25-02-2020,0,0,0,48.0,0.0,0.0,0.0,289.0,0.0,1.0,0.0,22.0,0.0,8.0,0.0,8.0,0.0
Libya,26-02-2020,0,0,0,32.0,0.0,-2.0,0.0,294.0,0.0,1.0,0.0,25.0,0.0,11.0,0.0,4.0,0.0
Libya,27-02-2020,0,0,0,19.0,0.0,-6.0,0.0,290.0,0.0,1.0,0.0,28.0,0.0,10.0,0.0,8.0,0.0
Libya,28-02-2020,0,0,0,35.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,25.0,0.0,10.0,0.0,8.0,0.0
Libya,29-02-2020,0,0,0,33.0,0.0,0.0,0.0,297.0,0.0,1.0,0.0,24.0,0.0,9.0,0.0,8.0,0.0
Libya,01-03-2020,0,0,0,28.0,0.0,-2.0,0.0,287.0,0.0,1.0,0.0,25.0,0.0,9.0,0.0,8.0,0.0
Libya,02-03-2020,0,0,0,21.0,0.0,-7.0,0.0,300.0,0.0,1.0,0.0,27.0,0.0,11.0,0.0,7.0,0.0
Libya,03-03-2020,0,0,0,13.0,0.0,-11.0,0.0,292.0,0.0,1.0,0.0,30.0,0.0,11.0,0.0,9.0,0.0
Libya,04-03-2020,0,0,0,16.0,0.0,-8.0,0.0,301.0,0.0,1.0,0.0,27.0,0.0,11.0,0.0,8.0,0.0
Libya,05-03-2020,0,0,0,24.0,0.0,-4.0,0.0,306.0,0.0,2.0,0.0,24.0,0.0,8.0,0.0,8.0,0.0
Libya,06-03-2020,0,0,0,24.0,0.0,-5.0,0.0,282.0,0.0,1.0,0.0,27.0,0.0,11.0,0.0,9.0,0.0
Libya,07-03-2020,0,0,0,17.0,0.0,-8.0,0.0,287.0,0.0,1.0,0.0,30.0,0.0,12.0,0.0,9.0,0.0
Libya,08-03-2020,0,0,0,17.0,0.0,-7.0,0.0,307.0,0.0,2.0,0.0,30.0,0.0,8.0,0.0,7.0,0.0
Libya,09-03-2020,0,0,0,27.0,0.0,-6.0,0.0,302.0,0.0,1.0,0.0,22.0,0.0,6.0,0.0,9.0,0.0
Libya,10-03-2020,0,0,0,24.0,0.0,-8.0,0.0,306.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,8.0,0.0
Libya,11-03-2020,0,0,0,49.0,0.0,0.0,0.0,377.0,0.0,68.0,0.0,14.0,0.0,7.0,0.0,5.0,0.0
Libya,12-03-2020,0,0,0,59.0,0.0,4.0,0.0,329.0,0.0,5.0,0.0,18.0,0.0,5.0,0.0,8.0,0.0
Libya,13-03-2020,0,0,0,46.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,23.0,0.0,7.0,0.0,9.0,0.0
Libya,14-03-2020,0,0,0,30.0,0.0,-4.0,0.0,287.0,0.0,0.0,0.0,26.0,0.0,9.0,0.0,9.0,0.0
Libya,15-03-2020,0,0,0,20.0,0.0,-7.0,0.0,278.0,0.0,0.0,0.0,28.0,0.0,10.0,0.0,10.0,0.0
Libya,16-03-2020,0,0,0,13.0,0.0,-11.0,0.0,274.0,0.0,0.0,0.0,29.0,0.0,13.0,0.0,10.0,0.0
Libya,17-03-2020,0,0,0,34.0,0.0,2.0,0.0,274.0,0.0,0.0,0.0,27.0,0.0,13.0,0.0,10.0,0.0
Libya,18-03-2020,0,0,0,34.0,0.0,2.0,0.0,277.0,0.0,0.0,0.0,27.0,0.0,15.0,0.0,10.0,0.0
Libya,19-03-2020,0,0,0,21.0,0.0,-3.0,0.0,286.0,0.0,3.0,0.0,29.0,0.0,16.0,0.0,5.0,0.0
Libya,20-03-2020,0,0,0,16.0,0.0,-5.0,0.0,290.0,0.0,1.0,0.0,29.0,0.0,14.0,0.0,7.0,0.0
Libya,21-03-2020,0,0,0,25.0,0.0,0.0,0.0,289.0,0.0,4.0,0.0,29.0,0.0,17.0,0.0,6.0,0.0
Libya,22-03-2020,0,0,0,18.0,0.0,-5.0,0.0,300.0,0.0,2.0,0.0,32.0,0.0,16.0,0.0,10.0,0.0
Libya,23-03-2020,0,0,0,14.0,0.0,-7.0,0.0,299.0,0.0,1.0,0.0,32.0,0.0,14.0,0.0,10.0,0.0
Libya,24-03-2020,1,0,0,37.0,0.0,5.0,0.0,291.0,0.0,1.0,0.0,28.0,0.0,18.0,0.0,10.0,0.0
