# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Liechtenstein,22-01-2020,0,0,0,61.0,0.0,-6.0,0.0,372.0,0.0,1.0,0.0,4.0,0.0,-2.0,0.0,1.0,0.0
Liechtenstein,23-01-2020,0,0,0,56.0,0.0,-7.0,0.0,340.0,0.0,3.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Liechtenstein,24-01-2020,0,0,0,56.0,0.0,-6.0,0.0,318.0,0.0,4.0,0.0,6.0,0.0,-1.0,0.0,1.0,0.0
Liechtenstein,25-01-2020,0,0,0,77.0,0.0,-3.0,0.0,310.0,0.0,6.0,0.0,3.0,0.0,-2.0,0.0,1.0,0.0
Liechtenstein,26-01-2020,0,0,0,87.0,0.0,-2.0,0.0,311.0,0.0,19.0,0.0,4.0,0.0,-3.0,0.0,1.0,0.0
Liechtenstein,27-01-2020,0,0,0,87.0,0.0,-2.0,0.0,319.0,0.0,33.0,0.0,4.0,0.0,-1.0,0.0,1.0,0.0
Liechtenstein,28-01-2020,0,0,0,95.0,0.0,-2.0,0.0,388.0,0.0,90.0,0.0,0.0,0.0,-5.0,0.0,1.0,0.0
Liechtenstein,29-01-2020,0,0,0,99.0,0.0,-3.0,0.0,380.0,0.0,92.0,0.0,-1.0,0.0,-4.0,0.0,1.0,0.0
Liechtenstein,30-01-2020,0,0,0,85.0,0.0,-3.0,0.0,303.0,0.0,45.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
Liechtenstein,31-01-2020,0,0,0,98.0,0.0,1.0,0.0,291.0,0.0,66.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Liechtenstein,01-02-2020,0,0,0,95.0,0.0,1.0,0.0,300.0,0.0,68.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
Liechtenstein,02-02-2020,0,0,0,100.0,0.0,1.0,0.0,311.0,0.0,96.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
Liechtenstein,03-02-2020,0,0,0,99.0,0.0,2.0,0.0,306.0,0.0,99.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
Liechtenstein,04-02-2020,0,0,0,96.0,0.0,-3.0,0.0,375.0,0.0,94.0,0.0,-1.0,0.0,-6.0,0.0,1.0,0.0
Liechtenstein,05-02-2020,0,0,0,95.0,0.0,-6.0,0.0,364.0,0.0,77.0,0.0,-2.0,0.0,-8.0,0.0,1.0,0.0
Liechtenstein,06-02-2020,0,0,0,65.0,0.0,-10.0,0.0,345.0,0.0,1.0,0.0,1.0,0.0,-4.0,0.0,1.0,0.0
Liechtenstein,07-02-2020,0,0,0,65.0,0.0,-7.0,0.0,326.0,0.0,5.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
Liechtenstein,08-02-2020,0,0,0,70.0,0.0,-5.0,0.0,313.0,0.0,5.0,0.0,5.0,0.0,-3.0,0.0,2.0,0.0
Liechtenstein,09-02-2020,0,0,0,72.0,0.0,-4.0,0.0,320.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
Liechtenstein,10-02-2020,0,0,0,86.0,0.0,0.0,0.0,267.0,0.0,89.0,0.0,3.0,0.0,-2.0,0.0,2.0,0.0
Liechtenstein,11-02-2020,0,0,0,97.0,0.0,-2.0,0.0,279.0,0.0,96.0,0.0,-1.0,0.0,-5.0,0.0,2.0,0.0
Liechtenstein,12-02-2020,0,0,0,95.0,0.0,-5.0,0.0,339.0,0.0,83.0,0.0,0.0,0.0,-6.0,0.0,1.0,0.0
Liechtenstein,13-02-2020,0,0,0,75.0,0.0,-6.0,0.0,354.0,0.0,56.0,0.0,3.0,0.0,-3.0,0.0,2.0,0.0
