# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Lithuania,22-01-2020,0,0,0,80.0,0.0,0.0,0.0,378.0,0.0,70.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Lithuania,23-01-2020,0,0,0,76.0,0.0,-2.0,0.0,320.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
Lithuania,24-01-2020,0,0,0,90.0,0.0,3.0,0.0,278.0,0.0,43.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0
Lithuania,25-01-2020,0,0,0,82.0,0.0,1.0,0.0,267.0,0.0,42.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Lithuania,26-01-2020,0,0,0,87.0,0.0,0.0,0.0,229.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Lithuania,27-01-2020,0,0,0,84.0,0.0,-1.0,0.0,260.0,0.0,52.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Lithuania,28-01-2020,0,0,0,84.0,0.0,0.0,0.0,292.0,0.0,48.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
Lithuania,29-01-2020,0,0,0,87.0,0.0,0.0,0.0,310.0,0.0,61.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Lithuania,30-01-2020,0,0,0,90.0,0.0,1.0,0.0,336.0,0.0,64.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Lithuania,31-01-2020,0,0,0,93.0,0.0,2.0,0.0,302.0,0.0,77.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
Lithuania,01-02-2020,0,0,0,94.0,0.0,4.0,0.0,274.0,0.0,92.0,0.0,9.0,0.0,5.0,0.0,1.0,0.0
Lithuania,02-02-2020,0,0,0,86.0,0.0,3.0,0.0,327.0,0.0,90.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Lithuania,03-02-2020,0,0,0,81.0,0.0,0.0,0.0,350.0,0.0,33.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Lithuania,04-02-2020,0,0,0,79.0,0.0,-2.0,0.0,399.0,0.0,34.0,0.0,2.0,0.0,-6.0,0.0,1.0,0.0
Lithuania,05-02-2020,0,0,0,69.0,0.0,-6.0,0.0,399.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Lithuania,06-02-2020,0,0,0,76.0,0.0,-2.0,0.0,381.0,0.0,65.0,0.0,4.0,0.0,-5.0,0.0,1.0,0.0
Lithuania,07-02-2020,0,0,0,55.0,0.0,-10.0,0.0,342.0,0.0,3.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0
Lithuania,08-02-2020,0,0,0,83.0,0.0,-1.0,0.0,317.0,0.0,13.0,0.0,4.0,0.0,-3.0,0.0,1.0,0.0
Lithuania,09-02-2020,0,0,0,73.0,0.0,-3.0,0.0,317.0,0.0,7.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Lithuania,10-02-2020,0,0,0,81.0,0.0,1.0,0.0,310.0,0.0,90.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0
Lithuania,11-02-2020,0,0,0,86.0,0.0,0.0,0.0,390.0,0.0,86.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
Lithuania,12-02-2020,0,0,0,89.0,0.0,1.0,0.0,420.0,0.0,95.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0
