# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Luxembourg,22-01-2020,0,0,0,69.0,0.0,-5.0,0.0,317.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
Luxembourg,23-01-2020,0,0,0,79.0,0.0,-2.0,0.0,310.0,0.0,7.0,0.0,5.0,0.0,-2.0,0.0,1.0,0.0
Luxembourg,24-01-2020,0,0,0,73.0,0.0,-4.0,0.0,303.0,0.0,5.0,0.0,4.0,0.0,-1.0,0.0,1.0,0.0
Luxembourg,25-01-2020,0,0,0,84.0,0.0,-1.0,0.0,289.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Luxembourg,26-01-2020,0,0,0,88.0,0.0,0.0,0.0,296.0,0.0,24.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0
Luxembourg,27-01-2020,0,0,0,92.0,0.0,3.0,0.0,328.0,0.0,98.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0
Luxembourg,28-01-2020,0,0,0,85.0,0.0,1.0,0.0,419.0,0.0,91.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
Luxembourg,29-01-2020,0,0,0,85.0,0.0,0.0,0.0,375.0,0.0,65.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
Luxembourg,30-01-2020,0,0,0,88.0,0.0,3.0,0.0,303.0,0.0,65.0,0.0,8.0,0.0,7.0,0.0,1.0,0.0
Luxembourg,31-01-2020,0,0,0,91.0,0.0,8.0,0.0,289.0,0.0,38.0,0.0,10.0,0.0,9.0,0.0,1.0,0.0
Luxembourg,01-02-2020,0,0,0,90.0,0.0,8.0,0.0,315.0,0.0,96.0,0.0,11.0,0.0,5.0,0.0,1.0,0.0
Luxembourg,02-02-2020,0,0,0,89.0,0.0,7.0,0.0,322.0,0.0,95.0,0.0,12.0,0.0,8.0,0.0,1.0,0.0
Luxembourg,03-02-2020,0,0,0,88.0,0.0,6.0,0.0,322.0,0.0,99.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0
Luxembourg,04-02-2020,0,0,0,83.0,0.0,1.0,0.0,390.0,0.0,97.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Luxembourg,05-02-2020,0,0,0,79.0,0.0,0.0,0.0,343.0,0.0,12.0,0.0,8.0,0.0,-1.0,0.0,1.0,0.0
Luxembourg,06-02-2020,0,0,0,82.0,0.0,-1.0,0.0,338.0,0.0,2.0,0.0,7.0,0.0,-3.0,0.0,1.0,0.0
Luxembourg,07-02-2020,0,0,0,78.0,0.0,-2.0,0.0,320.0,0.0,7.0,0.0,7.0,0.0,-1.0,0.0,1.0,0.0
Luxembourg,08-02-2020,0,0,0,84.0,0.0,0.0,0.0,313.0,0.0,20.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0
Luxembourg,09-02-2020,0,0,0,82.0,0.0,4.0,0.0,311.0,0.0,81.0,0.0,12.0,0.0,6.0,0.0,1.0,0.0
Luxembourg,10-02-2020,0,0,0,83.0,0.0,4.0,0.0,301.0,0.0,99.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0
Luxembourg,11-02-2020,0,0,0,82.0,0.0,0.0,0.0,320.0,0.0,93.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
Luxembourg,12-02-2020,0,0,0,85.0,0.0,0.0,0.0,370.0,0.0,88.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
Luxembourg,13-02-2020,0,0,0,87.0,0.0,1.0,0.0,394.0,0.0,93.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0
Luxembourg,14-02-2020,0,0,0,85.0,0.0,3.0,0.0,333.0,0.0,56.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0
