# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Malaysia,22-01-2020,0,0,0,93.0,0.0,24.0,0.0,244.0,0.0,43.0,0.0,29.0,0.0,22.0,0.0,8.0,0.0
Malaysia,23-01-2020,0,0,0,98.0,0.0,24.0,0.0,247.0,0.0,57.0,0.0,28.0,0.0,21.0,0.0,9.0,0.0
Malaysia,24-01-2020,0,0,0,96.0,0.0,23.0,0.0,245.0,0.0,81.0,0.0,28.0,0.0,21.0,0.0,6.0,0.0
Malaysia,25-01-2020,0,0,0,93.0,0.0,23.0,0.0,248.0,0.0,76.0,0.0,30.0,0.0,22.0,0.0,9.0,0.0
Malaysia,26-01-2020,0,0,0,97.0,0.0,24.0,0.0,244.0,0.0,88.0,0.0,28.0,0.0,22.0,0.0,6.0,0.0
Malaysia,27-01-2020,0,0,0,98.0,0.0,24.0,0.0,244.0,0.0,85.0,0.0,28.0,0.0,22.0,0.0,9.0,0.0
Malaysia,28-01-2020,0,0,0,92.0,0.0,23.0,0.0,249.0,0.0,60.0,0.0,31.0,0.0,22.0,0.0,10.0,0.0
Malaysia,29-01-2020,0,0,0,99.0,0.0,24.0,0.0,248.0,0.0,77.0,0.0,27.0,0.0,21.0,0.0,12.0,0.0
Malaysia,30-01-2020,0,0,0,98.0,0.0,23.0,0.0,248.0,0.0,93.0,0.0,27.0,0.0,20.0,0.0,8.0,0.0
Malaysia,31-01-2020,0,0,0,90.0,0.0,21.0,0.0,246.0,0.0,13.0,0.0,28.0,0.0,20.0,0.0,7.0,0.0
Malaysia,01-02-2020,0,0,0,87.0,0.0,21.0,0.0,244.0,0.0,15.0,0.0,29.0,0.0,21.0,0.0,12.0,0.0
Malaysia,02-02-2020,0,0,0,92.0,0.0,23.0,0.0,245.0,0.0,32.0,0.0,29.0,0.0,22.0,0.0,6.0,0.0
Malaysia,03-02-2020,0,0,0,99.0,0.0,23.0,0.0,245.0,0.0,70.0,0.0,26.0,0.0,22.0,0.0,6.0,0.0
Malaysia,04-02-2020,0,0,0,100.0,0.0,23.0,0.0,248.0,0.0,95.0,0.0,25.0,0.0,21.0,0.0,6.0,0.0
Malaysia,05-02-2020,0,0,0,100.0,0.0,23.0,0.0,247.0,0.0,91.0,0.0,25.0,0.0,21.0,0.0,6.0,0.0
Malaysia,06-02-2020,0,0,0,95.0,0.0,23.0,0.0,246.0,0.0,50.0,0.0,27.0,0.0,20.0,0.0,6.0,0.0
Malaysia,07-02-2020,0,0,0,88.0,0.0,22.0,0.0,246.0,0.0,23.0,0.0,29.0,0.0,20.0,0.0,7.0,0.0
Malaysia,08-02-2020,0,0,0,89.0,0.0,22.0,0.0,249.0,0.0,16.0,0.0,30.0,0.0,22.0,0.0,6.0,0.0
Malaysia,09-02-2020,0,0,0,98.0,0.0,23.0,0.0,250.0,0.0,95.0,0.0,27.0,0.0,20.0,0.0,6.0,0.0
Malaysia,10-02-2020,0,0,0,96.0,0.0,22.0,0.0,249.0,0.0,100.0,0.0,26.0,0.0,20.0,0.0,6.0,0.0
Malaysia,11-02-2020,0,0,0,92.0,0.0,22.0,0.0,246.0,0.0,82.0,0.0,29.0,0.0,21.0,0.0,7.0,0.0
Malaysia,12-02-2020,0,0,0,90.0,0.0,23.0,0.0,246.0,0.0,35.0,0.0,31.0,0.0,22.0,0.0,6.0,0.0
Malaysia,13-02-2020,0,0,0,95.0,0.0,24.0,0.0,243.0,0.0,65.0,0.0,29.0,0.0,21.0,0.0,6.0,0.0
Malaysia,14-02-2020,0,0,0,98.0,0.0,23.0,0.0,247.0,0.0,72.0,0.0,26.0,0.0,22.0,0.0,7.0,0.0
Malaysia,15-02-2020,0,0,0,97.0,0.0,23.0,0.0,249.0,0.0,97.0,0.0,28.0,0.0,21.0,0.0,6.0,0.0
Malaysia,16-02-2020,0,0,0,96.0,0.0,23.0,0.0,249.0,0.0,92.0,0.0,29.0,0.0,20.0,0.0,8.0,0.0
Malaysia,17-02-2020,0,0,0,100.0,0.0,22.0,0.0,250.0,0.0,98.0,0.0,24.0,0.0,20.0,0.0,7.0,0.0
Malaysia,18-02-2020,0,0,0,96.0,0.0,22.0,0.0,250.0,0.0,75.0,0.0,27.0,0.0,21.0,0.0,6.0,0.0
Malaysia,19-02-2020,0,0,0,99.0,0.0,23.0,0.0,251.0,0.0,94.0,0.0,27.0,0.0,22.0,0.0,7.0,0.0
Malaysia,20-02-2020,0,0,0,95.0,0.0,23.0,0.0,253.0,0.0,65.0,0.0,29.0,0.0,22.0,0.0,12.0,0.0
Malaysia,21-02-2020,0,0,0,97.0,0.0,23.0,0.0,251.0,0.0,70.0,0.0,29.0,0.0,21.0,0.0,8.0,0.0
Malaysia,22-02-2020,0,0,0,96.0,0.0,23.0,0.0,251.0,0.0,65.0,0.0,28.0,0.0,21.0,0.0,6.0,0.0
Malaysia,23-02-2020,0,0,0,95.0,0.0,23.0,0.0,251.0,0.0,56.0,0.0,29.0,0.0,22.0,0.0,6.0,0.0
Malaysia,24-02-2020,0,0,0,98.0,0.0,23.0,0.0,251.0,0.0,42.0,0.0,27.0,0.0,21.0,0.0,7.0,0.0
Malaysia,25-02-2020,0,0,0,99.0,0.0,24.0,0.0,254.0,0.0,69.0,0.0,28.0,0.0,22.0,0.0,6.0,0.0
Malaysia,26-02-2020,0,0,0,100.0,0.0,23.0,0.0,255.0,0.0,97.0,0.0,26.0,0.0,20.0,0.0,6.0,0.0
Malaysia,27-02-2020,0,0,0,98.0,0.0,23.0,0.0,251.0,0.0,81.0,0.0,28.0,0.0,22.0,0.0,6.0,0.0
Malaysia,28-02-2020,0,0,0,100.0,0.0,23.0,0.0,249.0,0.0,90.0,0.0,26.0,0.0,21.0,0.0,6.0,0.0
Malaysia,29-02-2020,0,0,0,98.0,0.0,24.0,0.0,247.0,0.0,78.0,0.0,28.0,0.0,22.0,0.0,6.0,0.0
Malaysia,01-03-2020,0,0,0,100.0,0.0,24.0,0.0,249.0,0.0,84.0,0.0,27.0,0.0,22.0,0.0,6.0,0.0
Malaysia,02-03-2020,0,0,0,96.0,0.0,24.0,0.0,248.0,0.0,69.0,0.0,30.0,0.0,22.0,0.0,6.0,0.0
Malaysia,03-03-2020,0,0,0,100.0,0.0,23.0,0.0,249.0,0.0,96.0,0.0,27.0,0.0,20.0,0.0,7.0,0.0
