# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Maldives,22-01-2020,0,0,0,85.0,0.0,25.0,0.0,238.0,0.0,52.0,0.0,30.0,0.0,27.0,0.0,9.0,0.0
Maldives,23-01-2020,0,0,0,88.0,0.0,26.0,0.0,240.0,0.0,57.0,0.0,30.0,0.0,27.0,0.0,9.0,0.0
Maldives,24-01-2020,0,0,0,90.0,0.0,26.0,0.0,245.0,0.0,83.0,0.0,29.0,0.0,26.0,0.0,6.0,0.0
Maldives,25-01-2020,0,0,0,83.0,0.0,25.0,0.0,246.0,0.0,67.0,0.0,30.0,0.0,27.0,0.0,8.0,0.0
Maldives,26-01-2020,0,0,0,78.0,0.0,24.0,0.0,248.0,0.0,7.0,0.0,29.0,0.0,26.0,0.0,6.0,0.0
Maldives,27-01-2020,0,0,0,75.0,0.0,23.0,0.0,248.0,0.0,9.0,0.0,29.0,0.0,26.0,0.0,7.0,0.0
Maldives,28-01-2020,0,0,0,74.0,0.0,22.0,0.0,250.0,0.0,4.0,0.0,29.0,0.0,26.0,0.0,12.0,0.0
Maldives,29-01-2020,0,0,0,76.0,0.0,23.0,0.0,246.0,0.0,10.0,0.0,29.0,0.0,26.0,0.0,11.0,0.0
Maldives,30-01-2020,0,0,0,76.0,0.0,23.0,0.0,246.0,0.0,9.0,0.0,29.0,0.0,27.0,0.0,11.0,0.0
Maldives,31-01-2020,0,0,0,76.0,0.0,23.0,0.0,244.0,0.0,8.0,0.0,29.0,0.0,26.0,0.0,8.0,0.0
Maldives,01-02-2020,0,0,0,75.0,0.0,23.0,0.0,250.0,0.0,6.0,0.0,29.0,0.0,26.0,0.0,12.0,0.0
Maldives,02-02-2020,0,0,0,75.0,0.0,23.0,0.0,252.0,0.0,30.0,0.0,29.0,0.0,26.0,0.0,6.0,0.0
Maldives,03-02-2020,0,0,0,77.0,0.0,23.0,0.0,250.0,0.0,17.0,0.0,29.0,0.0,26.0,0.0,12.0,0.0
Maldives,04-02-2020,0,0,0,77.0,0.0,23.0,0.0,251.0,0.0,14.0,0.0,29.0,0.0,26.0,0.0,12.0,0.0
Maldives,05-02-2020,0,0,0,77.0,0.0,24.0,0.0,248.0,0.0,21.0,0.0,29.0,0.0,27.0,0.0,9.0,0.0
Maldives,06-02-2020,0,0,0,79.0,0.0,24.0,0.0,246.0,0.0,6.0,0.0,29.0,0.0,27.0,0.0,11.0,0.0
Maldives,07-02-2020,0,0,0,77.0,0.0,24.0,0.0,248.0,0.0,9.0,0.0,29.0,0.0,26.0,0.0,10.0,0.0
Maldives,08-02-2020,0,0,0,76.0,0.0,23.0,0.0,249.0,0.0,4.0,0.0,30.0,0.0,26.0,0.0,13.0,0.0
Maldives,09-02-2020,0,0,0,78.0,0.0,24.0,0.0,245.0,0.0,17.0,0.0,29.0,0.0,26.0,0.0,12.0,0.0
Maldives,10-02-2020,0,0,0,80.0,0.0,24.0,0.0,248.0,0.0,19.0,0.0,29.0,0.0,27.0,0.0,11.0,0.0
Maldives,11-02-2020,0,0,0,77.0,0.0,24.0,0.0,245.0,0.0,8.0,0.0,30.0,0.0,27.0,0.0,8.0,0.0
Maldives,12-02-2020,0,0,0,80.0,0.0,25.0,0.0,246.0,0.0,39.0,0.0,30.0,0.0,27.0,0.0,6.0,0.0
Maldives,13-02-2020,0,0,0,85.0,0.0,25.0,0.0,245.0,0.0,84.0,0.0,30.0,0.0,26.0,0.0,10.0,0.0
Maldives,14-02-2020,0,0,0,84.0,0.0,25.0,0.0,247.0,0.0,87.0,0.0,29.0,0.0,26.0,0.0,9.0,0.0
Maldives,15-02-2020,0,0,0,83.0,0.0,25.0,0.0,251.0,0.0,81.0,0.0,30.0,0.0,27.0,0.0,11.0,0.0
Maldives,16-02-2020,0,0,0,83.0,0.0,25.0,0.0,255.0,0.0,36.0,0.0,30.0,0.0,26.0,0.0,13.0,0.0
Maldives,17-02-2020,0,0,0,83.0,0.0,25.0,0.0,256.0,0.0,50.0,0.0,30.0,0.0,26.0,0.0,9.0,0.0
Maldives,18-02-2020,0,0,0,84.0,0.0,25.0,0.0,256.0,0.0,83.0,0.0,30.0,0.0,26.0,0.0,6.0,0.0
Maldives,19-02-2020,0,0,0,75.0,0.0,23.0,0.0,254.0,0.0,11.0,0.0,29.0,0.0,26.0,0.0,12.0,0.0
Maldives,20-02-2020,0,0,0,77.0,0.0,24.0,0.0,252.0,0.0,11.0,0.0,29.0,0.0,27.0,0.0,12.0,0.0
Maldives,21-02-2020,0,0,0,83.0,0.0,25.0,0.0,252.0,0.0,65.0,0.0,30.0,0.0,26.0,0.0,10.0,0.0
Maldives,22-02-2020,0,0,0,86.0,0.0,25.0,0.0,256.0,0.0,99.0,0.0,29.0,0.0,27.0,0.0,6.0,0.0
Maldives,23-02-2020,0,0,0,85.0,0.0,25.0,0.0,258.0,0.0,71.0,0.0,29.0,0.0,26.0,0.0,7.0,0.0
Maldives,24-02-2020,0,0,0,84.0,0.0,25.0,0.0,257.0,0.0,30.0,0.0,30.0,0.0,27.0,0.0,10.0,0.0
Maldives,25-02-2020,0,0,0,82.0,0.0,25.0,0.0,258.0,0.0,20.0,0.0,30.0,0.0,26.0,0.0,10.0,0.0
Maldives,26-02-2020,0,0,0,83.0,0.0,25.0,0.0,258.0,0.0,22.0,0.0,29.0,0.0,27.0,0.0,6.0,0.0
Maldives,27-02-2020,0,0,0,82.0,0.0,25.0,0.0,259.0,0.0,6.0,0.0,29.0,0.0,27.0,0.0,6.0,0.0
Maldives,28-02-2020,0,0,0,80.0,0.0,24.0,0.0,261.0,0.0,15.0,0.0,29.0,0.0,27.0,0.0,6.0,0.0
Maldives,29-02-2020,0,0,0,75.0,0.0,23.0,0.0,257.0,0.0,4.0,0.0,30.0,0.0,27.0,0.0,6.0,0.0
Maldives,01-03-2020,0,0,0,76.0,0.0,24.0,0.0,255.0,0.0,6.0,0.0,30.0,0.0,27.0,0.0,13.0,0.0
Maldives,02-03-2020,0,0,0,75.0,0.0,24.0,0.0,257.0,0.0,5.0,0.0,30.0,0.0,27.0,0.0,12.0,0.0
Maldives,03-03-2020,0,0,0,77.0,0.0,24.0,0.0,256.0,0.0,25.0,0.0,30.0,0.0,27.0,0.0,12.0,0.0
Maldives,04-03-2020,0,0,0,76.0,0.0,24.0,0.0,256.0,0.0,12.0,0.0,30.0,0.0,27.0,0.0,7.0,0.0
Maldives,05-03-2020,0,0,0,74.0,0.0,23.0,0.0,259.0,0.0,4.0,0.0,30.0,0.0,26.0,0.0,6.0,0.0
