# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Moldova,22-01-2020,0,0,0,53.0,0.0,-4.0,0.0,339.0,0.0,4.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0
Moldova,23-01-2020,0,0,0,65.0,0.0,-3.0,0.0,387.0,0.0,30.0,0.0,4.0,0.0,-4.0,0.0,1.0,0.0
Moldova,24-01-2020,0,0,0,62.0,0.0,-6.0,0.0,321.0,0.0,2.0,0.0,6.0,0.0,-5.0,0.0,1.0,0.0
Moldova,25-01-2020,0,0,0,56.0,0.0,-8.0,0.0,296.0,0.0,1.0,0.0,6.0,0.0,-4.0,0.0,1.0,0.0
Moldova,26-01-2020,0,0,0,66.0,0.0,-5.0,0.0,290.0,0.0,5.0,0.0,6.0,0.0,-3.0,0.0,1.0,0.0
Moldova,27-01-2020,0,0,0,70.0,0.0,-3.0,0.0,303.0,0.0,9.0,0.0,8.0,0.0,-1.0,0.0,1.0,0.0
Moldova,28-01-2020,0,0,0,79.0,0.0,-1.0,0.0,329.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Moldova,29-01-2020,0,0,0,83.0,0.0,0.0,0.0,397.0,0.0,34.0,0.0,6.0,0.0,-2.0,0.0,1.0,0.0
Moldova,30-01-2020,0,0,0,66.0,0.0,-3.0,0.0,412.0,0.0,17.0,0.0,7.0,0.0,-1.0,0.0,1.0,0.0
Moldova,31-01-2020,0,0,0,70.0,0.0,-2.0,0.0,362.0,0.0,68.0,0.0,8.0,0.0,4.0,0.0,1.0,0.0
Moldova,01-02-2020,0,0,0,80.0,0.0,4.0,0.0,295.0,0.0,36.0,0.0,10.0,0.0,5.0,0.0,1.0,0.0
Moldova,02-02-2020,0,0,0,76.0,0.0,4.0,0.0,299.0,0.0,62.0,0.0,15.0,0.0,4.0,0.0,2.0,0.0
Moldova,03-02-2020,0,0,0,73.0,0.0,2.0,0.0,346.0,0.0,53.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0
Moldova,04-02-2020,0,0,0,78.0,0.0,1.0,0.0,374.0,0.0,80.0,0.0,10.0,0.0,5.0,0.0,1.0,0.0
Moldova,05-02-2020,0,0,0,89.0,0.0,2.0,0.0,398.0,0.0,98.0,0.0,6.0,0.0,-3.0,0.0,1.0,0.0
Moldova,06-02-2020,0,0,0,57.0,0.0,-7.0,0.0,396.0,0.0,16.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0
Moldova,07-02-2020,0,0,0,63.0,0.0,-7.0,0.0,384.0,0.0,47.0,0.0,0.0,0.0,-7.0,0.0,1.0,0.0
Moldova,08-02-2020,0,0,0,56.0,0.0,-11.0,0.0,371.0,0.0,3.0,0.0,0.0,0.0,-7.0,0.0,1.0,0.0
Moldova,09-02-2020,0,0,0,55.0,0.0,-10.0,0.0,337.0,0.0,2.0,0.0,4.0,0.0,-3.0,0.0,2.0,0.0
Moldova,10-02-2020,0,0,0,64.0,0.0,-4.0,0.0,324.0,0.0,76.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0
Moldova,11-02-2020,0,0,0,75.0,0.0,1.0,0.0,331.0,0.0,54.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0
Moldova,12-02-2020,0,0,0,60.0,0.0,-3.0,0.0,372.0,0.0,19.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Moldova,13-02-2020,0,0,0,57.0,0.0,-4.0,0.0,409.0,0.0,11.0,0.0,7.0,0.0,-3.0,0.0,1.0,0.0
Moldova,14-02-2020,0,0,0,59.0,0.0,-4.0,0.0,411.0,0.0,6.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0
Moldova,15-02-2020,0,0,0,79.0,0.0,0.0,0.0,384.0,0.0,25.0,0.0,6.0,0.0,-3.0,0.0,1.0,0.0
Moldova,16-02-2020,0,0,0,70.0,0.0,-2.0,0.0,339.0,0.0,5.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
Moldova,17-02-2020,0,0,0,63.0,0.0,0.0,0.0,305.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
Moldova,18-02-2020,0,0,0,72.0,0.0,1.0,0.0,330.0,0.0,8.0,0.0,13.0,0.0,1.0,0.0,2.0,0.0
Moldova,19-02-2020,0,0,0,68.0,0.0,0.0,0.0,335.0,0.0,6.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0
Moldova,20-02-2020,0,0,0,61.0,0.0,-1.0,0.0,392.0,0.0,17.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0
Moldova,21-02-2020,0,0,0,75.0,0.0,0.0,0.0,356.0,0.0,34.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Moldova,22-02-2020,0,0,0,73.0,0.0,0.0,0.0,383.0,0.0,14.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
Moldova,23-02-2020,0,0,0,61.0,0.0,-1.0,0.0,354.0,0.0,11.0,0.0,14.0,0.0,8.0,0.0,2.0,0.0
Moldova,24-02-2020,0,0,0,64.0,0.0,0.0,0.0,389.0,0.0,63.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Moldova,25-02-2020,0,0,0,56.0,0.0,-2.0,0.0,348.0,0.0,8.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
Moldova,26-02-2020,0,0,0,50.0,0.0,0.0,0.0,337.0,0.0,6.0,0.0,18.0,0.0,5.0,0.0,2.0,0.0
Moldova,27-02-2020,0,0,0,79.0,0.0,1.0,0.0,369.0,0.0,80.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
Moldova,28-02-2020,0,0,0,62.0,0.0,-3.0,0.0,395.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
Moldova,29-02-2020,0,0,0,65.0,0.0,-1.0,0.0,400.0,0.0,22.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0
Moldova,01-03-2020,0,0,0,57.0,0.0,-1.0,0.0,366.0,0.0,3.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
Moldova,02-03-2020,0,0,0,68.0,0.0,2.0,0.0,363.0,0.0,10.0,0.0,13.0,0.0,5.0,0.0,2.0,0.0
Moldova,03-03-2020,0,0,0,61.0,0.0,4.0,0.0,340.0,0.0,5.0,0.0,19.0,0.0,5.0,0.0,2.0,0.0
Moldova,04-03-2020,0,0,0,64.0,0.0,5.0,0.0,346.0,0.0,2.0,0.0,18.0,0.0,7.0,0.0,3.0,0.0
Moldova,05-03-2020,0,0,0,77.0,0.0,5.0,0.0,397.0,0.0,33.0,0.0,13.0,0.0,5.0,0.0,2.0,0.0
Moldova,06-03-2020,0,0,0,78.0,0.0,5.0,0.0,364.0,0.0,59.0,0.0,14.0,0.0,6.0,0.0,2.0,0.0
Moldova,07-03-2020,0,0,0,63.0,0.0,4.0,0.0,336.0,0.0,2.0,0.0,18.0,0.0,7.0,0.0,3.0,0.0
Moldova,08-03-2020,0,0,0,80.0,0.0,6.0,0.0,348.0,0.0,62.0,0.0,12.0,0.0,7.0,0.0,2.0,0.0
Moldova,09-03-2020,0,0,0,90.0,0.0,7.0,0.0,347.0,0.0,78.0,0.0,12.0,0.0,7.0,0.0,2.0,0.0
Moldova,10-03-2020,0,0,0,78.0,0.0,6.0,0.0,360.0,0.0,6.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
Moldova,11-03-2020,0,0,0,67.0,0.0,2.0,0.0,368.0,0.0,12.0,0.0,14.0,0.0,4.0,0.0,2.0,0.0
