# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Morocco,22-01-2020,0,0,0,66.0,0.0,2.0,0.0,325.0,0.0,14.0,0.0,14.0,0.0,4.0,0.0,4.0,0.0
Morocco,23-01-2020,0,0,0,56.0,0.0,0.0,0.0,304.0,0.0,6.0,0.0,16.0,0.0,4.0,0.0,3.0,0.0
Morocco,24-01-2020,0,0,0,52.0,0.0,0.0,0.0,297.0,0.0,4.0,0.0,18.0,0.0,5.0,0.0,4.0,0.0
Morocco,25-01-2020,0,0,0,60.0,0.0,2.0,0.0,303.0,0.0,21.0,0.0,16.0,0.0,3.0,0.0,4.0,0.0
Morocco,26-01-2020,0,0,0,67.0,0.0,2.0,0.0,299.0,0.0,13.0,0.0,16.0,0.0,4.0,0.0,4.0,0.0
Morocco,27-01-2020,0,0,0,47.0,0.0,-1.0,0.0,314.0,0.0,4.0,0.0,19.0,0.0,4.0,0.0,4.0,0.0
Morocco,28-01-2020,0,0,0,31.0,0.0,-6.0,0.0,324.0,0.0,1.0,0.0,21.0,0.0,6.0,0.0,4.0,0.0
Morocco,29-01-2020,0,0,0,30.0,0.0,-5.0,0.0,299.0,0.0,1.0,0.0,23.0,0.0,7.0,0.0,4.0,0.0
Morocco,30-01-2020,0,0,0,30.0,0.0,-4.0,0.0,294.0,0.0,2.0,0.0,23.0,0.0,8.0,0.0,4.0,0.0
Morocco,31-01-2020,0,0,0,30.0,0.0,-3.0,0.0,290.0,0.0,1.0,0.0,23.0,0.0,7.0,0.0,4.0,0.0
Morocco,01-02-2020,0,0,0,26.0,0.0,-5.0,0.0,285.0,0.0,3.0,0.0,23.0,0.0,8.0,0.0,5.0,0.0
Morocco,02-02-2020,0,0,0,16.0,0.0,-10.0,0.0,282.0,0.0,2.0,0.0,26.0,0.0,10.0,0.0,5.0,0.0
