# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
New Zealand,22-01-2020,0,0,0,86.0,0.0,14.0,0.0,262.0,0.0,15.0,0.0,18.0,0.0,16.0,0.0,6.0,0.0
New Zealand,23-01-2020,0,0,0,90.0,0.0,16.0,0.0,280.0,0.0,25.0,0.0,19.0,0.0,17.0,0.0,6.0,0.0
New Zealand,24-01-2020,0,0,0,89.0,0.0,16.0,0.0,275.0,0.0,28.0,0.0,20.0,0.0,16.0,0.0,8.0,0.0
New Zealand,25-01-2020,0,0,0,85.0,0.0,15.0,0.0,272.0,0.0,10.0,0.0,20.0,0.0,16.0,0.0,7.0,0.0
New Zealand,26-01-2020,0,0,0,88.0,0.0,16.0,0.0,273.0,0.0,16.0,0.0,20.0,0.0,17.0,0.0,9.0,0.0
New Zealand,27-01-2020,0,0,0,93.0,0.0,17.0,0.0,268.0,0.0,28.0,0.0,19.0,0.0,17.0,0.0,6.0,0.0
New Zealand,28-01-2020,0,0,0,93.0,0.0,17.0,0.0,274.0,0.0,28.0,0.0,20.0,0.0,17.0,0.0,6.0,0.0
New Zealand,29-01-2020,0,0,0,90.0,0.0,17.0,0.0,284.0,0.0,35.0,0.0,20.0,0.0,18.0,0.0,5.0,0.0
New Zealand,30-01-2020,0,0,0,83.0,0.0,16.0,0.0,280.0,0.0,37.0,0.0,20.0,0.0,17.0,0.0,7.0,0.0
New Zealand,31-01-2020,0,0,0,81.0,0.0,15.0,0.0,267.0,0.0,8.0,0.0,20.0,0.0,17.0,0.0,6.0,0.0
New Zealand,01-02-2020,0,0,0,79.0,0.0,14.0,0.0,260.0,0.0,8.0,0.0,19.0,0.0,17.0,0.0,9.0,0.0
New Zealand,02-02-2020,0,0,0,89.0,0.0,16.0,0.0,254.0,0.0,13.0,0.0,20.0,0.0,18.0,0.0,6.0,0.0
New Zealand,03-02-2020,0,0,0,90.0,0.0,17.0,0.0,260.0,0.0,13.0,0.0,20.0,0.0,18.0,0.0,9.0,0.0
New Zealand,04-02-2020,0,0,0,88.0,0.0,18.0,0.0,260.0,0.0,50.0,0.0,22.0,0.0,16.0,0.0,9.0,0.0
New Zealand,05-02-2020,0,0,0,73.0,0.0,12.0,0.0,275.0,0.0,32.0,0.0,18.0,0.0,15.0,0.0,9.0,0.0
New Zealand,06-02-2020,0,0,0,68.0,0.0,11.0,0.0,280.0,0.0,8.0,0.0,19.0,0.0,14.0,0.0,10.0,0.0
New Zealand,07-02-2020,0,0,0,66.0,0.0,11.0,0.0,284.0,0.0,6.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0
New Zealand,08-02-2020,0,0,0,73.0,0.0,12.0,0.0,282.0,0.0,5.0,0.0,19.0,0.0,10.0,0.0,7.0,0.0
New Zealand,09-02-2020,0,0,0,65.0,0.0,8.0,0.0,292.0,0.0,9.0,0.0,17.0,0.0,14.0,0.0,9.0,0.0
New Zealand,10-02-2020,0,0,0,74.0,0.0,11.0,0.0,293.0,0.0,8.0,0.0,19.0,0.0,15.0,0.0,8.0,0.0
New Zealand,11-02-2020,0,0,0,79.0,0.0,13.0,0.0,290.0,0.0,9.0,0.0,18.0,0.0,13.0,0.0,7.0,0.0
New Zealand,12-02-2020,0,0,0,78.0,0.0,12.0,0.0,275.0,0.0,2.0,0.0,20.0,0.0,16.0,0.0,9.0,0.0
New Zealand,13-02-2020,0,0,0,81.0,0.0,14.0,0.0,268.0,0.0,12.0,0.0,18.0,0.0,14.0,0.0,5.0,0.0
New Zealand,14-02-2020,0,0,0,73.0,0.0,13.0,0.0,272.0,0.0,5.0,0.0,22.0,0.0,14.0,0.0,6.0,0.0
New Zealand,15-02-2020,0,0,0,75.0,0.0,13.0,0.0,266.0,0.0,10.0,0.0,21.0,0.0,17.0,0.0,5.0,0.0
New Zealand,16-02-2020,0,0,0,78.0,0.0,15.0,0.0,255.0,0.0,19.0,0.0,22.0,0.0,18.0,0.0,9.0,0.0
