# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
North Macedonia,22-01-2020,0,0,0,48.0,0.0,-9.0,0.0,350.0,0.0,1.0,0.0,7.0,0.0,-1.0,0.0,2.0,0.0
North Macedonia,23-01-2020,0,0,0,48.0,0.0,-8.0,0.0,340.0,0.0,2.0,0.0,7.0,0.0,-3.0,0.0,2.0,0.0
North Macedonia,24-01-2020,0,0,0,52.0,0.0,-8.0,0.0,322.0,0.0,2.0,0.0,6.0,0.0,-3.0,0.0,2.0,0.0
North Macedonia,25-01-2020,0,0,0,65.0,0.0,-4.0,0.0,291.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
North Macedonia,26-01-2020,0,0,0,77.0,0.0,0.0,0.0,283.0,0.0,26.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0
North Macedonia,27-01-2020,0,0,0,83.0,0.0,3.0,0.0,335.0,0.0,72.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
North Macedonia,28-01-2020,0,0,0,73.0,0.0,1.0,0.0,347.0,0.0,12.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0
North Macedonia,29-01-2020,0,0,0,77.0,0.0,2.0,0.0,374.0,0.0,40.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
North Macedonia,30-01-2020,0,0,0,66.0,0.0,-1.0,0.0,349.0,0.0,61.0,0.0,11.0,0.0,-2.0,0.0,2.0,0.0
North Macedonia,31-01-2020,0,0,0,59.0,0.0,-3.0,0.0,308.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0
North Macedonia,01-02-2020,0,0,0,62.0,0.0,0.0,0.0,295.0,0.0,6.0,0.0,16.0,0.0,1.0,0.0,3.0,0.0
North Macedonia,02-02-2020,0,0,0,68.0,0.0,2.0,0.0,309.0,0.0,3.0,0.0,17.0,0.0,2.0,0.0,3.0,0.0
North Macedonia,03-02-2020,0,0,0,69.0,0.0,2.0,0.0,317.0,0.0,5.0,0.0,17.0,0.0,3.0,0.0,2.0,0.0
North Macedonia,04-02-2020,0,0,0,67.0,0.0,4.0,0.0,325.0,0.0,45.0,0.0,19.0,0.0,1.0,0.0,2.0,0.0
North Macedonia,05-02-2020,0,0,0,79.0,0.0,0.0,0.0,408.0,0.0,92.0,0.0,5.0,0.0,-1.0,0.0,1.0,0.0
North Macedonia,06-02-2020,0,0,0,63.0,0.0,-6.0,0.0,397.0,0.0,13.0,0.0,2.0,0.0,-4.0,0.0,2.0,0.0
North Macedonia,07-02-2020,0,0,0,65.0,0.0,-5.0,0.0,363.0,0.0,6.0,0.0,6.0,0.0,-1.0,0.0,2.0,0.0
North Macedonia,08-02-2020,0,0,0,70.0,0.0,-3.0,0.0,337.0,0.0,5.0,0.0,6.0,0.0,-5.0,0.0,3.0,0.0
North Macedonia,09-02-2020,0,0,0,73.0,0.0,-4.0,0.0,327.0,0.0,7.0,0.0,6.0,0.0,-4.0,0.0,3.0,0.0
North Macedonia,10-02-2020,0,0,0,77.0,0.0,-1.0,0.0,312.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0
North Macedonia,11-02-2020,0,0,0,80.0,0.0,2.0,0.0,268.0,0.0,6.0,0.0,14.0,0.0,1.0,0.0,4.0,0.0
North Macedonia,12-02-2020,0,0,0,72.0,0.0,0.0,0.0,295.0,0.0,21.0,0.0,12.0,0.0,-1.0,0.0,3.0,0.0
North Macedonia,13-02-2020,0,0,0,66.0,0.0,-1.0,0.0,313.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0
North Macedonia,14-02-2020,0,0,0,81.0,0.0,2.0,0.0,363.0,0.0,91.0,0.0,11.0,0.0,5.0,0.0,2.0,0.0
North Macedonia,15-02-2020,0,0,0,68.0,0.0,1.0,0.0,349.0,0.0,33.0,0.0,11.0,0.0,-1.0,0.0,3.0,0.0
North Macedonia,16-02-2020,0,0,0,67.0,0.0,-1.0,0.0,341.0,0.0,5.0,0.0,13.0,0.0,-1.0,0.0,3.0,0.0
North Macedonia,17-02-2020,0,0,0,65.0,0.0,-1.0,0.0,306.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0
North Macedonia,18-02-2020,0,0,0,62.0,0.0,0.0,0.0,308.0,0.0,6.0,0.0,17.0,0.0,5.0,0.0,4.0,0.0
North Macedonia,19-02-2020,0,0,0,60.0,0.0,1.0,0.0,335.0,0.0,5.0,0.0,15.0,0.0,4.0,0.0,3.0,0.0
North Macedonia,20-02-2020,0,0,0,71.0,0.0,0.0,0.0,361.0,0.0,67.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0
North Macedonia,21-02-2020,0,0,0,53.0,0.0,-3.0,0.0,337.0,0.0,7.0,0.0,12.0,0.0,2.0,0.0,3.0,0.0
North Macedonia,22-02-2020,0,0,0,56.0,0.0,-3.0,0.0,367.0,0.0,7.0,0.0,10.0,0.0,-2.0,0.0,3.0,0.0
