# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Norway,22-01-2020,0,0,0,61.0,0.0,-9.0,0.0,301.0,0.0,3.0,0.0,-3.0,0.0,-5.0,0.0,0.0,0.0
Norway,23-01-2020,0,0,0,75.0,0.0,-2.0,0.0,255.0,0.0,12.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0
Norway,24-01-2020,0,0,0,68.0,0.0,-6.0,0.0,260.0,0.0,9.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
Norway,25-01-2020,0,0,0,71.0,0.0,-5.0,0.0,230.0,0.0,8.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0
Norway,26-01-2020,0,0,0,75.0,0.0,-4.0,0.0,232.0,0.0,20.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0
Norway,27-01-2020,0,0,0,79.0,0.0,-2.0,0.0,281.0,0.0,54.0,0.0,2.0,0.0,-9.0,0.0,0.0,0.0
Norway,28-01-2020,0,0,0,78.0,0.0,-9.0,0.0,296.0,0.0,26.0,0.0,-4.0,0.0,-5.0,0.0,0.0,0.0
Norway,29-01-2020,0,0,0,81.0,0.0,-6.0,0.0,304.0,0.0,31.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0
Norway,30-01-2020,0,0,0,72.0,0.0,-12.0,0.0,313.0,0.0,18.0,0.0,-4.0,0.0,-9.0,0.0,0.0,0.0
Norway,31-01-2020,0,0,0,76.0,0.0,-8.0,0.0,292.0,0.0,21.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
Norway,01-02-2020,0,0,0,77.0,0.0,-2.0,0.0,302.0,0.0,31.0,0.0,3.0,0.0,-5.0,0.0,0.0,0.0
Norway,02-02-2020,0,0,0,66.0,0.0,-11.0,0.0,350.0,0.0,7.0,0.0,-2.0,0.0,-14.0,0.0,0.0,0.0
Norway,03-02-2020,0,0,0,68.0,0.0,-15.0,0.0,373.0,0.0,23.0,0.0,-7.0,0.0,-12.0,0.0,0.0,0.0
Norway,04-02-2020,0,0,0,68.0,0.0,-14.0,0.0,384.0,0.0,19.0,0.0,-4.0,0.0,-9.0,0.0,0.0,0.0
Norway,05-02-2020,0,0,0,70.0,0.0,-7.0,0.0,344.0,0.0,22.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0
Norway,06-02-2020,0,0,0,77.0,0.0,-2.0,0.0,309.0,0.0,5.0,0.0,5.0,0.0,-4.0,0.0,0.0,0.0
Norway,07-02-2020,0,0,0,68.0,0.0,-7.0,0.0,297.0,0.0,4.0,0.0,3.0,0.0,-9.0,0.0,0.0,0.0
Norway,08-02-2020,0,0,0,78.0,0.0,-6.0,0.0,290.0,0.0,23.0,0.0,2.0,0.0,-3.0,0.0,0.0,0.0
Norway,09-02-2020,0,0,0,75.0,0.0,-3.0,0.0,289.0,0.0,49.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Norway,10-02-2020,0,0,0,70.0,0.0,-5.0,0.0,337.0,0.0,27.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0
Norway,11-02-2020,0,0,0,68.0,0.0,-9.0,0.0,345.0,0.0,5.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0
Norway,12-02-2020,0,0,0,66.0,0.0,-9.0,0.0,312.0,0.0,13.0,0.0,0.0,0.0,-8.0,0.0,1.0,0.0
Norway,13-02-2020,0,0,0,65.0,0.0,-12.0,0.0,306.0,0.0,8.0,0.0,-3.0,0.0,-12.0,0.0,1.0,0.0
Norway,14-02-2020,0,0,0,70.0,0.0,-12.0,0.0,315.0,0.0,9.0,0.0,-2.0,0.0,-7.0,0.0,1.0,0.0
Norway,15-02-2020,0,0,0,76.0,0.0,-5.0,0.0,358.0,0.0,34.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
Norway,16-02-2020,0,0,0,73.0,0.0,-3.0,0.0,367.0,0.0,77.0,0.0,3.0,0.0,-2.0,0.0,1.0,0.0
Norway,17-02-2020,0,0,0,70.0,0.0,-3.0,0.0,407.0,0.0,55.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0
Norway,18-02-2020,0,0,0,70.0,0.0,-5.0,0.0,425.0,0.0,33.0,0.0,1.0,0.0,-8.0,0.0,0.0,0.0
Norway,19-02-2020,0,0,0,71.0,0.0,-10.0,0.0,415.0,0.0,3.0,0.0,0.0,0.0,-11.0,0.0,1.0,0.0
Norway,20-02-2020,0,0,0,77.0,0.0,-6.0,0.0,368.0,0.0,56.0,0.0,3.0,0.0,-6.0,0.0,1.0,0.0
