# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Oman,22-01-2020,0,0,0,60.0,0.0,12.0,0.0,263.0,0.0,2.0,0.0,28.0,0.0,15.0,0.0,7.0,0.0
Oman,23-01-2020,0,0,0,66.0,0.0,14.0,0.0,258.0,0.0,3.0,0.0,27.0,0.0,15.0,0.0,7.0,0.0
Oman,24-01-2020,0,0,0,66.0,0.0,14.0,0.0,254.0,0.0,4.0,0.0,27.0,0.0,18.0,0.0,7.0,0.0
Oman,25-01-2020,0,0,0,61.0,0.0,14.0,0.0,252.0,0.0,8.0,0.0,29.0,0.0,18.0,0.0,7.0,0.0
Oman,26-01-2020,0,0,0,47.0,0.0,7.0,0.0,249.0,0.0,8.0,0.0,26.0,0.0,10.0,0.0,7.0,0.0
Oman,27-01-2020,0,0,0,46.0,0.0,4.0,0.0,259.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,8.0,0.0
Oman,28-01-2020,0,0,0,49.0,0.0,5.0,0.0,261.0,0.0,1.0,0.0,24.0,0.0,9.0,0.0,8.0,0.0
Oman,29-01-2020,0,0,0,40.0,0.0,2.0,0.0,257.0,0.0,3.0,0.0,25.0,0.0,10.0,0.0,8.0,0.0
Oman,30-01-2020,0,0,0,42.0,0.0,2.0,0.0,253.0,0.0,3.0,0.0,26.0,0.0,11.0,0.0,8.0,0.0
Oman,31-01-2020,0,0,0,24.0,0.0,-4.0,0.0,245.0,0.0,4.0,0.0,27.0,0.0,12.0,0.0,8.0,0.0
Oman,01-02-2020,0,0,0,49.0,0.0,5.0,0.0,245.0,0.0,6.0,0.0,27.0,0.0,13.0,0.0,8.0,0.0
Oman,02-02-2020,0,0,0,59.0,0.0,10.0,0.0,249.0,0.0,5.0,0.0,27.0,0.0,14.0,0.0,6.0,0.0
Oman,03-02-2020,0,0,0,48.0,0.0,6.0,0.0,252.0,0.0,3.0,0.0,29.0,0.0,11.0,0.0,8.0,0.0
