# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Panama,22-01-2020,0,0,0,95.0,0.0,19.0,0.0,236.0,0.0,56.0,0.0,23.0,0.0,17.0,0.0,6.0,0.0
Panama,23-01-2020,0,0,0,95.0,0.0,19.0,0.0,234.0,0.0,69.0,0.0,23.0,0.0,18.0,0.0,9.0,0.0
Panama,24-01-2020,0,0,0,99.0,0.0,19.0,0.0,232.0,0.0,85.0,0.0,22.0,0.0,18.0,0.0,7.0,0.0
Panama,25-01-2020,0,0,0,99.0,0.0,19.0,0.0,233.0,0.0,56.0,0.0,22.0,0.0,18.0,0.0,8.0,0.0
Panama,26-01-2020,0,0,0,98.0,0.0,19.0,0.0,236.0,0.0,45.0,0.0,22.0,0.0,17.0,0.0,9.0,0.0
Panama,27-01-2020,0,0,0,94.0,0.0,18.0,0.0,235.0,0.0,37.0,0.0,23.0,0.0,15.0,0.0,9.0,0.0
Panama,28-01-2020,0,0,0,94.0,0.0,18.0,0.0,237.0,0.0,43.0,0.0,24.0,0.0,16.0,0.0,9.0,0.0
Panama,29-01-2020,0,0,0,97.0,0.0,19.0,0.0,236.0,0.0,59.0,0.0,23.0,0.0,17.0,0.0,8.0,0.0
Panama,30-01-2020,0,0,0,97.0,0.0,19.0,0.0,237.0,0.0,65.0,0.0,24.0,0.0,17.0,0.0,8.0,0.0
Panama,31-01-2020,0,0,0,91.0,0.0,18.0,0.0,247.0,0.0,26.0,0.0,26.0,0.0,16.0,0.0,9.0,0.0
Panama,01-02-2020,0,0,0,93.0,0.0,18.0,0.0,244.0,0.0,26.0,0.0,23.0,0.0,17.0,0.0,10.0,0.0
Panama,02-02-2020,0,0,0,94.0,0.0,19.0,0.0,241.0,0.0,46.0,0.0,25.0,0.0,18.0,0.0,11.0,0.0
Panama,03-02-2020,0,0,0,99.0,0.0,20.0,0.0,238.0,0.0,73.0,0.0,23.0,0.0,18.0,0.0,8.0,0.0
Panama,04-02-2020,0,0,0,95.0,0.0,19.0,0.0,237.0,0.0,47.0,0.0,23.0,0.0,18.0,0.0,9.0,0.0
