# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Papua New Guinea,22-01-2020,0,0,0,98.0,0.0,15.0,0.0,245.0,0.0,86.0,0.0,20.0,0.0,12.0,0.0,7.0,0.0
Papua New Guinea,23-01-2020,0,0,0,93.0,0.0,15.0,0.0,247.0,0.0,60.0,0.0,22.0,0.0,14.0,0.0,8.0,0.0
Papua New Guinea,24-01-2020,0,0,0,96.0,0.0,16.0,0.0,249.0,0.0,69.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Papua New Guinea,25-01-2020,0,0,0,99.0,0.0,16.0,0.0,250.0,0.0,88.0,0.0,19.0,0.0,12.0,0.0,7.0,0.0
Papua New Guinea,26-01-2020,0,0,0,93.0,0.0,15.0,0.0,249.0,0.0,71.0,0.0,21.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,27-01-2020,0,0,0,90.0,0.0,15.0,0.0,248.0,0.0,86.0,0.0,21.0,0.0,13.0,0.0,13.0,0.0
Papua New Guinea,28-01-2020,0,0,0,91.0,0.0,15.0,0.0,244.0,0.0,79.0,0.0,22.0,0.0,14.0,0.0,9.0,0.0
Papua New Guinea,29-01-2020,0,0,0,94.0,0.0,16.0,0.0,242.0,0.0,80.0,0.0,23.0,0.0,13.0,0.0,9.0,0.0
Papua New Guinea,30-01-2020,0,0,0,94.0,0.0,15.0,0.0,244.0,0.0,76.0,0.0,21.0,0.0,12.0,0.0,7.0,0.0
Papua New Guinea,31-01-2020,0,0,0,82.0,0.0,13.0,0.0,242.0,0.0,56.0,0.0,23.0,0.0,14.0,0.0,10.0,0.0
Papua New Guinea,01-02-2020,0,0,0,98.0,0.0,15.0,0.0,242.0,0.0,85.0,0.0,19.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,02-02-2020,0,0,0,91.0,0.0,15.0,0.0,240.0,0.0,77.0,0.0,22.0,0.0,13.0,0.0,8.0,0.0
Papua New Guinea,03-02-2020,0,0,0,88.0,0.0,15.0,0.0,243.0,0.0,61.0,0.0,24.0,0.0,13.0,0.0,12.0,0.0
Papua New Guinea,04-02-2020,0,0,0,88.0,0.0,15.0,0.0,239.0,0.0,85.0,0.0,22.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,05-02-2020,0,0,0,90.0,0.0,15.0,0.0,239.0,0.0,78.0,0.0,21.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,06-02-2020,0,0,0,91.0,0.0,14.0,0.0,239.0,0.0,78.0,0.0,22.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,07-02-2020,0,0,0,94.0,0.0,15.0,0.0,237.0,0.0,79.0,0.0,22.0,0.0,13.0,0.0,11.0,0.0
Papua New Guinea,08-02-2020,0,0,0,94.0,0.0,15.0,0.0,241.0,0.0,82.0,0.0,21.0,0.0,12.0,0.0,8.0,0.0
Papua New Guinea,09-02-2020,0,0,0,87.0,0.0,14.0,0.0,246.0,0.0,62.0,0.0,22.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,10-02-2020,0,0,0,88.0,0.0,15.0,0.0,245.0,0.0,91.0,0.0,23.0,0.0,13.0,0.0,12.0,0.0
Papua New Guinea,11-02-2020,0,0,0,86.0,0.0,15.0,0.0,243.0,0.0,82.0,0.0,23.0,0.0,14.0,0.0,15.0,0.0
Papua New Guinea,12-02-2020,0,0,0,88.0,0.0,15.0,0.0,245.0,0.0,80.0,0.0,24.0,0.0,14.0,0.0,9.0,0.0
Papua New Guinea,13-02-2020,0,0,0,91.0,0.0,15.0,0.0,244.0,0.0,91.0,0.0,22.0,0.0,14.0,0.0,7.0,0.0
Papua New Guinea,14-02-2020,0,0,0,87.0,0.0,15.0,0.0,248.0,0.0,69.0,0.0,23.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,15-02-2020,0,0,0,81.0,0.0,13.0,0.0,249.0,0.0,60.0,0.0,23.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,16-02-2020,0,0,0,81.0,0.0,13.0,0.0,249.0,0.0,28.0,0.0,25.0,0.0,12.0,0.0,12.0,0.0
Papua New Guinea,17-02-2020,0,0,0,86.0,0.0,14.0,0.0,249.0,0.0,56.0,0.0,23.0,0.0,12.0,0.0,10.0,0.0
Papua New Guinea,18-02-2020,0,0,0,80.0,0.0,13.0,0.0,249.0,0.0,57.0,0.0,23.0,0.0,12.0,0.0,9.0,0.0
Papua New Guinea,19-02-2020,0,0,0,78.0,0.0,13.0,0.0,248.0,0.0,56.0,0.0,24.0,0.0,14.0,0.0,7.0,0.0
Papua New Guinea,20-02-2020,0,0,0,84.0,0.0,14.0,0.0,247.0,0.0,74.0,0.0,23.0,0.0,14.0,0.0,8.0,0.0
Papua New Guinea,21-02-2020,0,0,0,89.0,0.0,15.0,0.0,247.0,0.0,71.0,0.0,23.0,0.0,14.0,0.0,8.0,0.0
Papua New Guinea,22-02-2020,0,0,0,95.0,0.0,16.0,0.0,245.0,0.0,83.0,0.0,22.0,0.0,14.0,0.0,8.0,0.0
Papua New Guinea,23-02-2020,0,0,0,95.0,0.0,16.0,0.0,244.0,0.0,82.0,0.0,22.0,0.0,14.0,0.0,8.0,0.0
Papua New Guinea,24-02-2020,0,0,0,97.0,0.0,16.0,0.0,245.0,0.0,95.0,0.0,21.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,25-02-2020,0,0,0,94.0,0.0,16.0,0.0,246.0,0.0,83.0,0.0,21.0,0.0,13.0,0.0,10.0,0.0
Papua New Guinea,26-02-2020,0,0,0,93.0,0.0,16.0,0.0,248.0,0.0,73.0,0.0,24.0,0.0,14.0,0.0,8.0,0.0
Papua New Guinea,27-02-2020,0,0,0,96.0,0.0,16.0,0.0,245.0,0.0,86.0,0.0,22.0,0.0,14.0,0.0,9.0,0.0
Papua New Guinea,28-02-2020,0,0,0,94.0,0.0,16.0,0.0,242.0,0.0,85.0,0.0,23.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,29-02-2020,0,0,0,94.0,0.0,16.0,0.0,242.0,0.0,78.0,0.0,23.0,0.0,14.0,0.0,10.0,0.0
Papua New Guinea,01-03-2020,0,0,0,98.0,0.0,16.0,0.0,242.0,0.0,89.0,0.0,20.0,0.0,14.0,0.0,9.0,0.0
Papua New Guinea,02-03-2020,0,0,0,97.0,0.0,16.0,0.0,244.0,0.0,81.0,0.0,21.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,03-03-2020,0,0,0,96.0,0.0,16.0,0.0,241.0,0.0,82.0,0.0,21.0,0.0,14.0,0.0,9.0,0.0
Papua New Guinea,04-03-2020,0,0,0,96.0,0.0,16.0,0.0,241.0,0.0,89.0,0.0,23.0,0.0,13.0,0.0,8.0,0.0
Papua New Guinea,05-03-2020,0,0,0,95.0,0.0,15.0,0.0,244.0,0.0,83.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Papua New Guinea,06-03-2020,0,0,0,99.0,0.0,16.0,0.0,246.0,0.0,78.0,0.0,19.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,07-03-2020,0,0,0,97.0,0.0,16.0,0.0,250.0,0.0,68.0,0.0,21.0,0.0,14.0,0.0,7.0,0.0
Papua New Guinea,08-03-2020,0,0,0,99.0,0.0,16.0,0.0,249.0,0.0,86.0,0.0,21.0,0.0,14.0,0.0,6.0,0.0
Papua New Guinea,09-03-2020,0,0,0,98.0,0.0,16.0,0.0,245.0,0.0,96.0,0.0,20.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,10-03-2020,0,0,0,96.0,0.0,16.0,0.0,246.0,0.0,84.0,0.0,21.0,0.0,13.0,0.0,7.0,0.0
Papua New Guinea,11-03-2020,0,0,0,95.0,0.0,16.0,0.0,247.0,0.0,86.0,0.0,22.0,0.0,13.0,0.0,6.0,0.0
