# country,date,confirmed,deaths,recovered,humidity_mean,humidity_std,dew_mean,dew_std,mean_ozone,std_ozone,mean_precip,std_precip,mean_tMax,std_tMax,mean_tMin,std_tMin,mean_uv,std_uv
Paraguay,22-01-2020,0,0,0,69.0,0.0,23.0,0.0,255.0,0.0,57.0,0.0,37.0,0.0,23.0,0.0,6.0,0.0
Paraguay,23-01-2020,0,0,0,90.0,0.0,24.0,0.0,264.0,0.0,84.0,0.0,29.0,0.0,22.0,0.0,6.0,0.0
Paraguay,24-01-2020,0,0,0,88.0,0.0,22.0,0.0,265.0,0.0,42.0,0.0,27.0,0.0,20.0,0.0,6.0,0.0
Paraguay,25-01-2020,0,0,0,72.0,0.0,20.0,0.0,265.0,0.0,11.0,0.0,33.0,0.0,19.0,0.0,11.0,0.0
Paraguay,26-01-2020,0,0,0,57.0,0.0,17.0,0.0,265.0,0.0,4.0,0.0,35.0,0.0,19.0,0.0,14.0,0.0
Paraguay,27-01-2020,0,0,0,51.0,0.0,16.0,0.0,266.0,0.0,4.0,0.0,36.0,0.0,21.0,0.0,12.0,0.0
Paraguay,28-01-2020,0,0,0,51.0,0.0,17.0,0.0,262.0,0.0,11.0,0.0,35.0,0.0,24.0,0.0,8.0,0.0
Paraguay,29-01-2020,0,0,0,50.0,0.0,18.0,0.0,260.0,0.0,12.0,0.0,37.0,0.0,22.0,0.0,13.0,0.0
Paraguay,30-01-2020,0,0,0,72.0,0.0,22.0,0.0,259.0,0.0,79.0,0.0,34.0,0.0,21.0,0.0,9.0,0.0
Paraguay,31-01-2020,0,0,0,97.0,0.0,23.0,0.0,258.0,0.0,97.0,0.0,25.0,0.0,20.0,0.0,6.0,0.0
Paraguay,01-02-2020,0,0,0,76.0,0.0,21.0,0.0,257.0,0.0,19.0,0.0,33.0,0.0,22.0,0.0,12.0,0.0
Paraguay,02-02-2020,0,0,0,75.0,0.0,22.0,0.0,256.0,0.0,15.0,0.0,33.0,0.0,23.0,0.0,10.0,0.0
Paraguay,03-02-2020,0,0,0,76.0,0.0,23.0,0.0,252.0,0.0,35.0,0.0,33.0,0.0,24.0,0.0,13.0,0.0
Paraguay,04-02-2020,0,0,0,70.0,0.0,23.0,0.0,253.0,0.0,62.0,0.0,36.0,0.0,25.0,0.0,10.0,0.0
Paraguay,05-02-2020,0,0,0,66.0,0.0,23.0,0.0,254.0,0.0,18.0,0.0,36.0,0.0,23.0,0.0,14.0,0.0
Paraguay,06-02-2020,0,0,0,72.0,0.0,23.0,0.0,255.0,0.0,55.0,0.0,36.0,0.0,26.0,0.0,14.0,0.0
Paraguay,07-02-2020,0,0,0,67.0,0.0,23.0,0.0,250.0,0.0,26.0,0.0,37.0,0.0,23.0,0.0,14.0,0.0
Paraguay,08-02-2020,0,0,0,83.0,0.0,25.0,0.0,252.0,0.0,68.0,0.0,34.0,0.0,24.0,0.0,8.0,0.0
Paraguay,09-02-2020,0,0,0,73.0,0.0,23.0,0.0,260.0,0.0,37.0,0.0,36.0,0.0,24.0,0.0,11.0,0.0
Paraguay,10-02-2020,0,0,0,69.0,0.0,23.0,0.0,257.0,0.0,51.0,0.0,36.0,0.0,24.0,0.0,14.0,0.0
Paraguay,11-02-2020,0,0,0,70.0,0.0,23.0,0.0,259.0,0.0,62.0,0.0,35.0,0.0,23.0,0.0,7.0,0.0
Paraguay,12-02-2020,0,0,0,56.0,0.0,19.0,0.0,258.0,0.0,7.0,0.0,34.0,0.0,23.0,0.0,7.0,0.0
Paraguay,13-02-2020,0,0,0,65.0,0.0,22.0,0.0,259.0,0.0,24.0,0.0,36.0,0.0,24.0,0.0,13.0,0.0
Paraguay,14-02-2020,0,0,0,68.0,0.0,23.0,0.0,255.0,0.0,20.0,0.0,37.0,0.0,26.0,0.0,14.0,0.0
Paraguay,15-02-2020,0,0,0,65.0,0.0,23.0,0.0,256.0,0.0,21.0,0.0,38.0,0.0,27.0,0.0,6.0,0.0
Paraguay,16-02-2020,0,0,0,64.0,0.0,24.0,0.0,256.0,0.0,26.0,0.0,38.0,0.0,27.0,0.0,8.0,0.0
Paraguay,17-02-2020,0,0,0,56.0,0.0,23.0,0.0,256.0,0.0,17.0,0.0,38.0,0.0,28.0,0.0,6.0,0.0
Paraguay,18-02-2020,0,0,0,56.0,0.0,22.0,0.0,255.0,0.0,24.0,0.0,39.0,0.0,30.0,0.0,13.0,0.0
Paraguay,19-02-2020,0,0,0,51.0,0.0,22.0,0.0,260.0,0.0,26.0,0.0,39.0,0.0,24.0,0.0,10.0,0.0
Paraguay,20-02-2020,0,0,0,73.0,0.0,24.0,0.0,258.0,0.0,41.0,0.0,36.0,0.0,25.0,0.0,7.0,0.0
Paraguay,21-02-2020,0,0,0,76.0,0.0,24.0,0.0,260.0,0.0,62.0,0.0,33.0,0.0,24.0,0.0,6.0,0.0
Paraguay,22-02-2020,0,0,0,55.0,0.0,16.0,0.0,261.0,0.0,32.0,0.0,29.0,0.0,18.0,0.0,6.0,0.0
Paraguay,23-02-2020,0,0,0,42.0,0.0,9.0,0.0,262.0,0.0,11.0,0.0,28.0,0.0,13.0,0.0,11.0,0.0
Paraguay,24-02-2020,0,0,0,49.0,0.0,10.0,0.0,262.0,0.0,3.0,0.0,32.0,0.0,16.0,0.0,13.0,0.0
Paraguay,25-02-2020,0,0,0,51.0,0.0,15.0,0.0,262.0,0.0,8.0,0.0,36.0,0.0,26.0,0.0,13.0,0.0
Paraguay,26-02-2020,0,0,0,65.0,0.0,22.0,0.0,257.0,0.0,65.0,0.0,35.0,0.0,22.0,0.0,11.0,0.0
Paraguay,27-02-2020,0,0,0,71.0,0.0,19.0,0.0,257.0,0.0,86.0,0.0,32.0,0.0,15.0,0.0,10.0,0.0
Paraguay,28-02-2020,0,0,0,43.0,0.0,9.0,0.0,263.0,0.0,2.0,0.0,32.0,0.0,15.0,0.0,13.0,0.0
Paraguay,29-02-2020,0,0,0,48.0,0.0,12.0,0.0,262.0,0.0,3.0,0.0,34.0,0.0,18.0,0.0,13.0,0.0
Paraguay,01-03-2020,0,0,0,47.0,0.0,13.0,0.0,264.0,0.0,4.0,0.0,35.0,0.0,20.0,0.0,13.0,0.0
Paraguay,02-03-2020,0,0,0,47.0,0.0,14.0,0.0,267.0,0.0,3.0,0.0,36.0,0.0,21.0,0.0,12.0,0.0
Paraguay,03-03-2020,0,0,0,50.0,0.0,15.0,0.0,267.0,0.0,6.0,0.0,36.0,0.0,21.0,0.0,12.0,0.0
Paraguay,04-03-2020,0,0,0,52.0,0.0,16.0,0.0,263.0,0.0,3.0,0.0,35.0,0.0,20.0,0.0,12.0,0.0
Paraguay,05-03-2020,0,0,0,46.0,0.0,13.0,0.0,265.0,0.0,2.0,0.0,36.0,0.0,19.0,0.0,12.0,0.0
Paraguay,06-03-2020,0,0,0,38.0,0.0,12.0,0.0,268.0,0.0,5.0,0.0,37.0,0.0,19.0,0.0,12.0,0.0
Paraguay,07-03-2020,0,0,0,38.0,0.0,11.0,0.0,265.0,0.0,1.0,0.0,36.0,0.0,18.0,0.0,12.0,0.0
Paraguay,08-03-2020,0,0,0,37.0,0.0,11.0,0.0,266.0,0.0,9.0,0.0,38.0,0.0,25.0,0.0,12.0,0.0
Paraguay,09-03-2020,0,0,0,38.0,0.0,15.0,0.0,263.0,0.0,16.0,0.0,38.0,0.0,26.0,0.0,10.0,0.0
Paraguay,10-03-2020,0,0,0,41.0,0.0,16.0,0.0,263.0,0.0,17.0,0.0,38.0,0.0,25.0,0.0,6.0,0.0
Paraguay,11-03-2020,0,0,0,37.0,0.0,14.0,0.0,259.0,0.0,3.0,0.0,40.0,0.0,23.0,0.0,12.0,0.0
